Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
gustt1nha,149,10,15,5,-5,85.9,22,0,1,-1,9260,IMP,VKS,MATCH,1,2.01
rst,138,9,15,1,-6,75.4,7,1,1,0,9260,IMP,VKS,MATCH,1,2.01
saadhak,260,16,9,7,7,171.5,16,1,0,1,9260,VKS,IMP,MATCH,1,2.01
sutecas,258,19,14,7,5,148.7,16,1,2,-1,9260,VKS,IMP,MATCH,1,2.01
Sacy,236,19,9,9,10,139.3,19,4,0,4,9260,VKS,IMP,MATCH,1,2.01
gtnziN,212,13,13,10,0,150.5,21,0,3,-3,9260,VKS,IMP,MATCH,1,2.01
frz,181,13,12,7,1,99.1,16,4,4,0,9260,VKS,IMP,MATCH,1,2.01
prozin,265,35,34,4,1,148.1,18,5,6,-1,9425,S5,VKS,MATCH,2,2.01
gaabxx,202,25,31,10,-6,175.3,27,6,7,-1,9425,S5,VKS,MATCH,2,2.01
fra,159,20,36,4,-16,101.6,28,2,6,-4,9425,S5,VKS,MATCH,2,2.01
deNaro,157,20,31,10,-11,121.7,18,0,4,-4,9425,S5,VKS,MATCH,2,2.01
fooX,144,18,31,5,-13,108.7,26,1,1,0,9425,S5,VKS,MATCH,2,2.01
gtnziN,292,38,25,14,13,197.9,18,5,4,1,9425,VKS,S5,MATCH,2,2.01
frz,282,40,23,12,17,150.9,21,8,4,4,9425,VKS,S5,MATCH,2,2.01
Sacy,234,29,24,29,5,153.1,20,6,2,4,9425,VKS,S5,MATCH,2,2.01
saadhak,224,32,21,11,11,135.0,27,4,2,2,9425,VKS,S5,MATCH,2,2.01
sutecas,163,24,25,6,-1,98.3,40,1,2,-1,9425,VKS,S5,MATCH,2,2.01
