Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
flainzz,1,1,0,0,0,0,0,0.0,0.0,32,1,0,8296,Vivo,VKS,HAVEN,
patochovsk,2,1,0,0,0,0,0,0.0,0.0,52,0,0,8296,Vivo,VKS,HAVEN,
FLG1,1,0,0,0,0,0,0,0.0,0.0,21,0,0,8296,Vivo,VKS,HAVEN,
NikkoLAN,3,0,0,1,0,0,1,0.0,0.0,92,0,0,8296,Vivo,VKS,HAVEN,
frz,1,4,0,0.0,0.0,0,0.0,0.0,0.0,59,0,0,8292,VKS,P,HAVEN,
Sacy,2,0,0,0.0,0.0,0,0.0,0.0,0.0,48,3,0,8292,VKS,P,HAVEN,
saadhak,2,1,0,0.0,0.0,1,0.0,0.0,0.0,73,3,0,8292,VKS,P,HAVEN,
gtnziN,2,0,1,0.0,0.0,1,0.0,0.0,0.0,60,2,0,8292,VKS,P,HAVEN,
sutecas,4,2,0,0.0,0.0,1,0.0,0.0,0.0,63,1,0,8292,VKS,P,HAVEN,
pavel,4,0,0,0.0,0.0,0,0.0,0.0,0.0,55,1,0,8292,P,VKS,HAVEN,
DONSA,1,0,0,0.0,0.0,0,0.0,0.0,0.0,40,3,0,8292,P,VKS,HAVEN,
rpAiva,2,3,0,0.0,0.0,0,0.0,0.0,0.0,71,0,0,8292,P,VKS,HAVEN,
fAk,0,0,0,0.0,0.0,0,0.0,0.0,0.0,30,0,0,8292,P,VKS,HAVEN,
zaxdeuS,2,0,0,0.0,0.0,0,0.0,0.0,0.0,40,0,0,8292,P,VKS,HAVEN,
frz,1,3,0,0.0,0.0,0,0.0,0.0,0.0,71,1,0,8292,VKS,P,ASCENT,
Sacy,3,0,0,0.0,0.0,0,0.0,0.0,0.0,71,1,0,8292,VKS,P,ASCENT,
saadhak,2,0,0,0.0,0.0,0,0.0,0.0,0.0,45,3,1,8292,VKS,P,ASCENT,
gtnziN,5,2,0,0.0,0.0,0,0.0,0.0,0.0,58,0,0,8292,VKS,P,ASCENT,
sutecas,5,1,0,0.0,0.0,1,0.0,0.0,0.0,81,1,0,8292,VKS,P,ASCENT,
pavel,1,2,1,0.0,0.0,0,0.0,0.0,0.0,60,0,0,8292,P,VKS,ASCENT,
DONSA,1,0,0,0.0,0.0,0,0.0,0.0,0.0,37,3,0,8292,P,VKS,ASCENT,
rpAiva,1,1,0,0.0,0.0,0,0.0,0.0,0.0,65,0,0,8292,P,VKS,ASCENT,
fAk,3,0,0,0.0,0.0,0,0.0,0.0,0.0,39,0,0,8292,P,VKS,ASCENT,
zaxdeuS,2,0,0,0.0,0.0,0,0.0,0.0,0.0,36,1,1,8292,P,VKS,ASCENT,
frz,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,35,0,0,8244,VKS,ZAM+,BIND,1.14
Sacy,3,1,0.0,0.0,1,0.0,0.0,0.0,0.0,60,5,1,8244,VKS,ZAM+,BIND,1.14
saadhak,4,1,0.0,0.0,0,0.0,0.0,0.0,0.0,60,1,0,8244,VKS,ZAM+,BIND,1.14
gtnziN,2,2,0.0,0.0,0,0.0,0.0,0.0,0.0,48,2,0,8244,VKS,ZAM+,BIND,1.14
sutecas,2,2,0.0,0.0,0,0.0,0.0,0.0,0.0,62,2,0,8244,VKS,ZAM+,BIND,1.14
BRNWOWZK1,2,1,0.0,0.0,0,0.0,0.0,0.0,0.0,54,0,0,8244,ZAM+,VKS,BIND,1.14
