Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
saadhak,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,8232,VKS,mato,1.14,MATCH,1
gtnziN,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,1.0,8232,VKS,mato,1.14,MATCH,1
sutecas,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,1.0,0.0,8232,VKS,mato,1.14,MATCH,1
caixinhadesom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,8232,mato,VKS,1.14,MATCH,1
furlan,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,8232,mato,VKS,1.14,MATCH,1
batini,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,8232,mato,VKS,1.14,MATCH,1
goNtheKING,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,8232,mato,VKS,1.14,MATCH,1
brh1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,8232,mato,VKS,1.14,MATCH,1
pepa,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,9101,paiN,VKS,2.01,MATCH,2
murizzz,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,0.0,9101,paiN,VKS,2.01,MATCH,2
matheuzin,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,0.0,9101,paiN,VKS,2.01,MATCH,2
kon4n,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,47.0,7.0,1.0,9101,paiN,VKS,2.01,MATCH,2
ryotzz,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,9101,paiN,VKS,2.01,MATCH,2
frz,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,2.0,0.0,9101,VKS,paiN,2.01,MATCH,2
Sacy,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,1.0,9101,VKS,paiN,2.01,MATCH,2
saadhak,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,6.0,2.0,9101,VKS,paiN,2.01,MATCH,2
gtnziN,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,3.0,0.0,9101,VKS,paiN,2.01,MATCH,2
sutecas,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,3.0,0.0,9101,VKS,paiN,2.01,MATCH,2
rst,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,9260,IMP,VKS,2.01,MATCH,1
Evilkyk,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,9260,IMP,VKS,2.01,MATCH,1
gustt1nha,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,4.0,1.0,9260,IMP,VKS,2.01,MATCH,1
tuyz,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,9260,IMP,VKS,2.01,MATCH,1
Biscoit1n,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,0.0,9260,IMP,VKS,2.01,MATCH,1
frz,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1.0,9260,VKS,IMP,2.01,MATCH,1
Sacy,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,0.0,9260,VKS,IMP,2.01,MATCH,1
saadhak,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,5.0,3.0,9260,VKS,IMP,2.01,MATCH,1
gtnziN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,9260,VKS,IMP,2.01,MATCH,1
sutecas,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,9260,VKS,IMP,2.01,MATCH,1
fooX,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,9425,S5,VKS,2.01,MATCH,2
fra,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,5.0,0.0,9425,S5,VKS,2.01,MATCH,2
prozin,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,9425,S5,VKS,2.01,MATCH,2
deNaro,5.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,54.0,5.0,1.0,9425,S5,VKS,2.01,MATCH,2
gaabxx,5.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,73.0,1.0,2.0,9425,S5,VKS,2.01,MATCH,2
frz,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61.0,1.0,2.0,9425,VKS,S5,2.01,MATCH,2
Sacy,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,59.0,1.0,2.0,9425,VKS,S5,2.01,MATCH,2
saadhak,2.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,54.0,4.0,0.0,9425,VKS,S5,2.01,MATCH,2
gtnziN,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,9425,VKS,S5,2.01,MATCH,2
sutecas,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,7.0,0.0,9425,VKS,S5,2.01,MATCH,2
frz,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,88.0,1.0,1.0,10342,VKS,Vora,2.02,MATCH,1
Sacy,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,1.0,1.0,10342,VKS,Vora,2.02,MATCH,1
saadhak,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,0.0,10342,VKS,Vora,2.02,MATCH,1
gtnziN,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0,10342,VKS,Vora,2.02,MATCH,1
sutecas,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,10342,VKS,Vora,2.02,MATCH,1
v1xen,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,5.0,0.0,10342,Vora,VKS,2.02,MATCH,1
delevingne,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,1.0,2.0,10342,Vora,VKS,2.02,MATCH,1
krain,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,2.0,10342,Vora,VKS,2.02,MATCH,1
fzkk,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,10342,Vora,VKS,2.02,MATCH,1
dragonite,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,10342,Vora,VKS,2.02,MATCH,1
pancada,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,1.0,3.0,10346,B4,VKS,2.02,MATCH,3
fuzari,12.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,51.0,5.0,3.0,10346,B4,VKS,2.02,MATCH,3
v1nny,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,11.0,3.0,10346,B4,VKS,2.02,MATCH,3
Mazin,10.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,51.0,3.0,3.0,10346,B4,VKS,2.02,MATCH,3
dgzin,11.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,0.0,10346,B4,VKS,2.02,MATCH,3
frz,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,6.0,2.0,10346,VKS,B4,2.02,MATCH,3
Sacy,13.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,6.0,0.0,10346,VKS,B4,2.02,MATCH,3
saadhak,12.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,2.0,3.0,10346,VKS,B4,2.02,MATCH,3
gtnziN,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,5.0,1.0,10346,VKS,B4,2.02,MATCH,3
sutecas,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,7.0,1.0,10346,VKS,B4,2.02,MATCH,3
DiMAS,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,0.0,2.0,10348,SLK,VKS,2.02,MATCH,2
bld,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,0.0,1.0,10348,SLK,VKS,2.02,MATCH,2
ntk,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,4.0,1.0,10348,SLK,VKS,2.02,MATCH,2
Hastad,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,10348,SLK,VKS,2.02,MATCH,2
DONSA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,10348,SLK,VKS,2.02,MATCH,2
frz,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,10348,VKS,SLK,2.02,MATCH,2
Sacy,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,2.0,10348,VKS,SLK,2.02,MATCH,2
saadhak,11.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,72.0,7.0,0.0,10348,VKS,SLK,2.02,MATCH,2
gtnziN,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,0.0,10348,VKS,SLK,2.02,MATCH,2
sutecas,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,5.0,1.0,10348,VKS,SLK,2.02,MATCH,2
frz,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,0.0,13024,VKS,SHK,2.03,MATCH,3
Sacy,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,89.0,3.0,0.0,13024,VKS,SHK,2.03,MATCH,3
saadhak,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,12.0,2.0,13024,VKS,SHK,2.03,MATCH,3
gtnziN,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,7.0,2.0,13024,VKS,SHK,2.03,MATCH,3
sutecas,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,7.0,1.0,13024,VKS,SHK,2.03,MATCH,3
fra,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,2.0,0.0,13024,SHK,VKS,2.03,MATCH,3
light,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,6.0,0.0,13024,SHK,VKS,2.03,MATCH,3
prozin,5.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,56.0,1.0,7.0,13024,SHK,VKS,2.03,MATCH,3
deNaro,5.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,62.0,2.0,2.0,13024,SHK,VKS,2.03,MATCH,3
gaabxx,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,1.0,13024,SHK,VKS,2.03,MATCH,3
pepa,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,3.0,0.0,13026,paiN,VKS,2.03,MATCH,2
murizzz,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,13026,paiN,VKS,2.03,MATCH,2
matheuzin,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,4.0,2.0,13026,paiN,VKS,2.03,MATCH,2
