Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team_x,Opp_Team_x,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch_x,total_rounds,win_rate,KPR,DPR,APR,FKPR,FKWR,FDPR,ct_wr,t_wr,RESULT,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,Team_y,Opp_Team_y,Patch_y,total_mult_kill,total_clutch,MKPR,CPR,0,astra,breach,brimstone,cypher,jett,killjoy,omen,phoenix,raze,reyna,sage,skye,sova,viper,yoru
deNaro,sova,204,16,15,10,1,141.5,10,1,0,1,14207,SHK,GL,13,11,9,3,4,8,ASCENT,0.0,24,54.17,0.67,0.62,0.42,0.04,100.0,0.0,75.0,33.33,W,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,4,0,SHK,GL,0.0,3.0,0.0,0.12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
prozin,raze,188,15,15,4,0,132.9,15,6,3,3,14207,SHK,GL,13,11,9,3,4,8,ASCENT,0.0,24,54.17,0.62,0.62,0.17,0.25,66.67,0.12,75.0,33.33,W,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0,0,SHK,GL,0.0,2.0,0.0,0.08,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
light,omen,157,13,17,4,-4,108.6,38,2,2,0,14207,SHK,GL,13,11,9,3,4,8,ASCENT,0.0,24,54.17,0.54,0.71,0.17,0.08,50.0,0.08,75.0,33.33,W,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,1,0,SHK,GL,0.0,3.0,0.0,0.12,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fra,killjoy,132,13,15,0,-2,74.9,17,1,0,1,14207,SHK,GL,13,11,9,3,4,8,ASCENT,0.0,24,54.17,0.54,0.62,0.0,0.04,100.0,0.0,75.0,33.33,W,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,3,0,SHK,GL,0.0,2.0,0.0,0.08,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jonn,reyna,340,20,10,2,10,219.4,40,4,3,1,15655,GL,BD,13,4,8,4,5,0,ASCENT,0.0,17,76.47,1.18,0.59,0.12,0.24,57.14,0.18,66.67,100.0,W,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,0,0,GL,BD,2.06,7.0,0.0,0.41,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mwzera,raze,297,18,11,1,7,140.5,17,4,1,3,15655,GL,BD,13,4,8,4,5,0,ASCENT,0.0,17,76.47,1.06,0.65,0.06,0.24,80.0,0.06,66.67,100.0,W,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0,2,GL,BD,2.06,7.0,0.0,0.41,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nyang,omen,220,17,7,2,10,137.2,34,0,2,-2,15655,GL,BD,13,4,8,4,5,0,ASCENT,0.0,17,76.47,1.0,0.41,0.12,0.0,0.0,0.12,66.67,100.0,W,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72,0,0,GL,BD,2.06,3.0,1.0,0.18,0.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fznnn,sova,185,10,6,10,4,121.5,14,2,0,2,15655,GL,BD,13,4,8,4,5,0,ASCENT,0.0,17,76.47,0.59,0.35,0.59,0.12,100.0,0.0,66.67,100.0,W,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,3,1,GL,BD,2.06,2.0,0.0,0.12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JhoW,cypher,127,8,10,5,-2,90.7,29,0,1,-1,15655,GL,BD,13,4,8,4,5,0,ASCENT,0.0,17,76.47,0.47,0.59,0.29,0.0,0.0,0.06,66.67,100.0,W,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,2,2,GL,BD,2.06,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pollo,jett,268,15,15,3,0,182.5,19,2,3,-1,15655,BD,GL,4,13,0,5,4,8,ASCENT,0.0,17,23.53,0.88,0.88,0.18,0.12,40.0,0.18,0.0,33.33,L,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,1,0,BD,GL,2.06,6.0,0.0,0.35,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dio9x,cypher,151,7,15,2,-8,99.3,22,2,0,2,15655,BD,GL,4,13,0,5,4,8,ASCENT,0.0,17,23.53,0.41,0.88,0.12,0.12,100.0,0.0,0.0,33.33,L,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,3,0,BD,GL,2.06,1.0,0.0,0.06,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Docks,sova,133,7,13,6,-6,103.1,14,1,1,0,15655,BD,GL,4,13,0,5,4,8,ASCENT,0.0,17,23.53,0.41,0.76,0.35,0.06,50.0,0.06,0.0,33.33,L,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,2,0,BD,GL,2.06,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ant,reyna,131,8,16,2,-8,82.6,13,1,5,-4,15655,BD,GL,4,13,0,5,4,8,ASCENT,0.0,17,23.53,0.47,0.94,0.12,0.06,16.67,0.29,0.0,33.33,L,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,0,BD,GL,2.06,2.0,0.0,0.12,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gabriel,omen,118,6,14,4,-8,78.1,32,1,1,0,15655,BD,GL,4,13,0,5,4,8,ASCENT,0.0,17,23.53,0.35,0.82,0.24,0.06,50.0,0.06,0.0,33.33,L,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,0,BD,GL,2.06,1.0,0.0,0.06,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mwzera,raze,322,28,19,7,9,188.1,28,7,6,1,15655,GL,BD,14,12,5,7,7,5,BIND,0.0,26,53.85,1.08,0.73,0.27,0.27,53.85,0.23,41.67,58.33,W,5,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0,2,GL,BD,2.06,9.0,0.0,0.35,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jonn,reyna,249,24,18,5,6,146.0,34,2,4,-2,15655,GL,BD,14,12,5,7,7,5,BIND,0.0,26,53.85,0.92,0.69,0.19,0.08,33.33,0.15,41.67,58.33,W,3,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,58,1,0,GL,BD,2.06,5.0,0.0,0.19,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fznnn,sova,190,16,11,12,5,121.7,28,1,3,-2,15655,GL,BD,14,12,5,7,7,5,BIND,0.0,26,53.85,0.62,0.42,0.46,0.04,25.0,0.12,41.67,58.33,W,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60,2,1,GL,BD,2.06,4.0,1.0,0.15,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JhoW,cypher,142,13,19,8,-6,82.9,14,0,2,-2,15655,GL,BD,14,12,5,7,7,5,BIND,0.0,26,53.85,0.5,0.73,0.31,0.0,0.0,0.08,41.67,58.33,W,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,4,0,GL,BD,2.06,3.0,0.0,0.12,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nyang,omen,122,12,15,5,-3,110.8,17,1,0,1,15655,GL,BD,14,12,5,7,7,5,BIND,0.0,26,53.85,0.46,0.58,0.19,0.04,100.0,0.0,41.67,58.33,W,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,2,0,GL,BD,2.06,2.0,0.0,0.08,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ant,reyna,233,21,18,5,3,162.4,25,4,2,2,15655,BD,GL,12,14,5,7,7,5,BIND,0.0,26,46.15,0.81,0.69,0.19,0.15,66.67,0.08,41.67,58.33,L,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,1,0,BD,GL,2.06,7.0,0.0,0.27,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pollo,raze,229,18,20,6,-2,158.0,18,6,4,2,15655,BD,GL,12,14,5,7,7,5,BIND,0.0,26,46.15,0.69,0.77,0.23,0.23,60.0,0.15,41.67,58.33,L,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,1,0,BD,GL,2.06,5.0,0.0,0.19,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dio9x,cypher,207,19,18,8,1,132.1,14,3,3,0,15655,BD,GL,12,14,5,7,7,5,BIND,0.0,26,46.15,0.73,0.69,0.31,0.12,50.0,0.12,41.67,58.33,L,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49,3,0,BD,GL,2.06,3.0,1.0,0.12,0.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Docks,sova,158,12,18,7,-6,121.3,25,0,1,-1,15655,BD,GL,12,14,5,7,7,5,BIND,0.0,26,46.15,0.46,0.69,0.27,0.0,0.0,0.04,41.67,58.33,L,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45,1,2,BD,GL,2.06,2.0,1.0,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gabriel,omen,146,12,19,10,-7,86.1,33,2,1,1,15655,BD,GL,12,14,5,7,7,5,BIND,0.0,26,46.15,0.46,0.73,0.38,0.08,66.67,0.04,41.67,58.33,L,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,4,0,BD,GL,2.06,3.0,0.0,0.12,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ntk,sova,280,20,17,3,3,169.6,29,1,1,0,15734,SLK,GL,6,13,0,7,6,6,ICEBOX,0.0,19,31.58,1.05,0.89,0.16,0.05,50.0,0.05,0.0,50.0,L,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,1,0,SLK,GL,2.06,7.0,0.0,0.37,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DONSA,omen,239,14,17,6,-3,151.9,23,4,1,3,15734,SLK,GL,6,13,0,7,6,6,ICEBOX,0.0,19,31.58,0.74,0.89,0.32,0.21,80.0,0.05,0.0,50.0,L,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0,SLK,GL,2.06,3.0,0.0,0.16,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
aspas,reyna,225,16,17,5,-1,129.4,25,0,5,-5,15734,SLK,GL,6,13,0,7,6,6,ICEBOX,0.0,19,31.58,0.84,0.89,0.26,0.0,0.0,0.26,0.0,50.0,L,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0,0,SLK,GL,2.06,5.0,0.0,0.26,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DiMAS,killjoy,145,8,16,4,-8,91.9,35,1,3,-2,15734,SLK,GL,6,13,0,7,6,6,ICEBOX,0.0,19,31.58,0.42,0.84,0.21,0.05,25.0,0.16,0.0,50.0,L,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32,0,0,SLK,GL,2.06,3.0,1.0,0.16,0.05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bld,sage,94,5,15,5,-10,69.9,16,0,3,-3,15734,SLK,GL,6,13,0,7,6,6,ICEBOX,0.0,19,31.58,0.26,0.79,0.26,0.0,0.0,0.16,0.0,50.0,L,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,5,0,SLK,GL,2.06,1.0,0.0,0.05,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mwzera,raze,358,25,15,5,10,225.6,16,4,1,3,15734,GL,SLK,13,6,6,6,7,0,ICEBOX,0.0,19,68.42,1.32,0.79,0.26,0.21,80.0,0.05,50.0,100.0,W,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71,0,1,GL,SLK,2.06,5.0,0.0,0.26,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fznnn,sova,319,21,11,12,10,185.3,17,2,0,2,15734,GL,SLK,13,6,6,6,7,0,ICEBOX,0.0,19,68.42,1.11,0.58,0.63,0.11,100.0,0.0,50.0,100.0,W,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,2,0,GL,SLK,2.06,6.0,0.0,0.32,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JhoW,omen,210,14,10,7,4,122.4,15,3,1,2,15734,GL,SLK,13,6,6,6,7,0,ICEBOX,0.0,19,68.42,0.74,0.53,0.37,0.16,75.0,0.05,50.0,100.0,W,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64,0,1,GL,SLK,2.06,2.0,1.0,0.11,0.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jonn,reyna,197,13,15,4,-2,122.7,41,4,3,1,15734,GL,SLK,13,6,6,6,7,0,ICEBOX,0.0,19,68.42,0.68,0.79,0.21,0.21,57.14,0.16,50.0,100.0,W,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0,0,GL,SLK,2.06,4.0,0.0,0.21,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nyang,sage,132,9,12,10,-3,81.4,16,0,1,-1,15734,GL,SLK,13,6,6,6,7,0,ICEBOX,0.0,19,68.42,0.47,0.63,0.53,0.0,0.0,0.05,50.0,100.0,W,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,5,0,GL,SLK,2.06,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
frz,skye,281,21,11,9,10,155.5,24,3,2,1,15735,VKS,GL,13,8,5,4,8,4,ASCENT,0.0,21,61.9,1.0,0.52,0.43,0.14,60.0,0.1,55.56,66.67,W,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,4,0,VKS,GL,2.06,5.0,0.0,0.24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sutecas,astra,221,18,15,10,3,124.9,20,3,4,-1,15735,VKS,GL,13,8,5,4,8,4,ASCENT,0.0,21,61.9,0.86,0.71,0.48,0.14,42.86,0.19,55.56,66.67,W,3,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43,0,0,VKS,GL,2.06,5.0,1.0,0.24,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacy,sova,220,17,11,12,6,148.4,22,2,0,2,15735,VKS,GL,13,8,5,4,8,4,ASCENT,0.0,21,61.9,0.81,0.52,0.57,0.1,100.0,0.0,55.56,66.67,W,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64,2,0,VKS,GL,2.06,4.0,0.0,0.19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
gtnziN,yoru,219,16,15,9,1,157.9,19,3,1,2,15735,VKS,GL,13,8,5,4,8,4,ASCENT,0.0,21,61.9,0.76,0.71,0.43,0.14,75.0,0.05,55.56,66.67,W,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0,0,VKS,GL,2.06,3.0,0.0,0.14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
saadhak,viper,194,14,11,6,3,105.8,14,2,1,1,15735,VKS,GL,13,8,5,4,8,4,ASCENT,0.0,21,61.9,0.67,0.52,0.29,0.1,66.67,0.05,55.56,66.67,W,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,4,1,VKS,GL,2.06,3.0,0.0,0.14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mwzera,raze,253,17,18,8,-1,159.4,14,5,1,4,15735,GL,VKS,8,13,4,8,4,5,ASCENT,0.0,21,38.1,0.81,0.86,0.38,0.24,83.33,0.05,33.33,44.44,L,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,1,GL,VKS,2.06,4.0,0.0,0.19,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JhoW,cypher,194,15,16,2,-1,117.7,24,0,4,-4,15735,GL,VKS,8,13,4,8,4,5,ASCENT,0.0,21,38.1,0.71,0.76,0.1,0.0,0.0,0.19,33.33,44.44,L,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,1,0,GL,VKS,2.06,4.0,0.0,0.19,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fznnn,sova,163,11,15,4,-4,151.9,13,1,0,1,15735,GL,VKS,8,13,4,8,4,5,ASCENT,0.0,21,38.1,0.52,0.71,0.19,0.05,100.0,0.0,33.33,44.44,L,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63,3,0,GL,VKS,2.06,3.0,1.0,0.14,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nyang,omen,149,11,17,6,-6,101.9,22,0,3,-3,15735,GL,VKS,8,13,4,8,4,5,ASCENT,0.0,21,38.1,0.52,0.81,0.29,0.0,0.0,0.14,33.33,44.44,L,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41,1,1,GL,VKS,2.06,1.0,1.0,0.05,0.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jonn,yoru,145,9,20,5,-11,104.4,24,2,5,-3,15735,GL,VKS,8,13,4,8,4,5,ASCENT,0.0,21,38.1,0.43,0.95,0.24,0.1,28.57,0.24,33.33,44.44,L,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,0,GL,VKS,2.06,2.0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gtnziN,raze,239,17,17,5,0,138.2,13,0,3,-3,15735,VKS,GL,8,13,4,8,4,5,ICEBOX,0.0,21,38.1,0.81,0.81,0.24,0.0,0.0,0.14,33.33,44.44,L,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0,0,VKS,GL,2.06,2.0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
frz,skye,220,18,17,2,1,140.3,15,1,2,-1,15735,VKS,GL,8,13,4,8,4,5,ICEBOX,0.0,21,38.1,0.86,0.81,0.1,0.05,33.33,0.1,33.33,44.44,L,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52,2,1,VKS,GL,2.06,5.0,0.0,0.24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sutecas,omen,206,15,15,2,0,128.1,21,0,3,-3,15735,VKS,GL,8,13,4,8,4,5,ICEBOX,0.0,21,38.1,0.71,0.71,0.1,0.0,0.0,0.14,33.33,44.44,L,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52,0,0,VKS,GL,2.06,3.0,1.0,0.14,0.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sacy,sova,147,9,18,10,-9,96.4,6,2,4,-2,15735,VKS,GL,8,13,4,8,4,5,ICEBOX,0.0,21,38.1,0.43,0.86,0.48,0.1,33.33,0.19,33.33,44.44,L,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,1,1,VKS,GL,2.06,1.0,0.0,0.05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
saadhak,killjoy,135,7,17,3,-10,102.9,15,2,4,-2,15735,VKS,GL,8,13,4,8,4,5,ICEBOX,0.0,21,38.1,0.33,0.81,0.14,0.1,33.33,0.19,33.33,44.44,L,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,2,0,VKS,GL,2.06,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mwzera,raze,354,24,18,9,6,228.9,21,6,0,6,15735,GL,VKS,13,8,5,4,8,4,ICEBOX,0.0,21,61.9,1.14,0.86,0.43,0.29,100.0,0.0,55.56,66.67,W,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0,GL,VKS,2.06,7.0,0.0,0.33,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fznnn,sova,246,21,11,6,10,165.5,23,3,1,2,15735,GL,VKS,13,8,5,4,8,4,ICEBOX,0.0,21,61.9,1.0,0.52,0.29,0.14,75.0,0.05,55.56,66.67,W,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,93,0,0,GL,VKS,2.06,6.0,1.0,0.29,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jonn,reyna,225,17,17,4,0,114.1,28,5,3,2,15735,GL,VKS,13,8,5,4,8,4,ICEBOX,0.0,21,61.9,0.81,0.81,0.19,0.24,62.5,0.14,55.56,66.67,W,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0,0,GL,VKS,2.06,5.0,0.0,0.24,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
JhoW,omen,156,11,9,6,2,91.9,9,1,1,0,15735,GL,VKS,13,8,5,4,8,4,ICEBOX,0.0,21,61.9,0.52,0.43,0.29,0.05,50.0,0.05,55.56,66.67,W,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0,0,GL,VKS,2.06,2.0,0.0,0.1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nyang,sage,127,11,11,7,0,69.5,12,1,0,1,15735,GL,VKS,13,8,5,4,8,4,ICEBOX,0.0,21,61.9,0.52,0.52,0.33,0.05,100.0,0.0,55.56,66.67,W,3,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,31,10,1,GL,VKS,2.06,3.0,2.0,0.14,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sacy,sova,261,21,18,17,3,181.6,40,4,2,2,15735,VKS,GL,12,14,7,5,5,7,HAVEN,0.0,26,46.15,0.81,0.69,0.65,0.15,66.67,0.08,58.33,41.67,L,4,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,70,4,0,VKS,GL,2.06,5.0,2.0,0.19,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
saadhak,killjoy,219,18,21,10,-3,155.6,21,0,3,-3,15735,VKS,GL,12,14,7,5,5,7,HAVEN,0.0,26,46.15,0.69,0.81,0.38,0.0,0.0,0.12,58.33,41.67,L,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54,3,0,VKS,GL,2.06,5.0,1.0,0.19,0.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gtnziN,raze,218,18,19,8,-1,145.7,20,5,3,2,15735,VKS,GL,12,14,7,5,5,7,HAVEN,0.0,26,46.15,0.69,0.73,0.31,0.19,62.5,0.12,58.33,41.67,L,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0,2,VKS,GL,2.06,4.0,0.0,0.15,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sutecas,astra,170,18,20,0,-2,118.8,49,1,3,-2,15735,VKS,GL,12,14,7,5,5,7,HAVEN,0.0,26,46.15,0.69,0.77,0.0,0.04,25.0,0.12,58.33,41.67,L,6,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46,1,0,VKS,GL,2.06,7.0,1.0,0.27,0.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frz,skye,130,13,21,5,-8,80.6,17,0,5,-5,15735,VKS,GL,12,14,7,5,5,7,HAVEN,0.0,26,46.15,0.5,0.81,0.19,0.0,0.0,0.19,58.33,41.67,L,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,0,VKS,GL,2.06,2.0,0.0,0.08,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mwzera,raze,426,38,19,5,19,242.7,13,7,3,4,15735,GL,VKS,14,12,7,5,5,7,HAVEN,0.0,26,53.85,1.46,0.73,0.19,0.27,70.0,0.12,58.33,41.67,W,5,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,76,0,1,GL,VKS,2.06,11.0,0.0,0.42,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fznnn,sova,217,18,13,14,5,153.9,17,0,0,0,15735,GL,VKS,14,12,7,5,5,7,HAVEN,0.0,26,53.85,0.69,0.5,0.54,0.0,0.0,0.0,58.33,41.67,W,5,0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,64,1,3,GL,VKS,2.06,5.0,3.0,0.19,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nyang,omen,166,17,16,8,1,144.2,19,1,0,1,15735,GL,VKS,14,12,7,5,5,7,HAVEN,0.0,26,53.85,0.65,0.62,0.31,0.04,100.0,0.0,58.33,41.67,W,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,2,0,GL,VKS,2.06,4.0,0.0,0.15,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JhoW,cypher,154,15,19,6,-4,76.4,11,4,2,2,15735,GL,VKS,14,12,7,5,5,7,HAVEN,0.0,26,53.85,0.58,0.73,0.23,0.15,66.67,0.08,58.33,41.67,W,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2,0,GL,VKS,2.06,4.0,0.0,0.15,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jonn,reyna,125,11,22,5,-11,75.5,20,4,5,-1,15735,GL,VKS,14,12,7,5,5,7,HAVEN,0.0,26,53.85,0.42,0.85,0.19,0.15,44.44,0.19,58.33,41.67,W,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2,0,GL,VKS,2.06,3.0,0.0,0.12,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mwzera,raze,387,29,18,3,11,240.0,25,2,4,-2,17615,GL,HL,13,9,7,3,6,6,ICEBOX,0.0,22,59.09,1.32,0.82,0.14,0.09,33.33,0.18,70.0,50.0,W,4,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,77,0,1,GL,HL,0.0,8.0,1.0,0.36,0.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fznnn,sova,193,16,13,5,3,131.2,21,1,1,0,17615,GL,HL,13,9,7,3,6,6,ICEBOX,0.0,22,59.09,0.73,0.59,0.23,0.05,50.0,0.05,70.0,50.0,W,1,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,60,0,0,GL,HL,0.0,3.0,2.0,0.14,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jonn,reyna,188,13,18,7,-5,121.4,26,4,4,0,17615,GL,HL,13,9,7,3,6,6,ICEBOX,0.0,22,59.09,0.59,0.82,0.32,0.18,50.0,0.18,70.0,50.0,W,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0,0,GL,HL,0.0,2.0,0.0,0.09,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nyang,sage,178,15,13,10,2,99.7,33,2,2,0,17615,GL,HL,13,9,7,3,6,6,ICEBOX,0.0,22,59.09,0.68,0.59,0.45,0.09,50.0,0.09,70.0,50.0,W,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,5,0,GL,HL,0.0,4.0,0.0,0.18,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
