Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team_x,Opp_Team_x,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch_x,total_rounds,win_rate,KPR,DPR,APR,FKPR,FKWR,FDPR,ct_wr,t_wr,RESULT,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,Team_y,Opp_Team_y,Patch_y,total_mult_kill,total_clutch,MKPR,CPR,0,astra,breach,brimstone,cypher,jett,killjoy,omen,phoenix,raze,reyna,sage,skye,sova,viper,yoru
Jonn,reyna,150,12,14,5,-2,74.0,25,2,2,0,6797,GL,IMP,13,9,5,5,8,4,BIND,0.0,22,59.09,0.55,0.64,0.23,0.09,50.0,0.09,50.0,66.67,W,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,2,GL,IMP,1.12,3.0,0.0,0.14,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rst,omen,230,18,15,3,3,179.0,27,2,1,1,6797,IMP,GL,9,13,4,8,5,5,BIND,0.0,22,40.91,0.82,0.68,0.14,0.09,66.67,0.05,33.33,50.0,L,3,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,72,6,2,IMP,GL,1.12,5.0,2.0,0.23,0.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
txddy,cypher,208,16,18,4,-2,130.1,21,1,4,-3,6797,IMP,GL,9,13,4,8,5,5,BIND,0.0,22,40.91,0.73,0.82,0.18,0.05,20.0,0.18,33.33,50.0,L,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0,0,IMP,GL,1.12,3.0,0.0,0.14,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Biscoit1n,jett,189,13,19,3,-6,110.9,19,1,6,-5,6797,IMP,GL,9,13,4,8,5,5,BIND,0.0,22,40.91,0.59,0.86,0.14,0.05,14.29,0.27,33.33,50.0,L,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0,0,IMP,GL,1.12,2.0,0.0,0.09,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Evilkyk,sova,188,11,17,9,-6,129.9,22,1,2,-1,6797,IMP,GL,9,13,4,8,5,5,BIND,0.0,22,40.91,0.5,0.77,0.41,0.05,33.33,0.09,33.33,50.0,L,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51,2,0,IMP,GL,1.12,3.0,1.0,0.14,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tuyz,raze,144,11,16,3,-5,108.7,20,2,2,0,6797,IMP,GL,9,13,4,8,5,5,BIND,0.0,22,40.91,0.5,0.73,0.14,0.09,50.0,0.09,33.33,50.0,L,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0,0,IMP,GL,1.12,2.0,0.0,0.09,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Masu,omen,243,13,13,0,0,132.8,30,2,0,2,6526,RED,GL,3,13,2,2,1,11,ASCENT,0.0,16,18.75,0.81,0.81,0.0,0.12,100.0,0.0,50.0,8.33,L,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51,0,0,RED,GL,0.0,2.0,1.0,0.12,0.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pepa,raze,147,8,15,3,-7,79.2,12,2,2,0,6526,RED,GL,3,13,2,2,1,11,ASCENT,0.0,16,18.75,0.5,0.94,0.19,0.12,50.0,0.12,50.0,8.33,L,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,0,RED,GL,0.0,2.0,0.0,0.12,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pollo,breach,116,6,15,4,-9,75.9,17,0,3,-3,6526,RED,GL,3,13,2,2,1,11,ASCENT,0.0,16,18.75,0.38,0.94,0.25,0.0,0.0,0.19,50.0,8.33,L,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1,1,RED,GL,0.0,1.0,0.0,0.06,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FV,sova,76,4,15,3,-11,49.3,25,0,2,-2,6526,RED,GL,3,13,2,2,1,11,ASCENT,0.0,16,18.75,0.25,0.94,0.19,0.0,0.0,0.12,50.0,8.33,L,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,RED,GL,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
