Team_x,match_id,Map,ACS,K,D,A,KD_DIFF,ADR,HS%,ECON,FK,FD,KPR,DPR,APR,FKPR,FDPR,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,PL,DE,total_mult_kill,MKPR,total_clutch,CPR,jett,raze,phoenix,reyna,yoru,omen,brimstone,viper,cypher,sage,killjoy,breach,sova,skye,Opp_Team_x,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Patch_x,total_rounds,win_rate,ct_wr,t_wr,RESULT,Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch
ATHZ,8242,ICEBOX,215.0,17.0,16.2,4.2,0.8,134.34,22.2,55.2,10,13,3.7,3.52,0.91,0.43999999999999995,0.55,15,6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11,3,22.0,0.9500000000000001,1.0,0.04,0,1,1,0,0,1,0,0,0,1,1,0,0,0,HAVAN,13,10,4,7,9,3,1.14,23,56.52,36.36,75.0,W,ATHZ,1,2,50.0,3,1,33.0,3,0,0.0,3,1,33.0,14,11,79.0,HAVAN,1.0,1.14
ATHZ,8610,BIND,181.4,14.2,16.2,5.8,-2.0,113.12,20.0,44.6,14,9,3.09,3.54,1.25,0.6,0.38,12,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7,2,17.0,0.7300000000000001,1.0,0.04,1,1,0,0,0,1,0,0,1,0,0,0,1,0,Rise,10,13,6,6,4,7,2.01,23,43.48,50.0,36.36,L,ATHZ,2,2,100.0,2,2,100.0,2,1,50.0,6,3,50.0,13,4,31.0,Rise,1.0,2.01
ATHZ,8610,HAVEN,208.8,15.2,11.4,7.0,3.8,120.26,22.4,48.6,12,8,3.8,2.85,1.75,0.6,0.4,18,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8,3,21.0,1.0499999999999998,2.0,0.1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,Rise,13,7,6,6,7,1,2.01,20,65.0,50.0,87.5,W,ATHZ,2,2,100.0,2,2,100.0,0,0,0.0,6,5,83.0,12,6,50.0,Rise,1.0,2.01
ATHZ,8610,ICEBOX,191.2,13.8,17.0,4.8,-3.2,122.52,23.0,49.2,8,13,3.2800000000000002,4.04,1.1500000000000001,0.38,0.62,12,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10,2,15.0,0.72,1.0,0.05,0,1,1,0,0,1,0,0,0,1,1,0,0,0,Rise,8,13,2,7,6,6,2.01,21,38.1,22.22,50.0,L,ATHZ,1,2,50.0,3,1,33.0,2,0,0.0,5,2,40.0,11,5,45.0,Rise,1.0,2.01
B4,2939,BIND,195.4,21.8,20.4,6.4,1.4,124.4,18.0,42.8,14,18,3.42,3.1799999999999997,1.0,0.43,0.55,18,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13,5,25.0,0.78,1.0,0.03,0,1,1,0,0,1,0,0,1,0,0,0,1,0,FF,17,15,5,7,7,5,1.08,32,53.12,41.67,58.33,W,B4,1,2,50.0,3,1,33.0,2,0,0.0,4,2,50.0,23,14,61.0,FF,1.0,1.08
B4,3051,ASCENT,163.2,10.0,14.0,4.2,-4.0,102.18,22.8,40.8,6,12,2.7800000000000002,3.8899999999999997,1.17,0.34,0.68,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,11.0,0.6200000000000001,0.0,0.0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,GL,5,13,2,4,3,9,1.08,18,27.78,33.33,25.0,L,B4,1,2,50.0,3,1,33.0,1,1,100.0,6,1,17.0,8,2,25.0,GL,1.0,1.08
B4,3140,HAVEN,174.6,12.2,15.6,5.0,-3.4,112.92,18.4,44.6,10,11,2.91,3.71,1.19,0.49,0.54,10,2,1.0,0.0,2.0,0.0,1.0,0.0,0.0,7,1,13.0,0.62,3.0,0.15000000000000002,1,0,1,0,0,1,0,0,1,0,0,0,1,0,GL,8,13,2,10,6,3,1.08,21,38.1,16.67,66.67,L,B4,1,2,50.0,3,1,33.0,2,1,50.0,4,2,50.0,12,4,33.0,GL,1.0,1.08
B4,3140,SPLIT,201.6,15.6,17.4,5.6,-1.8,126.0,20.6,52.0,12,11,3.3800000000000003,3.7800000000000002,1.21,0.51,0.47000000000000003,14,4,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3,3,19.0,0.8200000000000001,2.0,0.09,0,1,0,0,0,1,0,0,1,0,1,1,0,0,GL,10,13,8,4,2,9,1.08,23,43.48,66.67,18.18,L,B4,1,2,50.0,2,1,50.0,4,1,25.0,3,1,33.0,14,7,50.0,GL,1.0,1.08
B4,3144,ASCENT,170.6,11.8,15.4,3.8,-3.6,100.24,16.0,40.0,7,13,2.95,3.8499999999999996,0.95,0.35000000000000003,0.65,14,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7,0,15.0,0.7499999999999999,1.0,0.05,1,0,0,0,0,1,0,0,1,1,0,0,1,0,GL,7,13,2,6,5,7,1.08,20,35.0,25.0,41.67,L,B4,1,2,50.0,3,1,33.0,1,0,0.0,5,3,60.0,11,3,27.0,GL,1.0,1.08
B4,3170,ASCENT,194.6,12.0,14.2,4.4,-2.2,126.4,22.0,57.0,8,10,3.33,3.95,1.22,0.45000000000000007,0.56,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,11.0,0.6200000000000001,0.0,0.0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,NOOR,5,13,2,4,3,9,1.08,18,27.78,33.33,25.0,L,B4,0,2,0.0,4,0,0.0,1,0,0.0,3,1,33.0,10,4,40.0,NOORG2.0,1.0,1.08
