Team_x,match_id,Map,ACS,K,D,A,KD_DIFF,ADR,HS%,ECON,FK,FD,KPR,DPR,APR,FKPR,FDPR,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,PL,DE,total_mult_kill,MKPR,total_clutch,CPR,jett,raze,phoenix,reyna,yoru,omen,brimstone,viper,cypher,sage,killjoy,breach,sova,skye,Opp_Team_x,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Patch_x,total_rounds,win_rate,ct_wr,t_wr,RESULT,Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch
BD,5998,HAVEN,177.4,15.8,20.4,5.0,-4.6,120.18,17.0,43.0,11,15,3.0500000000000003,3.93,0.96,0.43000000000000005,0.5800000000000001,16,1,2.0,0.0,2.0,0.0,1.0,0.0,0.0,8,2,19.0,0.7300000000000001,3.0,0.12,1,1,0,0,0,1,0,0,1,0,0,0,1,0,VKS,12,14,5,7,7,5,1.12,26,46.15,41.67,58.33,L,BD,2,2,100.0,2,2,100.0,4,1,25.0,6,4,67.0,14,5,36.0,VKS,1.0,1.12
BD,8238,ASCENT,224.2,16.4,13.4,7.6,3.0,135.14,16.8,57.4,15,6,3.9,3.19,1.8199999999999998,0.7200000000000001,0.3,17,5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7,1,22.0,1.0599999999999998,2.0,0.1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,3P,13,8,7,5,6,3,1.14,21,61.9,58.33,66.67,W,BD,1,2,50.0,3,1,33.0,1,1,100.0,4,3,75.0,13,8,62.0,3P,1.0,1.14
BD,8247,ASCENT,250.8,14.0,6.8,5.6,7.2,140.34,18.0,62.2,10,5,4.66,2.27,1.8700000000000003,0.67,0.34,13,7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,1,20.0,1.34,2.0,0.14,1,1,0,0,0,1,0,0,0,0,0,1,1,0,Swed,13,2,10,2,3,0,1.14,15,86.67,83.33,100.0,W,BD,2,2,100.0,2,2,100.0,0,0,0.0,3,3,100.0,10,8,80.0,SwedishStyle,1.0,1.14
BD,8247,HAVEN,235.2,15.0,9.0,5.2,6.0,134.12,17.2,54.4,8,9,4.42,2.64,1.53,0.48,0.54,12,4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12,1,18.0,1.0699999999999998,1.0,0.06,1,1,0,0,0,1,0,0,0,0,0,1,1,0,Swed,13,4,3,2,10,2,1.14,17,76.47,60.0,83.33,W,BD,1,2,50.0,2,1,50.0,1,1,100.0,3,3,100.0,11,8,73.0,SwedishStyle,1.0,1.14
BD,8295,ASCENT,223.6,16.0,12.4,7.2,3.6,138.86,20.0,57.4,15,5,4.0,3.0999999999999996,1.8,0.75,0.25,17,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8,1,20.0,0.9999999999999999,1.0,0.05,1,1,0,0,0,1,0,0,1,0,0,0,1,0,TREM,13,7,5,3,8,4,0.0,20,65.0,62.5,66.67,W,BD,1,2,50.0,3,1,33.0,0,0,0.0,4,3,75.0,13,9,69.0,TREMBALA,1.0,0.0
BD,8295,HAVEN,191.0,15.6,16.8,3.4,-1.2,123.96,22.0,51.0,13,11,3.24,3.5,0.6900000000000001,0.53,0.45,12,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8,4,17.0,0.7000000000000001,1.0,0.04,1,1,0,0,0,1,0,0,1,0,0,0,1,0,TREM,11,13,8,4,3,9,0.0,24,45.83,66.67,25.0,L,BD,1,2,50.0,3,1,33.0,1,0,0.0,7,1,14.0,13,9,69.0,TREMBALA,1.0,0.0
BD,8295,SPLIT,207.2,16.0,12.8,6.0,3.2,131.46,18.2,63.2,13,9,3.65,2.9099999999999997,1.3599999999999999,0.6000000000000001,0.42000000000000004,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,17.0,0.78,0.0,0.0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,TREM,13,9,8,4,5,5,0.0,22,59.09,66.67,50.0,W,BD,1,2,50.0,4,1,25.0,1,1,100.0,3,0,0.0,14,11,79.0,TREMBALA,1.0,0.0
BD,8297,ASCENT,210.2,15.0,17.8,6.8,-2.8,135.06,17.8,49.4,13,8,3.56,4.24,1.62,0.62,0.39,16,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11,1,18.0,0.8600000000000001,2.0,0.1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,IMP,8,13,3,6,5,7,0.0,21,38.1,33.33,41.67,L,BD,1,2,50.0,2,1,50.0,3,0,0.0,5,2,40.0,11,5,45.0,IMP,1.0,0.0
BD,8297,BIND,186.2,16.4,18.0,7.6,-1.6,126.82,21.0,47.0,14,12,3.15,3.4499999999999997,1.46,0.54,0.45999999999999996,18,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8,2,21.0,0.82,2.0,0.08,1,1,0,0,0,1,0,0,1,0,0,0,1,0,IMP,12,14,6,6,6,6,0.0,26,46.15,50.0,50.0,L,BD,2,2,100.0,2,2,100.0,2,0,0.0,7,5,71.0,15,5,33.0,IMP,1.0,0.0
BD,9317,BIND,233.4,15.8,10.8,6.2,5.0,145.04,20.0,65.6,9,10,4.16,2.84,1.63,0.48,0.55,18,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4,5,24.0,1.27,2.0,0.1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,semT,13,6,8,4,5,2,2.01,19,68.42,66.67,71.43,W,BD,0,2,0.0,4,0,0.0,0,0,0.0,0,0,0.0,15,13,87.0,semTAG,1.0,2.01
BD,9324,HAVEN,189.8,15.4,16.8,8.0,-1.4,123.56,22.8,47.8,12,12,3.21,3.5,1.6599999999999997,0.49,0.48000000000000004,12,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10,4,18.0,0.75,1.0,0.04,0,1,0,0,1,1,0,0,1,0,0,0,1,0,DLWZK,11,13,5,7,6,6,2.01,24,45.83,41.67,50.0,L,BD,1,2,50.0,3,1,33.0,0,0,0.0,4,2,50.0,17,8,47.0,DLWZK,1.0,2.01
DG,2700,HAVEN,215.8,14.8,10.6,4.8,4.2,130.34,21.4,53.0,15,4,3.8899999999999997,2.8,1.27,0.7899999999999999,0.21000000000000002,16,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,20.0,1.0499999999999998,0.0,0.0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,FF,13,6,8,4,5,2,1.07,19,68.42,66.67,71.43,W,DG,2,2,100.0,2,2,100.0,0,0,0.0,6,4,67.0,11,7,64.0,FF,1.0,1.07
DG,2764,ASCENT,197.2,28.6,29.4,9.0,-0.8,136.62,19.4,40.2,22,20,3.4000000000000004,3.5,1.08,0.51,0.48000000000000004,24,9,1.0,0.0,1.0,2.0,0.0,0.0,0.0,11,3,34.0,0.81,3.0,0.06,0,1,0,1,0,1,0,0,1,0,0,0,1,0,GL,22,20,7,5,5,7,1.08,42,52.38,58.33,41.67,W,DG,1,2,50.0,3,1,33.0,2,1,50.0,2,1,50.0,35,19,54.0,GL,1.0,1.08
DG,2764,HAVEN,203.0,22.6,22.0,10.4,0.6,127.4,17.6,41.0,18,14,3.54,3.44,1.6300000000000001,0.56,0.44,19,8,1.0,0.0,1.0,1.0,1.0,0.0,0.0,10,4,28.0,0.8800000000000001,3.0,0.09,0,1,0,1,0,1,0,0,1,0,0,0,1,0,GL,17,15,6,6,6,6,1.08,32,53.12,50.0,50.0,W,DG,2,2,100.0,3,2,67.0,0,0,0.0,6,4,67.0,23,11,48.0,GL,1.0,1.08
DG,2836,HAVEN,206.2,19.0,19.8,8.4,-0.8,144.98,20.2,54.6,9,17,3.65,3.81,1.6099999999999999,0.35000000000000003,0.66,22,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11,4,24.0,0.92,2.0,0.08,0,1,0,1,0,1,0,0,1,0,0,0,1,0,FF,12,14,4,8,8,4,1.08,26,46.15,33.33,66.67,L,DG,1,2,50.0,3,1,33.0,4,1,25.0,2,0,0.0,17,10,59.0,FF,1.0,1.08
DG,2836,SPLIT,183.6,13.0,16.4,5.0,-3.4,128.08,23.6,50.4,12,9,3.09,3.9,1.19,0.58,0.43999999999999995,11,4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9,0,15.0,0.7100000000000001,2.0,0.1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,FF,8,13,0,12,8,1,1.08,21,38.1,0.0,88.89,L,DG,1,2,50.0,3,1,33.0,2,0,0.0,6,1,17.0,10,6,60.0,FF,1.0,1.08
DG,4026,ASCENT,198.4,12.8,17.2,4.8,-4.4,141.3,22.2,58.4,9,11,3.1999999999999997,4.3,1.2,0.44999999999999996,0.55,8,7,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3,0,18.0,0.9,3.0,0.15000000000000002,0,1,0,0,0,1,0,0,1,0,0,1,1,0,BD,7,13,5,7,2,6,1.1,20,35.0,41.67,25.0,L,DG,0,2,0.0,6,0,0.0,1,0,0.0,4,1,25.0,9,6,67.0,BD,1.0,1.1
DG,4694,BIND,174.8,15.4,19.6,3.4,-4.2,111.8,19.6,39.6,14,12,2.96,3.77,0.66,0.53,0.45999999999999996,15,3,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4,3,18.0,0.7000000000000001,4.0,0.16,0,1,1,0,0,1,0,0,1,0,0,0,1,0,BD,12,14,10,2,2,10,1.1,26,46.15,83.33,16.67,L,DG,1,2,50.0,3,1,33.0,2,0,0.0,6,4,67.0,15,7,47.0,BD,1.0,1.1
DLWZK,5279,ASCENT,210.8,17.2,15.8,6.8,1.4,133.44,16.6,52.4,15,8,3.7499999999999996,3.4399999999999995,1.47,0.65,0.34,16,4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8,4,21.0,0.91,2.0,0.08,1,1,0,0,0,1,0,0,1,0,0,0,1,0,HAVAN,13,10,11,1,2,9,1.12,23,56.52,91.67,18.18,W,DLWZK,1,2,50.0,3,1,33.0,2,0,0.0,8,3,38.0,10,9,90.0,HAVAN,1.0,1.12
DLWZK,5279,HAVEN,157.4,9.0,16.2,3.4,-7.2,96.84,16.2,36.6,6,12,2.5,4.49,0.9500000000000001,0.34,0.68,5,4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4,3,10.0,0.56,2.0,0.12,1,1,0,0,0,1,0,0,1,0,0,0,1,0,HAVAN,5,13,5,1,0,12,1.12,18,27.78,83.33,0.0,L,DLWZK,1,2,50.0,3,1,33.0,2,0,0.0,6,2,33.0,7,2,29.0,HAVAN,1.0,1.12
DLWZK,5279,SPLIT,180.6,12.8,16.6,4.0,-3.8,110.94,15.6,43.8,7,14,3.04,3.95,0.96,0.35,0.67,13,0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5,1,14.0,0.68,2.0,0.1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,HAVAN,8,13,3,6,5,7,1.12,21,38.1,33.33,41.67,L,DLWZK,1,2,50.0,3,2,67.0,1,0,0.0,11,5,45.0,6,1,17.0,HAVAN,1.0,1.12
DLWZK,8611,ASCENT,236.4,13.0,7.6,5.4,5.4,164.54,27.2,78.6,10,5,4.33,2.54,1.8,0.67,0.33,8,5,2.0,0.0,0.0,1.0,1.0,0.0,0.0,9,1,15.0,1.0,2.0,0.14,1,1,0,0,0,1,0,0,0,0,1,0,1,0,Rise,13,2,3,0,10,2,2.01,15,86.67,100.0,83.33,W,DLWZK,1,2,50.0,3,2,67.0,0,0,0.0,3,2,67.0,15,12,80.0,Rise,1.0,2.01
DLWZK,8611,BIND,206.2,16.6,17.0,7.0,-0.4,127.16,19.0,51.2,10,14,3.46,3.54,1.4500000000000002,0.41,0.58,20,5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7,1,26.0,1.07,2.0,0.08,1,1,0,0,0,1,0,0,1,0,0,0,1,0,Rise,11,13,5,7,6,6,2.01,24,45.83,41.67,50.0,L,DLWZK,2,2,100.0,3,2,67.0,2,0,0.0,9,6,67.0,10,3,30.0,Rise,1.0,2.01
DLWZK,8611,ICEBOX,239.8,18.0,14.8,7.6,3.2,146.34,20.2,57.2,11,10,4.279999999999999,3.5200000000000005,1.8,0.53,0.47000000000000003,18,6,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6,4,25.0,1.2,2.0,0.1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,Rise,13,8,8,4,5,4,2.01,21,61.9,66.67,55.56,W,DLWZK,1,2,50.0,3,2,67.0,0,0,0.0,2,1,50.0,16,10,62.0,Rise,1.0,2.01
DLWZK,8611,SPLIT,229.8,15.0,10.4,4.0,4.6,138.34,24.0,58.0,10,8,4.17,2.8899999999999997,1.1099999999999999,0.56,0.45,16,4,1.0,0.0,2.0,1.0,0.0,0.0,0.0,9,2,21.0,1.1700000000000002,3.0,0.16999999999999998,1,1,0,0,0,1,0,0,0,0,1,0,0,1,Rise,13,5,5,1,7,4,2.01,18,72.22,83.33,63.64,W,DLWZK,1,2,50.0,2,1,50.0,0,0,0.0,5,3,60.0,11,9,82.0,Rise,1.0,2.01
DLWZK,9261,ASCENT,212.6,14.8,15.2,6.0,-0.4,120.58,17.0,47.8,11,9,3.7,3.8000000000000007,1.4999999999999998,0.55,0.44999999999999996,20,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,2,23.0,1.15,1.0,0.05,1,1,0,0,0,1,0,0,0,0,1,0,1,0,S5,7,13,6,6,1,7,2.01,20,35.0,50.0,12.5,L,DLWZK,1,2,50.0,2,1,50.0,3,2,67.0,7,2,29.0,8,2,25.0,S5,1.0,2.01
DLWZK,9324,HAVEN,200.4,16.8,15.4,6.2,1.4,124.84,17.2,50.6,12,12,3.5,3.2,1.29,0.49,0.48000000000000004,14,5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,10,4,21.0,0.88,1.0,0.04,1,1,0,0,0,1,0,0,1,0,0,0,1,0,BD,13,11,6,6,7,5,2.01,24,54.17,50.0,58.33,W,DLWZK,1,2,50.0,3,1,33.0,2,2,100.0,5,1,20.0,14,9,64.0,BD,1.0,2.01
DLWZK,9426,ASCENT,198.0,16.2,18.6,6.0,-2.4,130.68,19.2,49.6,11,13,3.38,3.88,1.25,0.45000000000000007,0.53,14,2,2.0,0.0,3.0,1.0,0.0,0.0,0.0,9,3,18.0,0.7500000000000001,4.0,0.16,1,1,0,0,0,1,0,0,0,0,1,0,1,0,IMP,11,13,4,8,7,5,2.01,24,45.83,33.33,58.33,L,DLWZK,1,2,50.0,3,1,33.0,2,0,0.0,10,7,70.0,9,3,33.0,IMP,1.0,2.01
DLWZK,9426,BIND,181.2,10.6,15.2,4.2,-4.6,117.12,22.8,49.2,4,14,2.94,4.21,1.17,0.24,0.78,11,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5,2,14.0,0.79,2.0,0.12,1,1,0,0,0,1,0,0,1,0,0,0,1,0,IMP,5,13,4,8,1,5,2.01,18,27.78,33.33,16.67,L,DLWZK,0,2,0.0,4,0,0.0,2,1,50.0,5,2,40.0,7,2,29.0,IMP,1.0,2.01
DLWZK,12079,ASCENT,159.6,10.2,14.0,3.0,-3.8,105.2,19.4,41.8,5,14,2.6999999999999997,3.6899999999999995,0.79,0.27,0.75,10,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,14.0,0.73,0.0,0.0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,Sharks,6,13,1,6,5,7,2.03,19,31.58,14.29,41.67,L,DLWZK,1,2,50.0,3,1,33.0,1,0,0.0,8,3,38.0,7,2,29.0,Sharks,1.0,2.03
DLWZK,12079,HAVEN,200.6,19.2,18.8,6.8,0.4,131.24,18.6,46.0,14,14,3.42,3.3600000000000003,1.21,0.5,0.5000000000000001,16,5,2.0,0.0,1.0,0.0,1.0,0.0,0.0,13,1,23.0,0.8099999999999999,2.0,0.08,1,1,0,0,0,1,0,0,1,0,0,0,1,0,Sharks,13,15,5,7,7,5,2.03,28,46.43,41.67,58.33,L,DLWZK,1,2,50.0,4,1,25.0,0,0,0.0,3,2,67.0,21,10,48.0,Sharks,1.0,2.03
Estral,2930,ASCENT,196.4,17.8,19.2,6.6,-1.4,132.04,19.0,49.0,14,12,3.43,3.7,1.27,0.56,0.47,13,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7,1,20.0,0.77,1.0,0.04,1,0,0,0,0,1,0,0,1,0,0,1,1,0,GL,12,14,8,4,4,8,1.08,26,46.15,66.67,33.33,L,Estral,2,2,100.0,2,2,100.0,3,0,0.0,4,2,50.0,17,8,47.0,GL,1.0,1.08
Estral,3467,BIND,252.2,13.4,3.8,5.8,9.6,155.66,27.8,87.0,12,2,4.78,1.3599999999999999,2.07,0.8500000000000001,0.14,12,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,19.0,1.3599999999999999,0.0,0.0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,BD,13,1,11,1,2,0,1.09,14,92.86,91.67,100.0,W,Estral,2,2,100.0,2,2,100.0,0,0,0.0,2,2,100.0,10,9,90.0,BD,1.0,1.09
Estral,3472,ASCENT,193.4,16.2,18.4,6.2,-2.2,124.82,18.6,48.0,17,7,3.38,3.83,1.29,0.7,0.28,15,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5,5,19.0,0.7899999999999999,2.0,0.08,1,0,0,0,0,1,0,0,1,0,0,1,1,0,GL,11,13,8,4,3,9,1.09,24,45.83,66.67,25.0,L,Estral,1,2,50.0,3,1,33.0,2,0,0.0,5,3,60.0,14,7,50.0,GL,1.0,1.09
FKL,2738,HAVEN,163.6,9.8,15.4,4.2,-5.6,104.16,24.8,41.6,8,10,2.72,4.27,1.17,0.44,0.5700000000000001,10,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2,2,12.0,0.6699999999999999,2.0,0.12,1,0,1,0,0,1,0,0,1,0,0,0,1,0,FF,5,13,3,9,2,4,1.07,18,27.78,25.0,33.33,L,FKL,0,2,0.0,3,0,0.0,2,0,0.0,7,3,43.0,6,2,33.0,FF,1.0,1.07
FKL,2978,BIND,191.8,11.6,17.0,4.6,-5.4,125.1,20.4,49.8,6,13,3.0600000000000005,4.47,1.22,0.32,0.7,8,6,0.0,0.0,2.0,3.0,0.0,0.0,0.0,7,0,14.0,0.7400000000000001,5.0,0.27,1,1,0,0,0,1,0,0,1,0,0,0,1,0,NOOR,6,13,2,5,4,8,1.08,19,31.58,28.57,33.33,L,FKL,0,2,0.0,3,0,0.0,3,1,33.0,8,4,50.0,5,1,20.0,NOORG2.0,1.0,1.08
FKL,2978,SPLIT,176.6,13.0,15.2,4.6,-2.2,112.34,17.8,44.8,9,12,3.09,3.6199999999999997,1.1,0.44,0.58,14,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,2,17.0,0.82,1.0,0.05,1,1,0,0,0,1,0,0,0,1,1,0,0,0,NOOR,8,13,8,4,0,9,1.08,21,38.1,66.67,0.0,L,FKL,1,2,50.0,3,1,33.0,1,0,0.0,6,0,0.0,11,7,64.0,NOORG2.0,1.0,1.08
FKL,4701,ASCENT,178.8,14.6,15.8,3.8,-1.2,109.94,15.2,40.4,16,8,3.04,3.29,0.79,0.66,0.32,18,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,1,20.0,0.82,1.0,0.04,1,1,0,0,0,1,0,0,0,0,1,0,1,0,FF,11,13,5,7,6,6,1.1,24,45.83,41.67,50.0,L,FKL,2,2,100.0,3,2,67.0,0,0,0.0,5,2,40.0,16,7,44.0,FF,1.0,1.1
FKL,4701,SPLIT,164.0,9.8,14.6,3.6,-4.8,102.94,13.0,41.0,6,13,2.5700000000000003,3.8500000000000005,0.95,0.32,0.6900000000000001,11,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,13.0,0.6900000000000001,1.0,0.05,1,1,0,0,0,1,0,0,1,0,1,0,0,0,FF,6,13,3,9,3,4,1.1,19,31.58,25.0,42.86,L,FKL,1,2,50.0,3,1,33.0,4,1,25.0,6,2,33.0,6,2,33.0,FF,1.0,1.1
FKL,5280,ASCENT,203.4,17.4,15.8,6.0,1.6,127.74,22.4,52.0,13,11,3.6399999999999997,3.29,1.24,0.54,0.44999999999999996,16,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,20.0,0.8300000000000001,0.0,0.0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,NMDM,11,13,5,7,6,6,1.12,24,45.83,41.67,50.0,L,FKL,1,2,50.0,3,2,67.0,1,1,100.0,8,3,38.0,12,5,42.0,NMDM,1.0,1.12
FKL,5280,HAVEN,232.2,14.2,10.2,5.0,4.0,134.18,22.8,52.4,11,6,4.159999999999999,3.01,1.48,0.66,0.36,15,3,2.0,1.0,2.0,1.0,0.0,0.0,0.0,4,2,21.0,1.22,3.0,0.18,1,0,1,0,0,1,0,0,1,1,0,0,0,0,NMDM,13,4,9,3,4,1,1.12,17,76.47,75.0,80.0,W,FKL,2,2,100.0,2,2,100.0,0,0,0.0,5,5,100.0,10,6,60.0,NMDM,1.0,1.12
FKL,5280,SPLIT,164.2,8.0,14.0,2.8,-6.0,115.4,24.6,49.0,4,11,2.67,4.66,0.9299999999999999,0.27,0.7400000000000002,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0,7.0,0.47000000000000003,1.0,0.07,1,1,0,0,0,1,0,0,1,1,0,0,0,0,NMDM,2,13,0,3,2,10,1.12,15,13.33,0.0,16.67,L,FKL,0,2,0.0,3,0,0.0,1,0,0.0,5,1,20.0,6,1,17.0,NMDM,1.0,1.12
FKL,6052,BIND,161.4,7.6,14.2,3.6,-6.6,113.0,17.4,46.0,7,8,2.54,4.73,1.2000000000000002,0.47000000000000003,0.55,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,7.0,0.47000000000000003,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,GL,2,13,0,3,2,10,1.12,15,13.33,0.0,16.67,L,FKL,0,2,0.0,2,0,0.0,4,1,25.0,5,0,0.0,4,1,25.0,GL,1.0,1.12
FKL,6052,SPLIT,174.4,10.6,15.6,3.0,-5.0,107.18,18.4,43.4,6,12,2.95,4.32,0.8300000000000001,0.33999999999999997,0.67,8,3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1,4,12.0,0.68,2.0,0.12,1,1,0,0,0,1,0,0,1,0,1,0,0,0,GL,5,13,4,8,1,5,1.12,18,27.78,33.33,16.67,L,FKL,1,2,50.0,3,1,33.0,3,0,0.0,7,3,43.0,5,1,20.0,GL,1.0,1.12
FURIA,9258,ASCENT,211.0,14.2,11.8,5.4,2.4,139.44,22.8,58.0,12,7,3.74,3.09,1.4200000000000002,0.64,0.37,15,3,2.0,0.0,1.0,1.0,0.0,0.0,0.0,7,3,20.0,1.0499999999999998,2.0,0.1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,Gala,13,6,5,2,8,4,2.01,19,68.42,71.43,66.67,W,FURIA,1,2,50.0,2,1,50.0,2,1,50.0,3,2,67.0,12,9,75.0,Galaxy Carrots,1.0,2.01
FURIA,9422,ASCENT,231.4,17.2,13.2,9.2,4.0,149.64,21.6,68.6,12,9,4.1,3.15,2.1799999999999997,0.5800000000000001,0.43000000000000005,15,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9,5,20.0,0.96,1.0,0.05,1,0,0,1,0,1,0,0,1,0,0,0,1,0,SLK,13,8,8,4,5,4,2.01,21,61.9,66.67,55.56,W,FURIA,0,2,0.0,3,0,0.0,0,0,0.0,5,4,80.0,13,9,69.0,SLK,1.0,2.01
FURIA,9422,HAVEN,220.4,19.6,20.6,9.0,-1.0,134.02,21.2,46.8,15,11,3.77,3.97,1.73,0.5900000000000001,0.42999999999999994,11,4,2.0,0.0,4.0,1.0,0.0,0.0,0.0,10,4,17.0,0.66,5.0,0.2,1,0,0,0,0,1,0,0,1,0,0,1,1,0,SLK,14,12,5,7,7,5,2.01,26,53.85,41.67,58.33,W,FURIA,1,2,50.0,2,1,50.0,3,1,33.0,9,5,56.0,12,7,58.0,SLK,1.0,2.01
FURIA,10340,ICEBOX,203.2,15.2,15.4,6.2,-0.2,126.52,16.8,54.0,11,11,3.4599999999999995,3.5,1.4,0.51,0.51,16,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6,6,18.0,0.8200000000000001,1.0,0.05,1,1,0,0,0,1,0,0,0,1,0,0,1,0,GL,9,13,6,6,3,7,2.02,22,40.91,50.0,30.0,L,FURIA,1,2,50.0,3,1,33.0,2,0,0.0,3,3,100.0,14,5,36.0,GL,1.0,2.02
FURIA,10345,ASCENT,220.6,16.6,13.6,4.0,3.0,130.3,19.8,50.6,11,10,3.95,3.23,0.96,0.53,0.48,21,4,0.0,0.0,1.0,2.0,0.0,0.0,0.0,7,3,25.0,1.1900000000000002,3.0,0.15000000000000002,1,0,0,1,0,1,0,0,1,0,0,0,1,0,IMP,13,8,7,5,6,3,2.02,21,61.9,58.33,66.67,W,FURIA,0,2,0.0,3,1,33.0,0,0,0.0,6,5,83.0,12,7,58.0,IMP,1.0,2.02
FURIA,10345,ICEBOX,260.8,15.4,6.8,5.6,8.6,179.66,21.2,82.6,13,3,4.82,2.13,1.7400000000000002,0.8,0.18,12,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,21.0,1.3199999999999998,0.0,0.0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,IMP,13,3,9,3,4,0,2.02,16,81.25,75.0,100.0,W,FURIA,2,2,100.0,2,2,100.0,0,0,0.0,4,4,100.0,10,7,70.0,IMP,1.0,2.02
FURIA,10347,HAVEN,252.6,14.2,6.8,7.0,7.4,148.44,24.0,77.8,11,4,4.73,2.27,2.3400000000000003,0.73,0.27,13,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,5,18.0,1.19,1.0,0.07,1,0,0,0,0,1,0,0,1,0,0,1,1,0,Rise,13,2,10,2,3,0,2.02,15,86.67,83.33,100.0,W,FURIA,1,2,50.0,2,1,50.0,1,1,100.0,3,3,100.0,9,8,89.0,Rise,1.0,2.02
FURIA,10347,ICEBOX,226.0,18.8,16.6,6.2,2.2,140.16,17.6,53.8,15,9,3.92,3.46,1.3,0.61,0.37,12,8,2.0,0.0,1.0,0.0,0.0,0.0,0.0,9,0,22.0,0.9199999999999999,1.0,0.04,1,1,0,0,0,1,0,0,0,1,0,0,1,0,Rise,13,11,5,7,8,4,2.02,24,54.17,41.67,66.67,W,FURIA,1,2,50.0,3,2,67.0,1,0,0.0,7,5,71.0,13,6,46.0,Rise,1.0,2.02
GL,2703,BIND,219.0,13.8,9.2,4.0,4.6,127.12,16.2,53.0,11,6,4.06,2.7,1.1799999999999997,0.66,0.35,13,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5,2,17.0,0.9999999999999999,2.0,0.12,1,0,1,0,0,1,0,0,1,1,0,0,0,0,Qiss,13,4,8,4,5,0,1.07,17,76.47,66.67,100.0,W,GL,2,2,100.0,2,2,100.0,0,0,0.0,4,4,100.0,11,7,64.0,Qisso,1.0,1.07
