Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
pMdr1,1,1,0,0,0,0,0.0,0.0,0.0,59,0,0,6686,HAVA,paiN,ASCENT,1.12
Myssen,0,0,0,0,0,0,0.0,0.0,0.0,29,0,0,6686,HAVA,paiN,ASCENT,1.12
murizzz,1,1,0,0,0,0,0.0,0.0,0.0,52,0,0,6686,paiN,HAVA,ASCENT,1.12
Txozin,4,1,1,0,1,0,0.0,0.0,0.0,75,6,0,6686,paiN,HAVA,ASCENT,1.12
matheuzin,0,1,0,0,0,0,0.0,0.0,0.0,40,3,0,6686,paiN,HAVA,ASCENT,1.12
kon4n,1,2,0,1,0,1,0.0,0.0,0.0,83,2,0,6686,paiN,HAVA,ASCENT,1.12
Veroneze,2,1,0,0,1,0,0.0,0.0,0.0,73,0,0,6686,paiN,HAVA,ASCENT,1.12
pleets,2,0,0,0.0,0,0.0,0.0,0.0,0.0,37,3,0,6686,HAVA,paiN,BIND,1.12
bNhardneja,6,1,0,0.0,0,0.0,0.0,0.0,0.0,82,0,2,6686,HAVA,paiN,BIND,1.12
shion,4,0,0,0.0,0,0.0,0.0,0.0,0.0,69,1,2,6686,HAVA,paiN,BIND,1.12
pMdr1,7,0,0,0.0,0,0.0,0.0,0.0,0.0,56,1,0,6686,HAVA,paiN,BIND,1.12
Myssen,2,1,1,0.0,0,0.0,0.0,0.0,0.0,49,2,0,6686,HAVA,paiN,BIND,1.12
murizzz,3,2,0,0.0,2,0.0,0.0,0.0,0.0,50,1,3,6686,paiN,HAVA,BIND,1.12
Txozin,1,2,0,0.0,2,0.0,0.0,0.0,0.0,31,0,0,6686,paiN,HAVA,BIND,1.12
matheuzin,2,0,0,0.0,0,0.0,0.0,0.0,0.0,29,4,1,6686,paiN,HAVA,BIND,1.12
kon4n,3,1,0,0.0,0,0.0,0.0,0.0,0.0,58,1,0,6686,paiN,HAVA,BIND,1.12
Veroneze,5,1,0,0.0,1,0.0,0.0,0.0,0.0,53,1,0,6686,paiN,HAVA,BIND,1.12
NANZIN,2,1,0,0.0,1,0,0.0,0.0,0.0,37,4,0,4944,Vivo,HAVA,BIND,1.1
flainzz,3,1,1,0.0,0,0,0.0,0.0,0.0,43,1,0,4944,Vivo,HAVA,BIND,1.1
patochovsk,2,1,0,0.0,1,0,0.0,0.0,0.0,56,0,1,4944,Vivo,HAVA,BIND,1.1
FLG1,4,1,0,0.0,1,0,0.0,0.0,0.0,53,7,1,4944,Vivo,HAVA,BIND,1.1
NikkoLAN,4,1,1,0.0,1,0,0.0,0.0,0.0,54,0,1,4944,Vivo,HAVA,BIND,1.1
pleets,3,0,0,0.0,0,0,0.0,0.0,0.0,50,1,1,4944,HAVA,Vivo,BIND,1.1
bNhardneja,2,0,0,0.0,0,0,0.0,0.0,0.0,30,0,0,4944,HAVA,Vivo,BIND,1.1
shion,7,1,0,0.0,0,0,0.0,0.0,0.0,70,6,3,4944,HAVA,Vivo,BIND,1.1
pMdr1,3,1,1,0.0,0,0,0.0,0.0,0.0,67,0,0,4944,HAVA,Vivo,BIND,1.1
Myssen,4,0,0,0.0,0,1,0.0,0.0,0.0,41,3,0,4944,HAVA,Vivo,BIND,1.1
NANZIN,1,1,0.0,0.0,0.0,0,0.0,1,0.0,34,1,2,4944,Vivo,HAVA,HAVEN,1.1
