Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
Fedrigues,80,2,16,5,-14,66.7,22,0,7,-7,4901,Furn,HAVAN,MATCH,1,1.1
New,172,8,14,0,-6,110.8,15,0,2,-2,4898,A-fo,HAVAN,MATCH,1,1.1
ãGBã,119,5,14,1,-9,73.9,24,1,3,-2,4898,A-fo,HAVAN,MATCH,1,1.1
WendyJr,103,3,14,3,-11,58.4,8,0,2,-2,4898,A-fo,HAVAN,MATCH,1,1.1
iSaeky,74,3,14,1,-11,43.3,5,0,4,-4,4898,A-fo,HAVAN,MATCH,1,1.1
Asuna,54,3,13,1,-10,37.1,31,0,2,-2,4898,A-fo,HAVAN,MATCH,1,1.1
pMdr1,350,18,4,5,14,210.9,31,6,1,5,4898,HAVAN,A-fo,MATCH,1,1.1
bNhardneja,324,15,7,10,8,221.4,18,2,0,2,4898,HAVAN,A-fo,MATCH,1,1.1
Myssen,312,18,2,2,16,191.9,61,1,0,1,4898,HAVAN,A-fo,MATCH,1,1.1
pleets,300,15,7,7,8,166.0,16,4,0,4,4898,HAVAN,A-fo,MATCH,1,1.1
shion,57,3,2,10,1,34.5,33,0,0,0,4898,HAVAN,A-fo,MATCH,1,1.1
shion,286,18,15,12,3,197.5,26,1,3,-2,4437,HAVAN,eRa,MATCH,1,1.1
Myssen,220,16,14,6,2,148.7,30,1,0,1,4437,HAVAN,eRa,MATCH,1,1.1
pMdr1,207,15,18,4,-3,144.2,33,4,3,1,4437,HAVAN,eRa,MATCH,1,1.1
bNhardneja,192,11,14,7,-3,135.4,9,1,4,-3,4437,HAVAN,eRa,MATCH,1,1.1
pleets,146,11,15,2,-4,106.1,28,2,1,1,4437,HAVAN,eRa,MATCH,1,1.1
Magic,312,24,13,5,11,180.6,17,5,2,3,4437,eRa,HAVAN,MATCH,1,1.1
boltiNxd,229,17,16,7,1,141.3,21,0,2,-2,4437,eRa,HAVAN,MATCH,1,1.1
Sasaki,193,15,14,5,1,123.8,21,0,0,0,4437,eRa,HAVAN,MATCH,1,1.1
bUURST,180,12,12,11,0,122.6,24,1,2,-1,4437,eRa,HAVAN,MATCH,1,1.1
sant,164,8,16,10,-8,102.6,33,5,3,2,4437,eRa,HAVAN,MATCH,1,1.1
pit,198,11,13,5,-2,119.0,28,0,2,-2,4436,Furn,HAVAN,MATCH,1,1.1
Physicx,196,9,14,5,-5,133.3,19,1,1,0,4436,Furn,HAVAN,MATCH,1,1.1
p9dro,149,8,15,0,-7,95.8,23,0,4,-4,4436,Furn,HAVAN,MATCH,1,1.1
Fedrigues,110,5,16,2,-11,63.9,8,0,5,-5,4436,Furn,HAVAN,MATCH,1,1.1
Vai,101,5,16,1,-11,72.4,11,1,2,-1,4436,Furn,HAVAN,MATCH,1,1.1
pleets,328,20,8,10,12,223.4,18,4,0,4,4436,HAVAN,Furn,MATCH,1,1.1
pMdr1,301,18,8,1,10,181.8,43,3,0,3,4436,HAVAN,Furn,MATCH,1,1.1
bNhardneja,236,13,9,4,4,126.9,20,3,0,3,4436,HAVAN,Furn,MATCH,1,1.1
shion,209,13,5,10,8,126.4,28,2,2,0,4436,HAVAN,Furn,MATCH,1,1.1
Myssen,145,10,8,2,2,99.0,35,2,0,2,4436,HAVAN,Furn,MATCH,1,1.1
bNhardneja,447,23,5,5,18,266.4,15,5,0,5,4433,HAVAN,A-fo,MATCH,1,1.1
pMdr1,338,17,6,2,11,198.5,27,3,0,3,4433,HAVAN,A-fo,MATCH,1,1.1
Myssen,225,12,3,3,9,118.2,48,0,1,-1,4433,HAVAN,A-fo,MATCH,1,1.1
shion,168,9,3,7,6,118.9,30,3,1,2,4433,HAVAN,A-fo,MATCH,1,1.1
pleets,139,7,4,4,3,104.7,12,1,0,1,4433,HAVAN,A-fo,MATCH,1,1.1
New,181,8,13,1,-5,129.9,9,0,2,-2,4433,A-fo,HAVAN,MATCH,1,1.1
iLadyTRz,136,6,13,1,-7,73.5,16,0,2,-2,4433,A-fo,HAVAN,MATCH,1,1.1
TioK1ll3R,96,3,14,3,-11,65.9,4,1,2,-1,4433,A-fo,HAVAN,MATCH,1,1.1
WendyJr,58,3,14,1,-11,34.6,13,1,2,-1,4433,A-fo,HAVAN,MATCH,1,1.1
iSaeky,12,0,14,1,-14,12.6,0,0,4,-4,4433,A-fo,HAVAN,MATCH,1,1.1
delevingne,384,21,9,2,12,224.6,30,5,2,3,3063,FF,HAVAN,MATCH,1,1.08
fzkk,254,12,10,5,2,156.9,13,2,2,0,3063,FF,HAVAN,MATCH,1,1.08
dragonite,244,14,4,7,10,151.9,26,1,0,1,3063,FF,HAVAN,MATCH,1,1.08
krain,236,11,6,8,5,150.8,15,0,1,-1,3063,FF,HAVAN,MATCH,1,1.08
v1xen,108,8,6,4,2,47.4,18,1,0,1,3063,FF,HAVAN,MATCH,1,1.08
