Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
bNhardneja,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,62,2.0,2.0,4908,HAVA,tiob,1.11,MATCH,1
shion,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,3.0,2.0,4908,HAVA,tiob,1.11,MATCH,1
pMdr1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,4908,HAVA,tiob,1.11,MATCH,1
Myssen,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,2.0,0.0,4908,HAVA,tiob,1.11,MATCH,1
SAPEKA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2.0,0.0,4908,tiob,HAVA,1.11,MATCH,1
NandeX,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,4.0,0.0,4908,tiob,HAVA,1.11,MATCH,1
dtt1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0.0,0.0,4908,tiob,HAVA,1.11,MATCH,1
Rub1ka,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68,2.0,0.0,4908,tiob,HAVA,1.11,MATCH,1
Igaum,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,37,3.0,0.0,4908,tiob,HAVA,1.11,MATCH,1
sant,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,4902,eRa,HAVA,1.1,MATCH,1
bUURST,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,3.0,0.0,4902,eRa,HAVA,1.1,MATCH,1
Magic,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,1.0,0.0,4902,eRa,HAVA,1.1,MATCH,1
Sasaki,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,2.0,1.0,4902,eRa,HAVA,1.1,MATCH,1
boltiNxd,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,53,1.0,0.0,4902,eRa,HAVA,1.1,MATCH,1
pleets,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,0.0,0.0,4902,HAVA,eRa,1.1,MATCH,1
bNhardneja,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,56,1.0,2.0,4902,HAVA,eRa,1.1,MATCH,1
shion,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,61,3.0,0.0,4902,HAVA,eRa,1.1,MATCH,1
pMdr1,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66,0.0,1.0,4902,HAVA,eRa,1.1,MATCH,1
Myssen,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49,2.0,0.0,4902,HAVA,eRa,1.1,MATCH,1
pleets,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,4901,HAVA,Furn,1.1,MATCH,1
