Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
rst,killjoy,222,17,16,2,1,133.3,18,1,1,0,10345,IMP,FURI,8,13,3,6,5,7,ASCENT,
Biscoit1n,jett,220,17,17,2,0,130.8,31,4,4,0,10345,IMP,FURI,8,13,3,6,5,7,ASCENT,
tuyz,raze,187,11,17,5,-6,128.3,11,3,3,0,10345,IMP,FURI,8,13,3,6,5,7,ASCENT,
Evilkyk,sova,169,12,18,6,-6,113.9,29,1,2,-1,10345,IMP,FURI,8,13,3,6,5,7,ASCENT,
gustt1nha,omen,147,11,15,3,-4,88.9,30,1,1,0,10345,IMP,FURI,8,13,3,6,5,7,ASCENT,
Quick,reyna,309,24,16,1,8,199.0,24,3,1,2,10345,FURI,IMP,13,8,7,5,6,3,ASCENT,
Nozwerr,sova,234,17,11,5,6,142.0,21,1,0,1,10345,FURI,IMP,13,8,7,5,6,3,ASCENT,
xand,jett,228,18,15,2,3,118.5,15,2,5,-3,10345,FURI,IMP,13,8,7,5,6,3,ASCENT,
txddy,cypher,174,11,14,7,-3,107.2,24,2,1,1,10345,FURI,IMP,13,8,7,5,6,3,ASCENT,
Khalil,omen,158,13,12,5,1,84.8,15,3,3,0,10345,FURI,IMP,13,8,7,5,6,3,ASCENT,
Slag,cypher,235,12,14,5,-2,111.5,27,1,0,1,10347,Rise,FURI,2,13,0,3,2,10,HAVEN,
GuhRVN,omen,143,6,14,3,-8,100.3,36,0,2,-2,10347,Rise,FURI,2,13,0,3,2,10,HAVEN,
leonzhet,sova,132,7,13,5,-6,82.9,30,1,0,1,10347,Rise,FURI,2,13,0,3,2,10,HAVEN,
glym,jett,127,6,15,2,-9,67.1,11,1,5,-4,10347,Rise,FURI,2,13,0,3,2,10,HAVEN,
DmL,reyna,73,3,15,2,-12,44.9,12,1,4,-3,10347,Rise,FURI,2,13,0,3,2,10,HAVEN,
xand,jett,428,23,8,4,15,244.3,23,5,0,5,10347,FURI,Rise,13,2,10,2,3,0,HAVEN,
Nozwerr,sova,286,15,6,9,9,165.7,19,1,1,0,10347,FURI,Rise,13,2,10,2,3,0,HAVEN,
Khalil,omen,198,13,4,4,9,117.3,23,2,0,2,10347,FURI,Rise,13,2,10,2,3,0,HAVEN,
txddy,cypher,182,9,7,8,2,119.3,26,2,2,0,10347,FURI,Rise,13,2,10,2,3,0,HAVEN,
Quick,breach,169,11,9,10,2,95.6,29,1,1,0,10347,FURI,Rise,13,2,10,2,3,0,HAVEN,
GuhRVN,brimstone,261,22,19,6,3,166.4,18,1,3,-2,10347,Rise,FURI,11,13,4,8,7,5,ICEBOX,
Slag,sage,212,17,19,8,-2,139.3,30,3,2,1,10347,Rise,FURI,11,13,4,8,7,5,ICEBOX,
glym,jett,185,14,23,5,-9,124.4,19,2,5,-3,10347,Rise,FURI,11,13,4,8,7,5,ICEBOX,
DmL,reyna,179,14,18,4,-4,121.7,26,3,3,0,10347,Rise,FURI,11,13,4,8,7,5,ICEBOX,
leonzhet,sova,168,16,15,4,1,112.2,26,0,2,-2,10347,Rise,FURI,11,13,4,8,7,5,ICEBOX,
xand,jett,384,33,17,4,16,221.5,12,5,2,3,10347,FURI,Rise,13,11,5,7,8,4,ICEBOX,
Nozwerr,sova,285,24,14,10,10,169.0,21,2,0,2,10347,FURI,Rise,13,11,5,7,8,4,ICEBOX,
Quick,raze,215,17,16,4,1,149.0,26,3,4,-1,10347,FURI,Rise,13,11,5,7,8,4,ICEBOX,
Khalil,omen,153,13,20,5,-7,93.6,17,2,1,1,10347,FURI,Rise,13,11,5,7,8,4,ICEBOX,
txddy,sage,93,7,16,8,-9,67.7,12,3,2,1,10347,FURI,Rise,13,11,5,7,8,4,ICEBOX,
Nozwerr,raze,366,21,8,5,13,214.4,6,3,0,3,13022,FURI,IMP,13,3,9,3,4,0,SPLIT,
xand,jett,363,21,12,4,9,197.8,22,7,1,6,13022,FURI,IMP,13,3,9,3,4,0,SPLIT,
Khalil,omen,211,13,7,10,6,129.8,11,1,0,1,13022,FURI,IMP,13,3,9,3,4,0,SPLIT,
Quick,sage,183,12,7,6,5,98.9,23,0,2,-2,13022,FURI,IMP,13,3,9,3,4,0,SPLIT,
txddy,cypher,143,7,11,7,-4,94.5,16,2,0,2,13022,FURI,IMP,13,3,9,3,4,0,SPLIT,
tuyz,sage,220,12,14,4,-2,190.1,30,1,2,-1,13022,IMP,FURI,3,13,0,4,3,9,SPLIT,
gustt1nha,raze,201,9,16,5,-7,129.8,22,1,6,-5,13022,IMP,FURI,3,13,0,4,3,9,SPLIT,
rst,omen,191,10,13,5,-3,241.9,16,0,1,-1,13022,IMP,FURI,3,13,0,4,3,9,SPLIT,
Evilkyk,skye,158,8,15,5,-7,89.8,11,0,2,-2,13022,IMP,FURI,3,13,0,4,3,9,SPLIT,
Biscoit1n,cypher,120,6,16,3,-10,75.9,26,1,2,-1,13022,IMP,FURI,3,13,0,4,3,9,SPLIT,
xand,jett,259,19,17,1,2,132.9,33,6,4,2,13022,FURI,IMP,7,13,2,10,5,3,HAVEN,
Nozwerr,sova,243,15,12,8,3,165.6,28,0,2,-2,13022,FURI,IMP,7,13,2,10,5,3,HAVEN,
txddy,cypher,185,11,16,5,-5,122.3,24,3,1,2,13022,FURI,IMP,7,13,2,10,5,3,HAVEN,
Quick,breach,129,9,17,9,-8,59.8,26,0,1,-1,13022,FURI,IMP,7,13,2,10,5,3,HAVEN,
Khalil,omen,119,9,16,2,-7,68.2,11,1,2,-1,13022,FURI,IMP,7,13,2,10,5,3,HAVEN,
Evilkyk,sova,310,23,13,12,10,202.2,46,1,2,-1,13022,IMP,FURI,13,7,3,5,10,2,HAVEN,
gustt1nha,omen,233,17,13,5,4,137.2,37,1,0,1,13022,IMP,FURI,13,7,3,5,10,2,HAVEN,
Biscoit1n,jett,213,15,16,5,-1,131.6,19,6,6,0,13022,IMP,FURI,13,7,3,5,10,2,HAVEN,
tuyz,sage,194,13,10,16,3,127.2,33,2,2,0,13022,IMP,FURI,13,7,3,5,10,2,HAVEN,
rst,breach,146,10,11,11,-1,90.8,23,0,0,0,13022,IMP,FURI,13,7,3,5,10,2,HAVEN,
xand,jett,433,28,7,4,21,226.1,30,4,1,3,13022,FURI,IMP,13,3,9,3,4,0,ASCENT,
Nozwerr,sova,246,13,10,13,3,154.7,17,3,1,2,13022,FURI,IMP,13,3,9,3,4,0,ASCENT,
Khalil,omen,191,12,5,5,7,127.6,23,1,2,-1,13022,FURI,IMP,13,3,9,3,4,0,ASCENT,
Quick,raze,177,9,9,6,0,114.1,18,1,0,1,13022,FURI,IMP,13,3,9,3,4,0,ASCENT,
txddy,killjoy,165,10,10,3,0,124.3,29,2,1,1,13022,FURI,IMP,13,3,9,3,4,0,ASCENT,
tuyz,sage,206,11,14,5,-3,122.1,31,1,0,1,13022,IMP,FURI,3,13,0,4,3,9,ASCENT,
gustt1nha,reyna,194,10,14,7,-4,127.8,21,2,4,-2,13022,IMP,FURI,3,13,0,4,3,9,ASCENT,
Evilkyk,sova,177,8,14,4,-6,105.5,28,1,3,-2,13022,IMP,FURI,3,13,0,4,3,9,ASCENT,
Biscoit1n,killjoy,144,8,16,3,-8,94.4,30,0,3,-3,13022,IMP,FURI,3,13,0,4,3,9,ASCENT,
rst,omen,96,4,14,6,-10,60.4,3,1,1,0,13022,IMP,FURI,3,13,0,4,3,9,ASCENT,
mwzera,raze,300,32,28,8,4,196.3,16,6,4,2,13025,GL,FURI,16,18,8,4,4,8,SPLIT,
Jonn,jett,234,28,26,4,2,151.3,23,5,2,3,13025,GL,FURI,16,18,8,4,4,8,SPLIT,
Nyang,breach,171,18,25,16,-7,103.0,21,2,4,-2,13025,GL,FURI,16,18,8,4,4,8,SPLIT,
fznnn,cypher,147,19,23,8,-4,95.6,21,1,3,-2,13025,GL,FURI,16,18,8,4,4,8,SPLIT,
JhoW,omen,133,14,24,8,-10,81.5,10,2,5,-3,13025,GL,FURI,16,18,8,4,4,8,SPLIT,
Nozwerr,raze,288,35,22,2,13,185.4,25,9,3,6,13025,FURI,GL,18,16,8,4,4,8,SPLIT,
xand,jett,264,32,25,3,7,152.4,24,4,3,1,13025,FURI,GL,18,16,8,4,4,8,SPLIT,
Quick,sage,177,23,21,7,2,99.1,32,4,4,0,13025,FURI,GL,18,16,8,4,4,8,SPLIT,
txddy,cypher,170,20,22,11,-2,117.6,21,0,3,-3,13025,FURI,GL,18,16,8,4,4,8,SPLIT,
Khalil,omen,146,16,21,8,-5,109.4,17,1,3,-2,13025,FURI,GL,18,16,8,4,4,8,SPLIT,
mwzera,jett,326,25,17,4,8,175.8,16,4,1,3,13025,GL,FURI,13,10,4,7,9,3,HAVEN,
Jonn,phoenix,273,21,17,4,4,175.9,28,9,0,9,13025,GL,FURI,13,10,4,7,9,3,HAVEN,
fznnn,sova,212,16,12,13,4,142.5,21,3,2,1,13025,GL,FURI,13,10,4,7,9,3,HAVEN,
JhoW,omen,156,12,16,8,-4,89.7,12,1,2,-1,13025,GL,FURI,13,10,4,7,9,3,HAVEN,
Nyang,cypher,129,11,14,3,-3,132.8,26,1,0,1,13025,GL,FURI,13,10,4,7,9,3,HAVEN,
Nozwerr,sova,237,16,17,9,-1,141.1,20,1,0,1,13025,FURI,GL,10,13,3,9,7,4,HAVEN,
Quick,phoenix,232,19,16,9,3,153.0,29,1,4,-3,13025,FURI,GL,10,13,3,9,7,4,HAVEN,
txddy,cypher,203,16,15,6,1,149.1,27,2,2,0,13025,FURI,GL,10,13,3,9,7,4,HAVEN,
xand,jett,175,13,21,3,-8,112.4,24,1,7,-6,13025,FURI,GL,10,13,3,9,7,4,HAVEN,
Khalil,omen,148,12,16,6,-4,102.8,21,0,5,-5,13025,FURI,GL,10,13,3,9,7,4,HAVEN,
mwzera,raze,425,30,16,7,14,250.2,21,6,1,5,13025,GL,FURI,13,7,6,2,7,5,ICEBOX,
Jonn,jett,219,17,14,3,3,121.9,13,3,3,0,13025,GL,FURI,13,7,6,2,7,5,ICEBOX,
fznnn,sova,197,13,10,8,3,130.6,18,3,1,2,13025,GL,FURI,13,7,6,2,7,5,ICEBOX,
JhoW,omen,145,10,16,3,-6,63.4,9,1,1,0,13025,GL,FURI,13,7,6,2,7,5,ICEBOX,
Nyang,sage,111,9,10,6,-1,64.4,19,1,0,1,13025,GL,FURI,13,7,6,2,7,5,ICEBOX,
Nozwerr,sova,269,18,16,4,2,154.2,17,2,2,0,13025,FURI,GL,7,13,5,7,2,6,ICEBOX,
xand,jett,249,17,18,3,-1,143.5,32,2,3,-1,13025,FURI,GL,7,13,5,7,2,6,ICEBOX,
Quick,raze,222,14,16,5,-2,150.9,10,2,3,-1,13025,FURI,GL,7,13,5,7,2,6,ICEBOX,
Khalil,viper,150,11,13,3,-2,99.8,30,0,1,-1,13025,FURI,GL,7,13,5,7,2,6,ICEBOX,
txddy,sage,102,6,16,6,-10,69.9,27,0,5,-5,13025,FURI,GL,7,13,5,7,2,6,ICEBOX,
xand,jett,422,28,11,6,17,216.3,16,6,0,6,14100,FURI,BD,13,5,7,5,6,0,ASCENT,
Quick,raze,283,18,12,5,6,184.9,18,5,2,3,14100,FURI,BD,13,5,7,5,6,0,ASCENT,
txddy,killjoy,223,15,8,5,7,165.9,18,2,0,2,14100,FURI,BD,13,5,7,5,6,0,ASCENT,
Khalil,omen,144,9,12,8,-3,89.8,15,2,1,1,14100,FURI,BD,13,5,7,5,6,0,ASCENT,
Nozwerr,sova,129,9,7,10,2,76.2,12,0,0,0,14100,FURI,BD,13,5,7,5,6,0,ASCENT,
wilfps,cypher,229,15,15,2,0,119.9,29,1,1,0,14100,BD,FURI,5,13,0,6,5,7,ASCENT,
Dinttick,omen,169,12,15,2,-3,87.4,15,1,2,-1,14100,BD,FURI,5,13,0,6,5,7,ASCENT,
rhamurti,sova,161,9,16,5,-7,113.1,35,0,3,-3,14100,BD,FURI,5,13,0,6,5,7,ASCENT,
Docks,raze,150,7,17,3,-10,116.4,8,0,4,-4,14100,BD,FURI,5,13,0,6,5,7,ASCENT,
