Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
END,1,2,50.0,3,1,33.0,1,0,0.0,5,2,40.0,12,5,42.0,Rise,1.0,,22678,MATCH
Rise,1,4,25.0,7,1,14.0,4,0,0.0,12,5,42.0,17,10,59.0,RevoadaVLR,2.0,,23046,MATCH
RevoadaVLR,3,4,75.0,5,3,60.0,3,0,0.0,10,7,70.0,22,14,64.0,Rise,2.0,,23046,MATCH
Rise,1,4,25.0,6,1,17.0,1,0,0.0,10,5,50.0,32,21,66.0,ROLO COMPRESSOR,2.0,,23224,MATCH
ROLO COMPRESSOR,3,4,75.0,6,3,50.0,5,1,20.0,15,9,60.0,23,9,39.0,Rise,2.0,,23224,MATCH
Rise,4,4,100.0,4,4,100.0,2,1,50.0,13,6,46.0,21,15,71.0,EXZ,2.0,,22810,MATCH
EXZ,0,4,0.0,8,0,0.0,2,0,0.0,7,1,14.0,23,13,57.0,Rise,2.0,,22810,MATCH
TNET,8,8,100.0,10,8,80.0,10,5,50.0,17,9,53.0,50,27,54.0,Rise,4.0,,22811,MATCH
Rise,0,8,0.0,13,1,8.0,8,3,38.0,12,6,50.0,54,28,52.0,TNET,4.0,,22811,MATCH
Rise,3,4,75.0,5,4,80.0,2,0,0.0,7,5,71.0,26,17,65.0,QQQ,2.0,,24209,MATCH
QQQ,1,4,25.0,6,1,17.0,2,1,50.0,15,3,20.0,17,9,53.0,Rise,2.0,,24209,MATCH
HL,3,6,50.0,8,3,38.0,7,2,29.0,9,5,56.0,37,23,62.0,Rise,3.0,,24217,MATCH
Rise,3,6,50.0,9,3,33.0,5,1,20.0,13,6,46.0,34,18,53.0,HL,3.0,,24217,MATCH
