Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
Biscoit1n,176,14,17,3,-3,116.3,27,3,2,1,10339,IMP,Rise,MATCH,1,2.02
Evilkyk,153,10,17,6,-7,95.6,31,0,3,-3,10339,IMP,Rise,MATCH,1,2.02
glym,259,20,14,5,6,183.2,7,7,0,7,10339,Rise,IMP,MATCH,1,2.02
leonzhet,223,17,15,2,2,141.9,35,3,4,-1,10339,Rise,IMP,MATCH,1,2.02
Slag,213,18,14,2,4,141.2,29,0,1,-1,10339,Rise,IMP,MATCH,1,2.02
DmL,208,15,15,11,0,194.8,22,2,3,-1,10339,Rise,IMP,MATCH,1,2.02
GuhRVN,136,10,15,7,-5,131.1,27,0,2,-2,10339,Rise,IMP,MATCH,1,2.02
GuhRVN,279,33,28,7,5,179.1,28,3,2,1,10343,Rise,GL,MATCH,2,2.02
Slag,234,29,30,10,-1,151.2,33,5,3,2,10343,Rise,GL,MATCH,2,2.02
leonzhet,158,17,32,13,-15,106.8,30,0,3,-3,10343,Rise,GL,MATCH,2,2.02
glym,144,18,33,8,-15,96.5,16,1,10,-9,10343,Rise,GL,MATCH,2,2.02
DmL,86,10,33,9,-23,52.8,19,2,9,-7,10343,Rise,GL,MATCH,2,2.02
mwzera,297,43,25,6,18,205.2,17,7,2,5,10343,GL,Rise,MATCH,2,2.02
Jonn,257,36,25,5,11,159.2,29,11,2,9,10343,GL,Rise,MATCH,2,2.02
fznnn,247,32,21,12,11,174.3,25,4,2,2,10343,GL,Rise,MATCH,2,2.02
Nyang,201,23,21,26,2,138.3,20,4,3,1,10343,GL,Rise,MATCH,2,2.02
JhoW,138,22,15,4,7,83.6,22,1,2,-1,10343,GL,Rise,MATCH,2,2.02
Slag,224,29,33,13,-4,128.6,29,4,2,2,10347,Rise,FURI,MATCH,2,2.02
GuhRVN,202,28,33,9,-5,140.9,22,1,5,-4,10347,Rise,FURI,MATCH,2,2.02
glym,156,20,38,7,-18,102.4,17,3,10,-7,10347,Rise,FURI,MATCH,2,2.02
leonzhet,150,23,28,9,-5,100.9,28,1,2,-1,10347,Rise,FURI,MATCH,2,2.02
DmL,126,17,33,6,-16,92.2,22,4,7,-3,10347,Rise,FURI,MATCH,2,2.02
xand,406,56,25,8,31,230.3,16,10,2,8,10347,FURI,Rise,MATCH,2,2.02
Nozwerr,286,39,20,19,19,167.7,20,3,1,2,10347,FURI,Rise,MATCH,2,2.02
qck,192,28,25,14,3,128.5,27,4,5,-1,10347,FURI,Rise,MATCH,2,2.02
Khalil,176,26,24,9,2,102.7,19,4,1,3,10347,FURI,Rise,MATCH,2,2.02
txddy,138,16,23,16,-7,87.5,18,5,4,1,10347,FURI,Rise,MATCH,2,2.02
glym,292,20,8,5,12,172.2,20,1,1,0,12073,Rise,paiN,MATCH,1,2.03
Slag,290,19,13,2,6,161.0,37,6,3,3,12073,Rise,paiN,MATCH,1,2.03
GuhRVN,253,18,13,5,5,161.3,14,2,0,2,12073,Rise,paiN,MATCH,1,2.03
DmL,209,14,8,4,6,175.8,20,3,0,3,12073,Rise,paiN,MATCH,1,2.03
leonzhet,164,9,10,6,-1,101.6,24,1,1,0,12073,Rise,paiN,MATCH,1,2.03
pepa,231,14,17,4,-3,142.9,23,2,1,1,12073,paiN,Rise,MATCH,1,2.03
kon4n,212,12,17,5,-5,112.7,19,1,5,-4,12073,paiN,Rise,MATCH,1,2.03
matheuzin,200,13,14,5,-1,112.7,28,1,0,1,12073,paiN,Rise,MATCH,1,2.03
murizzz,151,9,15,4,-6,93.8,23,1,4,-3,12073,paiN,Rise,MATCH,1,2.03
ryotzz,94,4,17,2,-13,67.5,10,0,3,-3,12073,paiN,Rise,MATCH,1,2.03
Evilkyk,283,40,22,16,18,150.7,22,3,2,1,12078,IMP,Rise,MATCH,2,2.03
Biscoit1n,232,30,28,13,2,138.4,17,8,4,4,12078,IMP,Rise,MATCH,2,2.03
gustt1nha,231,33,26,17,7,148.7,19,2,7,-5,12078,IMP,Rise,MATCH,2,2.03
tuyz,172,21,21,17,0,99.7,19,2,2,0,12078,IMP,Rise,MATCH,2,2.03
rst,168,24,22,7,2,100.0,14,5,3,2,12078,IMP,Rise,MATCH,2,2.03
glym,238,31,29,6,2,155.1,18,6,2,4,12078,Rise,IMP,MATCH,2,2.03
Slag,215,28,32,8,-4,142.5,16,6,7,-1,12078,Rise,IMP,MATCH,2,2.03
leonzhet,179,21,31,18,-10,94.2,8,2,5,-3,12078,Rise,IMP,MATCH,2,2.03
GuhRVN,175,21,28,16,-7,139.1,25,1,1,0,12078,Rise,IMP,MATCH,2,2.03
DmL,142,18,28,7,-10,86.9,14,3,5,-2,12078,Rise,IMP,MATCH,2,2.03
Slag,251,36,38,10,-2,164.2,22,7,8,-1,12080,Rise,paiN,MATCH,2,2.03
DmL,204,33,30,16,3,135.6,18,1,1,0,12080,Rise,paiN,MATCH,2,2.03
leonzhet,190,28,31,13,-3,119.4,16,5,4,1,12080,Rise,paiN,MATCH,2,2.03
glym,181,28,33,5,-5,102.0,15,7,8,-1,12080,Rise,paiN,MATCH,2,2.03
GuhRVN,159,22,35,15,-13,104.3,19,3,0,3,12080,Rise,paiN,MATCH,2,2.03
murizzz,265,47,27,16,20,153.0,22,4,9,-5,12080,paiN,Rise,MATCH,2,2.03
matheuzin,224,35,25,21,10,127.9,23,5,3,2,12080,paiN,Rise,MATCH,2,2.03
ryotzz,194,30,31,11,-1,115.8,11,4,2,2,12080,paiN,Rise,MATCH,2,2.03
kon4n,183,26,37,9,-11,121.8,12,6,8,-2,12080,paiN,Rise,MATCH,2,2.03
pepa,181,29,29,12,0,111.0,13,3,2,1,12080,paiN,Rise,MATCH,2,2.03
