Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
IMP,1,2,50.0,3,1,33.0,0,0,,3,2,67.0,11,10,91.0,Rise,1.0,2.03,12078,ASCENT
Rise,1,2,50.0,3,1,33.0,3,0,0.0,3,1,33.0,8,2,25.0,IMP,1.0,2.03,12078,ASCENT
Rise,2,2,100.0,3,2,67.0,3,0,0.0,4,3,75.0,14,6,43.0,paiN,1.0,2.03,12080,BIND
paiN,0,2,0.0,3,0,0.0,2,1,50.0,2,2,100.0,17,10,59.0,Rise,1.0,2.03,12080,BIND
Rise,1,2,50.0,3,1,33.0,2,0,0.0,4,1,25.0,12,6,50.0,paiN,1.0,2.03,12080,ASCENT
paiN,1,2,50.0,3,1,33.0,1,0,0.0,4,2,50.0,13,10,77.0,Rise,1.0,2.03,12080,ASCENT
JAG,1,2,50.0,3,1,33.0,3,0,0.0,4,3,75.0,12,5,42.0,Rise,1.0,2.04,13525,HAVEN
Rise,1,2,50.0,3,1,33.0,2,0,0.0,4,1,25.0,13,11,85.0,JAG,1.0,2.04,13525,HAVEN
Rise,0,2,0.0,4,0,0.0,1,1,100.0,5,3,60.0,10,3,30.0,HL,1.0,2.04,13529,ASCENT
HL,2,2,100.0,2,2,100.0,0,0,,6,5,83.0,12,6,50.0,Rise,1.0,2.04,13529,ASCENT
Rise,2,2,100.0,2,2,100.0,0,0,,5,2,40.0,13,9,69.0,HL,1.0,2.04,13529,ICEBOX
HL,0,2,0.0,5,0,0.0,2,0,0.0,4,1,25.0,9,6,67.0,Rise,1.0,2.04,13529,ICEBOX
Rise,0,2,0.0,3,0,0.0,3,1,33.0,3,1,33.0,10,4,40.0,HL,1.0,2.04,13529,HAVEN
HL,2,2,100.0,3,2,67.0,1,1,100.0,3,3,100.0,12,7,58.0,Rise,1.0,2.04,13529,HAVEN
Rise,2,2,100.0,2,2,100.0,1,0,0.0,5,3,60.0,11,8,73.0,LPX Gaming,1.0,,14097,HAVEN
LPX Gaming,0,2,0.0,3,0,0.0,2,0,0.0,5,0,0.0,9,6,67.0,Rise,1.0,,14097,HAVEN
Rise,2,2,100.0,2,2,100.0,0,0,,3,2,67.0,13,9,69.0,LPX Gaming,1.0,,14097,ASCENT
LPX Gaming,0,2,0.0,4,0,0.0,2,0,0.0,4,4,100.0,8,1,12.0,Rise,1.0,,14097,ASCENT
GLB,2,2,100.0,2,2,100.0,1,1,100.0,3,3,100.0,10,7,70.0,Rise,1.0,,14200,ICEBOX
Rise,0,2,0.0,4,1,25.0,3,0,0.0,2,1,50.0,7,1,14.0,GLB,1.0,,14200,ICEBOX
Rise,0,2,0.0,4,0,0.0,2,0,0.0,2,0,0.0,20,13,65.0,SHK,1.0,,14205,HAVEN
SHK,2,2,100.0,3,2,67.0,1,0,0.0,8,2,25.0,16,11,69.0,Rise,1.0,,14205,HAVEN
Rise,1,2,50.0,4,1,25.0,2,0,0.0,6,4,67.0,10,4,40.0,SHK,1.0,,14205,ASCENT
SHK,1,2,50.0,3,1,33.0,0,0,,2,1,50.0,17,11,65.0,Rise,1.0,,14205,ASCENT
Rise,0,2,0.0,4,0,0.0,2,2,100.0,1,0,0.0,16,11,69.0,VK,1.0,,16753,ASCENT
VK,2,2,100.0,2,2,100.0,3,1,33.0,8,3,38.0,10,4,40.0,Rise,1.0,,16753,ASCENT
Rise,1,2,50.0,2,1,50.0,2,0,0.0,6,3,50.0,13,6,46.0,VK,1.0,,16753,ICEBOX
VK,1,2,50.0,3,1,33.0,0,0,,7,5,71.0,13,7,54.0,Rise,1.0,,16753,ICEBOX
Rise,2,2,100.0,2,2,100.0,0,0,,6,4,67.0,14,7,50.0,VK,1.0,,16753,BIND
VK,0,2,0.0,4,0,0.0,2,0,0.0,3,2,67.0,13,7,54.0,Rise,1.0,,16753,BIND
Rise,2,2,100.0,2,2,100.0,0,0,,2,2,100.0,9,9,100.0,Griffos E-Sports,1.0,2.08,17772,ICEBOX
Griffos E-Sports,0,2,0.0,3,0,0.0,0,0,,5,0,0.0,5,0,0.0,Rise,1.0,2.08,17772,ICEBOX
Rise,2,2,100.0,2,2,100.0,3,2,67.0,4,2,50.0,13,7,54.0,paiN,1.0,,16837,BIND
paiN,0,2,0.0,3,1,33.0,4,1,25.0,1,0,0.0,14,7,50.0,Rise,1.0,,16837,BIND
Rise,2,2,100.0,2,2,100.0,0,0,,2,2,100.0,9,9,100.0,paiN,1.0,,16837,ICEBOX
paiN,0,2,0.0,2,0,0.0,1,0,0.0,6,0,0.0,4,0,0.0,Rise,1.0,,16837,ICEBOX
Rise,1,2,50.0,3,1,33.0,4,1,25.0,3,0,0.0,6,1,17.0,TNET,1.0,,16839,HAVEN
TNET,1,2,50.0,3,2,67.0,0,0,,3,3,100.0,10,8,80.0,Rise,1.0,,16839,HAVEN
Rise,1,2,50.0,2,1,50.0,5,0,0.0,3,1,33.0,10,5,50.0,TNET,1.0,,16839,BIND
TNET,1,2,50.0,2,1,50.0,0,0,,6,4,67.0,12,8,67.0,Rise,1.0,,16839,BIND
Rise,0,2,0.0,3,0,0.0,1,1,100.0,7,4,57.0,12,5,42.0,paiN,1.0,,16845,BIND
paiN,2,2,100.0,3,2,67.0,1,1,100.0,7,2,29.0,12,8,67.0,Rise,1.0,,16845,BIND
Rise,2,2,100.0,2,2,100.0,0,0,,2,2,100.0,10,9,90.0,paiN,1.0,,16845,HAVEN
paiN,0,2,0.0,3,0,0.0,4,1,25.0,1,0,0.0,6,0,0.0,Rise,1.0,,16845,HAVEN
Rise,0,2,0.0,3,0,0.0,3,1,33.0,5,1,20.0,8,4,50.0,paiN,1.0,,16845,ASCENT
paiN,2,2,100.0,2,2,100.0,2,0,0.0,8,5,62.0,7,6,86.0,Rise,1.0,,16845,ASCENT
Rise,1,2,50.0,2,1,50.0,2,0,0.0,4,2,50.0,13,10,77.0,DG,1.0,,22675,BIND
DG,1,2,50.0,3,1,33.0,1,0,0.0,7,4,57.0,10,3,30.0,Rise,1.0,,22675,BIND
Rise,1,2,50.0,3,1,33.0,1,0,0.0,5,2,40.0,12,10,83.0,END,1.0,,22678,HAVEN
END,1,2,50.0,3,1,33.0,1,0,0.0,5,2,40.0,12,5,42.0,Rise,1.0,,22678,HAVEN
Rise,0,2,0.0,4,0,0.0,2,0,0.0,6,2,33.0,4,1,25.0,RevoadaVLR,1.0,,23046,HAVEN
RevoadaVLR,2,2,100.0,2,2,100.0,0,0,,5,4,80.0,9,7,78.0,Rise,1.0,,23046,HAVEN
Rise,1,2,50.0,3,1,33.0,2,0,0.0,6,3,50.0,13,9,69.0,RevoadaVLR,1.0,,23046,BIND
RevoadaVLR,1,2,50.0,3,1,33.0,3,0,0.0,5,3,60.0,13,7,54.0,Rise,1.0,,23046,BIND
Rise,1,2,50.0,3,1,33.0,1,0,0.0,4,1,25.0,18,12,67.0,ROLO COMPRESSOR,1.0,,23224,ASCENT
ROLO COMPRESSOR,1,2,50.0,3,1,33.0,2,1,50.0,6,4,67.0,15,6,40.0,Rise,1.0,,23224,ASCENT
Rise,0,2,0.0,3,0,0.0,0,0,,6,4,67.0,14,9,64.0,ROLO COMPRESSOR,1.0,,23224,HAVEN
ROLO COMPRESSOR,2,2,100.0,3,2,67.0,3,0,0.0,9,5,56.0,8,3,38.0,Rise,1.0,,23224,HAVEN
Rise,2,2,100.0,2,2,100.0,2,1,50.0,8,3,38.0,11,7,64.0,EXZ,1.0,,22810,HAVEN
EXZ,0,2,0.0,4,0,0.0,1,0,0.0,3,1,33.0,15,9,60.0,Rise,1.0,,22810,HAVEN
Rise,2,2,100.0,2,2,100.0,0,0,,5,3,60.0,10,8,80.0,EXZ,1.0,,22810,ASCENT
EXZ,0,2,0.0,4,0,0.0,1,0,0.0,4,0,0.0,8,4,50.0,Rise,1.0,,22810,ASCENT
TNET,2,2,100.0,2,2,100.0,4,1,25.0,7,3,43.0,10,4,40.0,Rise,1.0,,22811,HAVEN
Rise,0,2,0.0,3,1,33.0,1,1,100.0,3,1,33.0,16,10,62.0,TNET,1.0,,22811,HAVEN
TNET,2,2,100.0,3,2,67.0,5,3,60.0,2,2,100.0,14,6,43.0,Rise,1.0,,22811,SPLIT
Rise,0,2,0.0,4,0,0.0,1,1,100.0,3,1,33.0,16,9,56.0,TNET,1.0,,22811,SPLIT
TNET,2,2,100.0,2,2,100.0,0,0,,4,3,75.0,12,8,67.0,Rise,1.0,,22811,BIND
Rise,0,2,0.0,3,0,0.0,4,1,25.0,2,0,0.0,9,4,44.0,TNET,1.0,,22811,BIND
TNET,2,2,100.0,3,2,67.0,1,1,100.0,4,1,25.0,14,9,64.0,Rise,1.0,,22811,ASCENT
Rise,0,2,0.0,3,0,0.0,2,0,0.0,4,4,100.0,13,5,38.0,TNET,1.0,,22811,ASCENT
Rise,2,2,100.0,2,2,100.0,1,0,0.0,4,3,75.0,10,8,80.0,QQQ,1.0,,24209,HAVEN
QQQ,0,2,0.0,3,0,0.0,0,0,,10,2,20.0,4,2,50.0,Rise,1.0,,24209,HAVEN
Rise,1,2,50.0,3,2,67.0,1,0,0.0,3,2,67.0,16,9,56.0,QQQ,1.0,,24209,BIND
QQQ,1,2,50.0,3,1,33.0,2,1,50.0,5,1,20.0,13,7,54.0,Rise,1.0,,24209,BIND
HL,0,2,0.0,4,0,0.0,3,1,33.0,1,0,0.0,12,6,50.0,Rise,1.0,,24217,ASCENT
Rise,2,2,100.0,2,2,100.0,1,0,0.0,5,3,60.0,12,8,67.0,HL,1.0,,24217,ASCENT
HL,1,2,50.0,2,1,50.0,3,1,33.0,4,3,75.0,13,8,62.0,Rise,1.0,,24217,ICEBOX
Rise,1,2,50.0,3,1,33.0,2,1,50.0,4,2,50.0,13,5,38.0,HL,1.0,,24217,ICEBOX
HL,2,2,100.0,2,2,100.0,1,0,0.0,4,2,50.0,12,9,75.0,Rise,1.0,,24217,SPLIT
Rise,0,2,0.0,4,0,0.0,2,0,0.0,4,1,25.0,9,5,56.0,HL,1.0,,24217,SPLIT
