Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
rst,137,11,9,7,2,92.2,10,0,0,0,5024,Mix,FazT,MATCH,1,1.1
RgLMeister,263,18,15,2,3,193.0,21,1,0,1,5024,FazT,Mix,MATCH,1,1.1
raddy,176,12,18,3,-6,116.6,17,3,4,-1,5024,FazT,Mix,MATCH,1,1.1
Fxw,171,12,17,1,-5,123.2,12,4,4,0,5024,FazT,Mix,MATCH,1,1.1
UmRastaGG,165,11,16,2,-5,122.9,38,1,1,0,5024,FazT,Mix,MATCH,1,1.1
shok9,120,8,16,5,-8,73.8,8,1,2,-1,5024,FazT,Mix,MATCH,1,1.1
patochovsk,227,90,80,29,10,162.0,14,15,18,-3,4976,Vivo,Mix,MATCH,5,1.1
NikkoLAN,218,88,87,15,1,134.5,19,22,18,4,4976,Vivo,Mix,MATCH,5,1.1
flainzz,208,90,74,24,16,121.3,18,6,6,0,4976,Vivo,Mix,MATCH,5,1.1
NANZIN,207,88,79,22,9,133.0,34,10,15,-5,4976,Vivo,Mix,MATCH,5,1.1
FLG1,187,83,80,28,3,121.4,22,5,6,-1,4976,Vivo,Mix,MATCH,5,1.1
txddy,233,100,90,23,10,135.4,22,11,8,3,4976,Mix,Vivo,MATCH,5,1.1
tuyz,207,85,84,27,1,137.4,16,11,10,1,4976,Mix,Vivo,MATCH,5,1.1
Biscoit1n,200,83,96,26,-13,117.4,17,30,26,4,4976,Mix,Vivo,MATCH,5,1.1
Evilkyk,191,79,89,33,-10,135.3,18,9,6,3,4976,Mix,Vivo,MATCH,5,1.1
rst,132,53,80,26,-27,96.4,19,2,8,-6,4976,Mix,Vivo,MATCH,5,1.1
LEozin,232,38,32,3,6,127.7,21,10,1,9,4943,BD,Mix,MATCH,2,1.1
wilfps,209,33,34,7,-1,141.8,24,5,6,-1,4943,BD,Mix,MATCH,2,1.1
rhz,199,31,30,16,1,118.8,24,1,1,0,4943,BD,Mix,MATCH,2,1.1
rood,177,27,28,14,-1,110.1,15,6,4,2,4943,BD,Mix,MATCH,2,1.1
bezn1,138,17,35,15,-18,90.9,19,2,9,-7,4943,BD,Mix,MATCH,2,1.1
Biscoit1n,250,38,31,12,7,165.3,23,6,6,0,4943,Mix,BD,MATCH,2,1.1
txddy,219,37,27,7,10,124.0,25,3,4,-1,4943,Mix,BD,MATCH,2,1.1
Evilkyk,195,30,29,8,1,129.6,18,3,8,-5,4943,Mix,BD,MATCH,2,1.1
rst,191,32,27,7,5,113.7,17,4,3,1,4943,Mix,BD,MATCH,2,1.1
tuyz,158,22,32,15,-10,105.5,21,5,3,2,4943,Mix,BD,MATCH,2,1.1
deNaro,250,16,15,3,1,158.8,29,2,2,0,4906,VKS,Mix,MATCH,1,1.11
cad,211,12,17,3,-5,113.4,19,2,3,-1,4906,VKS,Mix,MATCH,1,1.11
gtnziN,132,8,16,3,-8,80.6,29,2,3,-1,4906,VKS,Mix,MATCH,1,1.11
BrinkssJ,118,6,14,6,-8,77.3,21,1,2,-1,4906,VKS,Mix,MATCH,1,1.11
fuzari,83,4,16,5,-12,65.9,10,0,1,-1,4906,VKS,Mix,MATCH,1,1.11
Biscoit1n,352,23,10,3,13,180.1,14,6,1,5,4906,Mix,VKS,MATCH,1,1.11
