Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
Evilkyk,sova,325,27,17,7,10,203.4,30,3,0,3,5284,Mix,RED,13,11,7,5,6,6,ASCENT,
tuyz,raze,251,20,17,8,3,156.5,21,6,2,4,5284,Mix,RED,13,11,7,5,6,6,ASCENT,
Biscoit1n,jett,236,21,18,3,3,140.2,27,4,3,1,5284,Mix,RED,13,11,7,5,6,6,ASCENT,
txddy,cypher,143,12,19,6,-7,71.0,11,1,2,-1,5284,Mix,RED,13,11,7,5,6,6,ASCENT,
rst,omen,99,9,19,3,-10,58.5,22,1,2,-1,5284,Mix,RED,13,11,7,5,6,6,ASCENT,
Sacy,sova,316,22,11,8,11,188.3,33,0,3,-3,5284,RED,Mix,13,8,6,6,7,2,BIND,
Masu,omen,234,17,13,6,4,138.3,34,2,3,-1,5284,RED,Mix,13,8,6,6,7,2,BIND,
pepa,raze,204,16,13,1,3,144.8,27,2,2,0,5284,RED,Mix,13,8,6,6,7,2,BIND,
pollo,breach,187,15,11,6,4,149.7,13,2,0,2,5284,RED,Mix,13,8,6,6,7,2,BIND,
prozin,cypher,142,11,14,2,-3,88.3,14,1,6,-5,5284,RED,Mix,13,8,6,6,7,2,BIND,
Evilkyk,sova,224,17,16,3,1,137.7,24,2,1,1,5284,Mix,RED,8,13,2,7,6,6,BIND,
tuyz,raze,183,11,16,5,-5,106.6,21,2,1,1,5284,Mix,RED,8,13,2,7,6,6,BIND,
Biscoit1n,jett,171,13,17,3,-4,87.5,18,6,3,3,5284,Mix,RED,8,13,2,7,6,6,BIND,
txddy,cypher,153,12,17,0,-5,94.6,21,4,0,4,5284,Mix,RED,8,13,2,7,6,6,BIND,
rst,omen,126,9,15,4,-6,130.2,20,0,2,-2,5284,Mix,RED,8,13,2,7,6,6,BIND,
pollo,breach,195,8,13,4,-5,106.1,14,0,0,0,5284,RED,Mix,1,13,0,2,1,11,SPLIT,
pepa,raze,173,6,14,4,-8,122.4,19,1,4,-3,5284,RED,Mix,1,13,0,2,1,11,SPLIT,
Sacy,reyna,159,6,14,2,-8,109.2,25,2,4,-2,5284,RED,Mix,1,13,0,2,1,11,SPLIT,
prozin,cypher,152,7,13,2,-6,100.2,31,1,1,0,5284,RED,Mix,1,13,0,2,1,11,SPLIT,
Masu,omen,99,5,13,1,-8,56.6,13,0,1,-1,5284,RED,Mix,1,13,0,2,1,11,SPLIT,
Biscoit1n,jett,349,18,7,4,11,202.8,16,4,0,4,5284,Mix,RED,13,1,11,1,2,0,SPLIT,
Evilkyk,killjoy,263,14,7,0,7,138.2,17,4,3,1,5284,Mix,RED,13,1,11,1,2,0,SPLIT,
txddy,cypher,218,11,5,8,6,140.8,20,0,0,0,5284,Mix,RED,13,1,11,1,2,0,SPLIT,
rst,omen,218,13,6,3,7,119.9,27,2,1,1,5284,Mix,RED,13,1,11,1,2,0,SPLIT,
tuyz,raze,216,11,7,3,4,129.6,7,0,0,0,5284,Mix,RED,13,1,11,1,2,0,SPLIT,
txddy,cypher,251,22,12,2,10,156.3,25,3,1,2,5276,Mix,novi,13,11,3,9,10,2,BIND,
tuyz,raze,237,21,14,3,7,131.3,25,7,2,5,5276,Mix,novi,13,11,3,9,10,2,BIND,
rst,omen,189,18,14,4,4,98.3,14,0,0,0,5276,Mix,novi,13,11,3,9,10,2,BIND,
