Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
rst,173,23,32,11,-9,116.5,22,4,3,1,10307,IMP,S5,MATCH,2,2.02
gustt1nha,95,15,31,8,-16,66.5,27,0,8,-8,10307,IMP,S5,MATCH,2,2.02
prozin,287,46,25,8,21,177.6,19,7,3,4,10307,S5,IMP,MATCH,2,2.02
fra,217,34,23,6,11,141.6,22,2,2,0,10307,S5,IMP,MATCH,2,2.02
gaabxx,204,32,30,5,2,132.7,24,13,8,5,10307,S5,IMP,MATCH,2,2.02
light,182,28,29,12,-1,139.3,24,6,1,5,10307,S5,IMP,MATCH,2,2.02
deNaro,158,23,23,15,0,107.0,23,2,1,1,10307,S5,IMP,MATCH,2,2.02
Veroneze,246,18,14,3,4,126.5,26,6,1,5,10305,Vivo,S5,MATCH,1,2.02
PryZee,230,14,17,6,-3,155.2,17,0,1,-1,10305,Vivo,S5,MATCH,1,2.02
Zap,213,13,14,6,-1,173.9,25,1,1,0,10305,Vivo,S5,MATCH,1,2.02
Cpx,181,13,16,7,-3,96.5,26,1,3,-2,10305,Vivo,S5,MATCH,1,2.02
Maverick,121,5,17,6,-12,90.3,26,3,2,1,10305,Vivo,S5,MATCH,1,2.02
deNaro,309,18,13,15,5,176.6,13,1,2,-1,10305,S5,Vivo,MATCH,1,2.02
gaabxx,231,16,14,4,2,127.9,18,2,5,-3,10305,S5,Vivo,MATCH,1,2.02
prozin,225,14,13,9,1,150.1,31,3,4,-1,10305,S5,Vivo,MATCH,1,2.02
fra,216,15,12,4,3,123.1,9,1,0,1,10305,S5,Vivo,MATCH,1,2.02
light,204,15,11,8,4,111.0,17,1,0,1,10305,S5,Vivo,MATCH,1,2.02
deNaro,221,41,39,24,2,149.7,15,4,3,1,9427,S5,IMP,MATCH,2,2.01
gaabxx,210,43,39,6,4,135.4,26,11,5,6,9427,S5,IMP,MATCH,2,2.01
prozin,205,40,44,15,-4,127.0,17,8,6,2,9427,S5,IMP,MATCH,2,2.01
fooX,191,41,41,11,0,134.6,18,3,4,-1,9427,S5,IMP,MATCH,2,2.01
fra,181,36,46,13,-10,107.8,16,6,8,-2,9427,S5,IMP,MATCH,2,2.01
tuyz,277,53,39,18,14,167.9,31,2,4,-2,9427,IMP,S5,MATCH,2,2.01
Evilkyk,237,48,37,17,11,178.2,44,7,5,2,9427,IMP,S5,MATCH,2,2.01
Biscoit1n,206,40,48,12,-8,146.7,26,15,13,2,9427,IMP,S5,MATCH,2,2.01
rst,193,39,38,13,1,128.0,26,1,6,-5,9427,IMP,S5,MATCH,2,2.01
gustt1nha,148,29,39,13,-10,100.3,26,1,4,-3,9427,IMP,S5,MATCH,2,2.01
prozin,265,35,34,4,1,148.1,18,5,6,-1,9425,S5,VKS,MATCH,2,2.01
gaabxx,202,25,31,10,-6,175.3,27,6,7,-1,9425,S5,VKS,MATCH,2,2.01
