Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
Pernalonga,1,0,0,0.0,0,0.0,0.0,0.0,0.0,33,2,0,11583,Inga,S5,HAVEN,
ceegu1N,4,0,0,0.0,0,0.0,0.0,0.0,0.0,43,2,0,11583,Inga,S5,HAVEN,
jacobin,4,0,0,0.0,0,0.0,0.0,0.0,0.0,45,1,0,11583,Inga,S5,HAVEN,
ducKw0w,2,0,1,0.0,0,0.0,0.0,0.0,0.0,57,3,0,11583,Inga,S5,HAVEN,
fra,0,0,0,0.0,0,0,1,0.0,0.0,34,2,0,11583,S5,Inga,BIND,
light,3,1,0,0.0,1,0,0,0.0,0.0,40,4,0,11583,S5,Inga,BIND,
prozin,3,2,0,0.0,0,0,0,0.0,0.0,46,0,0,11583,S5,Inga,BIND,
deNaro,5,1,0,0.0,0,0,0,0.0,0.0,64,1,0,11583,S5,Inga,BIND,
gaabxx,6,1,0,0.0,0,0,0,0.0,0.0,72,5,1,11583,S5,Inga,BIND,
patochovsk,7,1,0,0.0,2,0,0,0.0,0.0,71,1,1,11583,Inga,S5,BIND,
Pernalonga,4,0,0,0.0,0,0,0,0.0,0.0,38,2,1,11583,Inga,S5,BIND,
ceegu1N,0,4,0,0.0,0,1,0,0.0,0.0,55,1,0,11583,Inga,S5,BIND,
jacobin,3,1,1,0.0,1,0,0,0.0,0.0,53,1,1,11583,Inga,S5,BIND,
ducKw0w,1,0,0,0.0,0,0,0,0.0,0.0,28,2,1,11583,Inga,S5,BIND,
Nyang,1,0,0.0,0.0,0,0,0.0,0.0,0.0,36,2,0,10321,GLB,S5,BIND,
fznnn,1,0,0.0,0.0,0,0,0.0,0.0,0.0,32,0,0,10321,GLB,S5,BIND,
JhoW,2,0,0.0,0.0,0,0,0.0,0.0,0.0,36,3,0,10321,GLB,S5,BIND,
Jonn,3,2,0.0,0.0,0,0,0.0,0.0,0.0,72,0,1,10321,GLB,S5,BIND,
mwzera,2,3,0.0,0.0,1,0,0.0,0.0,0.0,68,0,0,10321,GLB,S5,BIND,
fra,3,1,0.0,0.0,1,0,0.0,0.0,0.0,54,0,1,10321,S5,GLB,BIND,
light,4,0,0.0,0.0,0,0,0.0,0.0,0.0,47,2,1,10321,S5,GLB,BIND,
prozin,4,1,0.0,0.0,0,0,0.0,0.0,0.0,59,0,1,10321,S5,GLB,BIND,
deNaro,4,1,0.0,0.0,1,1,0.0,0.0,0.0,79,2,0,10321,S5,GLB,BIND,
gaabxx,0,1,0.0,0.0,0,0,0.0,0.0,0.0,56,0,0,10321,S5,GLB,BIND,
Nyang,2,0,0,0.0,0,0,0,0.0,0.0,45,1,0,10321,GLB,S5,ASCENT,
fznnn,3,1,0,0.0,0,0,1,0.0,0.0,51,2,1,10321,GLB,S5,ASCENT,
JhoW,1,1,0,0.0,0,0,0,0.0,0.0,59,2,0,10321,GLB,S5,ASCENT,
Jonn,2,1,2,0.0,2,0,0,0.0,0.0,58,1,2,10321,GLB,S5,ASCENT,
mwzera,3,0,0,0.0,0,0,0,0.0,0.0,57,0,0,10321,GLB,S5,ASCENT,
fra,2,1,0,0.0,0,0,0,0.0,0.0,40,0,1,10321,S5,GLB,ASCENT,
light,5,0,0,0.0,0,1,0,0.0,0.0,46,3,1,10321,S5,GLB,ASCENT,
prozin,6,0,0,0.0,1,0,0,0.0,0.0,59,3,0,10321,S5,GLB,ASCENT,
deNaro,3,0,0,0.0,0,0,0,0.0,0.0,41,3,0,10321,S5,GLB,ASCENT,
gaabxx,4,2,0,0.0,1,0,0,0.0,0.0,60,0,0,10321,S5,GLB,ASCENT,
fra,1,0,0,0.0,0,0.0,0,0.0,0.0,25,2,3,10320,S5,HL,HAVEN,
light,3,1,1,0.0,0,0.0,1,0.0,0.0,74,4,0,10320,S5,HL,HAVEN,
prozin,2,4,0,0.0,0,0.0,0,0.0,0.0,77,1,2,10320,S5,HL,HAVEN,
deNaro,3,0,0,0.0,0,0.0,0,0.0,0.0,53,3,0,10320,S5,HL,HAVEN,
gaabxx,4,1,0,0.0,0,0.0,0,0.0,0.0,55,0,0,10320,S5,HL,HAVEN,
pleets,2,0,0,0.0,1,0.0,0,0.0,0.0,38,3,2,10320,HL,S5,HAVEN,
shion,5,0,1,0.0,0,0.0,0,0.0,0.0,91,1,1,10320,HL,S5,HAVEN,
pMdr1,0,2,0,0.0,0,0.0,0,0.0,0.0,41,1,0,10320,HL,S5,HAVEN,
Myssen,4,0,0,0.0,1,0.0,0,0.0,0.0,47,0,0,10320,HL,S5,HAVEN,
liazzi,1,0,0,0.0,0,0.0,0,0.0,0.0,33,2,0,10320,HL,S5,HAVEN,
fra,1,0,0,0,0,0,0,0.0,0.0,25,3,1,10320,S5,HL,BIND,
light,3,1,0,0,0,0,1,0.0,0.0,48,2,1,10320,S5,HL,BIND,
prozin,4,2,0,0,0,0,0,0.0,0.0,44,0,0,10320,S5,HL,BIND,
deNaro,5,0,0,0,0,0,0,0.0,0.0,57,1,2,10320,S5,HL,BIND,
gaabxx,5,4,2,0,0,0,0,0.0,0.0,85,2,0,10320,S5,HL,BIND,
pleets,1,0,0,0,0,0,0,0.0,0.0,20,5,1,10320,HL,S5,BIND,
shion,5,0,1,0,2,0,0,0.0,0.0,52,0,1,10320,HL,S5,BIND,
pMdr1,5,2,0,0,0,1,0,0.0,0.0,47,0,1,10320,HL,S5,BIND,
Myssen,2,0,1,0,0,0,0,0.0,0.0,38,0,1,10320,HL,S5,BIND,
liazzi,4,0,0,1,0,0,0,0.0,0.0,50,1,0,10320,HL,S5,BIND,
rst,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,45,2,0,10307,IMP,S5,BIND,
Evilkyk,3,1,0.0,0.0,1,0.0,0.0,0.0,0.0,66,2,1,10307,IMP,S5,BIND,
gustt1nha,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,24,5,0,10307,IMP,S5,BIND,
tuyz,3,1,0.0,0.0,0,0.0,0.0,0.0,0.0,43,0,0,10307,IMP,S5,BIND,
Biscoit1n,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,54,0,0,10307,IMP,S5,BIND,
fra,3,1,0.0,0.0,0,0.0,0.0,0.0,0.0,56,2,1,10307,S5,IMP,BIND,
light,5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,50,2,0,10307,S5,IMP,BIND,
prozin,4,4,0.0,0.0,0,0.0,0.0,0.0,0.0,87,2,0,10307,S5,IMP,BIND,
deNaro,2,1,0.0,0.0,1,0.0,0.0,0.0,0.0,48,4,0,10307,S5,IMP,BIND,
gaabxx,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,36,0,0,10307,S5,IMP,BIND,
rst,2,0,0,0.0,0,0.0,0,0.0,0.0,48,0,0,10307,IMP,S5,ASCENT,
Evilkyk,1,1,0,0.0,0,0.0,0,0.0,0.0,39,1,0,10307,IMP,S5,ASCENT,
gustt1nha,2,1,0,0.0,0,0.0,1,0.0,0.0,35,4,0,10307,IMP,S5,ASCENT,
tuyz,3,0,0,0.0,0,0.0,0,0.0,0.0,55,0,0,10307,IMP,S5,ASCENT,
Biscoit1n,1,1,1,0.0,1,0.0,0,0.0,0.0,40,0,1,10307,IMP,S5,ASCENT,
fra,1,3,0,0.0,0,0.0,0,0.0,0.0,75,6,0,10307,S5,IMP,ASCENT,
light,2,0,0,0.0,0,0.0,0,0.0,0.0,61,0,0,10307,S5,IMP,ASCENT,
prozin,4,2,0,0.0,0,0.0,0,0.0,0.0,60,0,0,10307,S5,IMP,ASCENT,
deNaro,1,1,0,0.0,0,0.0,0,0.0,0.0,60,3,0,10307,S5,IMP,ASCENT,
gaabxx,3,1,0,0.0,0,0.0,0,0.0,0.0,71,0,0,10307,S5,IMP,ASCENT,
PryZee,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,58,2,0,10305,VK,S5,HAVEN,
Cpx,4,0,0.0,0.0,1,0.0,0.0,0.0,0.0,33,1,2,10305,VK,S5,HAVEN,
Veroneze,2,3,0.0,0.0,1,0.0,0.0,0.0,0.0,51,0,0,10305,VK,S5,HAVEN,
Zap,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,76,0,0,10305,VK,S5,HAVEN,
Maverick,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,37,4,0,10305,VK,S5,HAVEN,
fra,5,0,0.0,0.0,2,0.0,0.0,0.0,0.0,51,4,1,10305,S5,VK,HAVEN,
