Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
deNaro,sova,217,16,16,14,0,151.8,25,1,1,0,11583,S5,Inga,13,10,7,5,6,5,HAVEN,
gaabxx,jett,215,16,13,7,3,128.0,21,3,3,0,11583,S5,Inga,13,10,7,5,6,5,HAVEN,
fra,cypher,183,14,15,4,-1,120.4,25,1,1,0,11583,S5,Inga,13,10,7,5,6,5,HAVEN,
light,omen,183,15,18,8,-3,104.0,10,2,0,2,11583,S5,Inga,13,10,7,5,6,5,HAVEN,
prozin,phoenix,182,14,18,4,-4,102.5,32,6,5,1,11583,S5,Inga,13,10,7,5,6,5,HAVEN,
ducKw0w,cypher,231,20,14,5,6,146.7,20,1,2,-1,11583,Inga,S5,10,13,5,6,5,7,HAVEN,
jacobin,breach,227,18,16,12,2,123.6,11,1,0,1,11583,Inga,S5,10,13,5,6,5,7,HAVEN,
patochovsk,sova,203,16,12,5,4,130.2,26,2,1,1,11583,Inga,S5,10,13,5,6,5,7,HAVEN,
ceegu1N,omen,187,15,15,6,0,111.2,15,2,3,-1,11583,Inga,S5,10,13,5,6,5,7,HAVEN,
Pernalonga,jett,136,11,18,3,-7,92.3,17,4,7,-3,11583,Inga,S5,10,13,5,6,5,7,HAVEN,
gaabxx,jett,270,23,15,6,8,157.2,22,4,3,1,11583,S5,Inga,13,11,5,7,8,4,BIND,
deNaro,sova,232,18,16,14,2,158.5,13,0,1,-1,11583,S5,Inga,13,11,5,7,8,4,BIND,
prozin,raze,210,18,19,3,-1,126.0,23,3,6,-3,11583,S5,Inga,13,11,5,7,8,4,BIND,
light,omen,177,16,14,6,2,86.5,15,0,1,-1,11583,S5,Inga,13,11,5,7,8,4,BIND,
fra,cypher,144,12,18,7,-6,89.3,13,1,5,-4,11583,S5,Inga,13,11,5,7,8,4,BIND,
patochovsk,raze,283,22,19,9,3,193.2,20,4,2,2,11583,Inga,S5,11,13,4,8,7,5,BIND,
jacobin,breach,246,21,17,5,4,151.3,25,5,1,4,11583,Inga,S5,11,13,4,8,7,5,BIND,
ceegu1N,omen,225,19,16,6,3,127.1,18,3,1,2,11583,Inga,S5,11,13,4,8,7,5,BIND,
Pernalonga,jett,155,12,19,6,-7,93.5,21,3,4,-1,11583,Inga,S5,11,13,4,8,7,5,BIND,
ducKw0w,sova,106,8,16,11,-8,69.5,27,1,0,1,11583,Inga,S5,11,13,4,8,7,5,BIND,
mwzera,raze,267,16,16,6,0,178.5,19,4,4,0,10321,GLB,S5,5,13,1,5,4,8,BIND,
Jonn,jett,242,15,15,2,0,174.1,37,0,2,-2,10321,GLB,S5,5,13,1,5,4,8,BIND,
Nyang,omen,161,9,16,5,-7,92.9,42,1,1,0,10321,GLB,S5,5,13,1,5,4,8,BIND,
JhoW,cypher,151,9,18,5,-9,102.2,24,1,1,0,10321,GLB,S5,5,13,1,5,4,8,BIND,
fznnn,sova,107,7,15,2,-8,67.6,10,0,4,-4,10321,GLB,S5,5,13,1,5,4,8,BIND,
prozin,raze,305,17,13,9,4,170.8,12,6,2,4,10321,S5,GLB,13,5,8,4,5,1,BIND,
deNaro,sova,264,18,10,8,8,185.5,23,0,2,-2,10321,S5,GLB,13,5,8,4,5,1,BIND,
gaabxx,jett,222,15,12,3,3,152.8,20,3,1,2,10321,S5,GLB,13,5,8,4,5,1,BIND,
light,omen,206,16,12,8,4,121.0,22,0,0,0,10321,S5,GLB,13,5,8,4,5,1,BIND,
fra,cypher,202,14,9,6,5,125.2,41,3,1,2,10321,S5,GLB,13,5,8,4,5,1,BIND,
Jonn,jett,234,23,17,1,6,152.3,33,3,6,-3,10321,GLB,S5,11,13,6,6,5,7,ASCENT,
mwzera,reyna,226,18,17,8,1,152.2,21,5,1,4,10321,GLB,S5,11,13,6,6,5,7,ASCENT,
fznnn,sova,188,15,17,7,-2,123.0,19,0,4,-4,10321,GLB,S5,11,13,6,6,5,7,ASCENT,
JhoW,killjoy,178,14,18,5,-4,163.8,14,1,1,0,10321,GLB,S5,11,13,6,6,5,7,ASCENT,
Nyang,omen,121,10,19,3,-9,124.5,20,0,3,-3,10321,GLB,S5,11,13,6,6,5,7,ASCENT,
gaabxx,jett,267,22,16,4,6,141.5,22,7,3,4,10321,S5,GLB,13,11,7,5,6,6,ASCENT,
prozin,raze,256,20,16,9,4,165.6,18,5,3,2,10321,S5,GLB,13,11,7,5,6,6,ASCENT,
light,omen,208,18,16,11,2,129.0,19,1,0,1,10321,S5,GLB,13,11,7,5,6,6,ASCENT,
