Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team_x,Opp_Team_x,rounds_won,rounds_lost,Map,Patch_x,total_rounds,win_rate,KPR,DPR,APR,FKPR,FDPR,RESULT,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,Team_y,Opp_Team_y,Patch_y,Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch
Txozin,omen,249,17,10,4,7,161.3,29,2,1,1,6054,paiN,ITZA,13,7,BIND,1.12,20,65.0,0.85,0.5,0.2,0.1,0.05,W,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,68,1,1,paiN,ITZA,1.12,paiN,2,2,100.0,2,2,100.0,0,0,,8,5,62.0,10,6,60.0,ITZA,1.0,1.12
kon4n,phoenix,228,15,12,6,3,148.7,22,5,1,4,6054,paiN,ITZA,13,7,BIND,1.12,20,65.0,0.75,0.6,0.3,0.25,0.05,W,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,1,0,paiN,ITZA,1.12,paiN,2,2,100.0,2,2,100.0,0,0,,8,5,62.0,10,6,60.0,ITZA,1.0,1.12
murizzz,sova,139,9,9,5,0,81.4,13,1,1,0,6054,paiN,ITZA,13,7,BIND,1.12,20,65.0,0.45,0.45,0.25,0.05,0.05,W,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1,1,paiN,ITZA,1.12,paiN,2,2,100.0,2,2,100.0,0,0,,8,5,62.0,10,6,60.0,ITZA,1.0,1.12
matheuzin,cypher,279,14,9,5,5,172.2,37,2,2,0,6054,paiN,ITZA,13,2,HAVEN,1.12,15,86.67,0.93,0.6,0.33,0.13,0.13,W,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,3,0,paiN,ITZA,1.12,paiN,2,2,100.0,2,2,100.0,0,0,,3,2,67.0,10,9,90.0,ITZA,1.0,1.12
Txozin,omen,271,16,8,3,8,176.5,24,3,0,3,6054,paiN,ITZA,13,2,HAVEN,1.12,15,86.67,1.07,0.53,0.2,0.2,0.0,W,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,6,1,paiN,ITZA,1.12,paiN,2,2,100.0,2,2,100.0,0,0,,3,2,67.0,10,9,90.0,ITZA,1.0,1.12
Veroneze,jett,249,15,8,2,7,162.9,20,1,0,1,6054,paiN,ITZA,13,2,HAVEN,1.12,15,86.67,1.0,0.53,0.13,0.07,0.0,W,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61,0,0,paiN,ITZA,1.12,paiN,2,2,100.0,2,2,100.0,0,0,,3,2,67.0,10,9,90.0,ITZA,1.0,1.12
murizzz,sova,247,14,6,6,8,120.0,17,0,1,-1,6054,paiN,ITZA,13,2,HAVEN,1.12,15,86.67,0.93,0.4,0.4,0.0,0.07,W,2,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,48,1,0,paiN,ITZA,1.12,paiN,2,2,100.0,2,2,100.0,0,0,,3,2,67.0,10,9,90.0,ITZA,1.0,1.12
kon4n,phoenix,190,12,5,1,7,118.5,28,5,1,4,6054,paiN,ITZA,13,2,HAVEN,1.12,15,86.67,0.8,0.33,0.07,0.33,0.07,W,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,1,0,paiN,ITZA,1.12,paiN,2,2,100.0,2,2,100.0,0,0,,3,2,67.0,10,9,90.0,ITZA,1.0,1.12
matheuzin,cypher,296,18,15,8,3,172.1,33,6,2,4,3235,paiN,FF,5,13,BIND,1.08,18,27.78,1.0,0.83,0.44,0.33,0.11,L,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0,0,paiN,FF,1.08,paiN,0,2,0.0,4,0,0.0,3,0,0.0,0,0,,11,5,45.0,FF,1.0,1.08
ole,sage,172,9,14,6,-5,116.2,22,0,0,0,3235,paiN,FF,5,13,BIND,1.08,18,27.78,0.5,0.78,0.33,0.0,0.0,L,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,1,0,paiN,FF,1.08,paiN,0,2,0.0,4,0,0.0,3,0,0.0,0,0,,11,5,45.0,FF,1.0,1.08
murizzz,sova,172,11,15,3,-4,92.3,9,2,1,1,3235,paiN,FF,5,13,BIND,1.08,18,27.78,0.61,0.83,0.17,0.11,0.06,L,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0,1,paiN,FF,1.08,paiN,0,2,0.0,4,0,0.0,3,0,0.0,0,0,,11,5,45.0,FF,1.0,1.08
Txozin,brimstone,163,11,15,3,-4,111.7,21,3,1,2,3235,paiN,FF,5,13,BIND,1.08,18,27.78,0.61,0.83,0.17,0.17,0.06,L,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0,1,paiN,FF,1.08,paiN,0,2,0.0,4,0,0.0,3,0,0.0,0,0,,11,5,45.0,FF,1.0,1.08
kon4n,phoenix,140,7,17,4,-10,85.3,28,1,2,-1,3235,paiN,FF,5,13,BIND,1.08,18,27.78,0.39,0.94,0.22,0.06,0.11,L,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1,1,paiN,FF,1.08,paiN,0,2,0.0,4,0,0.0,3,0,0.0,0,0,,11,5,45.0,FF,1.0,1.08
v1xen,omen,383,27,8,3,19,230.5,44,1,1,0,3235,VORA,NOOR,13,5,BIND,1.08,18,72.22,1.5,0.44,0.17,0.06,0.06,W,3,2,3.0,0.0,0.0,1.0,0.0,0.0,0.0,112,8,1,VORA,NOOR,1.08,VORA,2,2,100.0,2,2,100.0,0,0,,6,6,100.0,10,5,50.0,NOORG2.0,1.0,1.08
krain,sova,238,14,10,9,4,145.9,6,1,1,0,3235,VORA,NOOR,13,5,BIND,1.08,18,72.22,0.78,0.56,0.5,0.06,0.06,W,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,1,1,VORA,NOOR,1.08,VORA,2,2,100.0,2,2,100.0,0,0,,6,6,100.0,10,5,50.0,NOORG2.0,1.0,1.08
dragonite,cypher,203,10,15,6,-5,139.6,29,1,2,-1,3235,VORA,NOOR,13,5,BIND,1.08,18,72.22,0.56,0.83,0.33,0.06,0.11,W,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,0,VORA,NOOR,1.08,VORA,2,2,100.0,2,2,100.0,0,0,,6,6,100.0,10,5,50.0,NOORG2.0,1.0,1.08
fzkk,raze,182,13,12,4,1,99.4,10,2,3,-1,3235,VORA,NOOR,13,5,BIND,1.08,18,72.22,0.72,0.67,0.22,0.11,0.17,W,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38,1,0,VORA,NOOR,1.08,VORA,2,2,100.0,2,2,100.0,0,0,,6,6,100.0,10,5,50.0,NOORG2.0,1.0,1.08
delevingne,jett,174,12,11,3,1,93.9,6,1,5,-4,3235,VORA,NOOR,13,5,BIND,1.08,18,72.22,0.67,0.61,0.17,0.06,0.28,W,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0,VORA,NOOR,1.08,VORA,2,2,100.0,2,2,100.0,0,0,,6,6,100.0,10,5,50.0,NOORG2.0,1.0,1.08
murizzz,jett,285,26,18,4,8,145.6,11,5,2,3,3235,paiN,FF,13,11,ASCENT,1.08,24,54.17,1.08,0.75,0.17,0.21,0.08,W,4,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59,0,0,paiN,FF,1.08,paiN,2,2,100.0,2,2,100.0,3,0,0.0,4,3,75.0,15,8,53.0,FF,1.0,1.08
kon4n,sage,247,22,16,6,6,180.3,50,3,1,2,3235,paiN,FF,13,11,ASCENT,1.08,24,54.17,0.92,0.67,0.25,0.12,0.04,W,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,paiN,FF,1.08,paiN,2,2,100.0,2,2,100.0,3,0,0.0,4,3,75.0,15,8,53.0,FF,1.0,1.08
ole,sova,231,19,14,9,5,137.5,10,0,1,-1,3235,paiN,FF,13,11,ASCENT,1.08,24,54.17,0.79,0.58,0.38,0.0,0.04,W,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,2,1,paiN,FF,1.08,paiN,2,2,100.0,2,2,100.0,3,0,0.0,4,3,75.0,15,8,53.0,FF,1.0,1.08
Txozin,omen,172,14,18,6,-4,113.8,19,2,2,0,3235,paiN,FF,13,11,ASCENT,1.08,24,54.17,0.58,0.75,0.25,0.08,0.08,W,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,1,1,paiN,FF,1.08,paiN,2,2,100.0,2,2,100.0,3,0,0.0,4,3,75.0,15,8,53.0,FF,1.0,1.08
matheuzin,cypher,103,9,15,9,-6,66.1,23,2,6,-4,3235,paiN,FF,13,11,ASCENT,1.08,24,54.17,0.38,0.62,0.38,0.08,0.25,W,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,0,paiN,FF,1.08,paiN,2,2,100.0,2,2,100.0,3,0,0.0,4,3,75.0,15,8,53.0,FF,1.0,1.08
dragonite,cypher,243,20,19,3,1,140.5,25,3,1,2,3235,VORA,NOOR,11,13,ASCENT,1.08,24,45.83,0.83,0.79,0.12,0.12,0.04,L,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0,0,VORA,NOOR,1.08,VORA,0,2,0.0,4,0,0.0,2,0,0.0,4,3,75.0,14,8,57.0,NOORG2.0,1.0,1.08
krain,sova,228,19,16,6,3,143.8,14,1,1,0,3235,VORA,NOOR,11,13,ASCENT,1.08,24,45.83,0.79,0.67,0.25,0.04,0.04,L,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,2,1,VORA,NOOR,1.08,VORA,0,2,0.0,4,0,0.0,2,0,0.0,4,3,75.0,14,8,57.0,NOORG2.0,1.0,1.08
v1xen,omen,211,17,16,6,1,136.2,17,3,2,1,3235,VORA,NOOR,11,13,ASCENT,1.08,24,45.83,0.71,0.67,0.25,0.12,0.08,L,2,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,66,4,1,VORA,NOOR,1.08,VORA,0,2,0.0,4,0,0.0,2,0,0.0,4,3,75.0,14,8,57.0,NOORG2.0,1.0,1.08
delevingne,jett,152,14,18,1,-4,74.9,8,3,2,1,3235,VORA,NOOR,11,13,ASCENT,1.08,24,45.83,0.58,0.75,0.04,0.12,0.08,L,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0,VORA,NOOR,1.08,VORA,0,2,0.0,4,0,0.0,2,0,0.0,4,3,75.0,14,8,57.0,NOORG2.0,1.0,1.08
fzkk,raze,143,10,21,6,-11,97.4,7,2,6,-4,3235,VORA,NOOR,11,13,ASCENT,1.08,24,45.83,0.42,0.88,0.25,0.08,0.25,L,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0,VORA,NOOR,1.08,VORA,0,2,0.0,4,0,0.0,2,0,0.0,4,3,75.0,14,8,57.0,NOORG2.0,1.0,1.08
kon4n,raze,329,28,14,12,14,218.8,21,3,2,1,3235,paiN,FF,14,12,SPLIT,1.08,26,53.85,1.08,0.54,0.46,0.12,0.08,W,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,0,2,paiN,FF,1.08,paiN,2,2,100.0,2,2,100.0,1,1,100.0,8,4,50.0,15,7,47.0,FF,1.0,1.08
Txozin,omen,230,27,12,5,15,136.0,30,1,1,0,3235,paiN,FF,14,12,SPLIT,1.08,26,53.85,1.04,0.46,0.19,0.04,0.04,W,6,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,55,1,0,paiN,FF,1.08,paiN,2,2,100.0,2,2,100.0,1,1,100.0,8,4,50.0,15,7,47.0,FF,1.0,1.08
murizzz,jett,197,17,19,3,-2,112.4,8,6,3,3,3235,paiN,FF,14,12,SPLIT,1.08,26,53.85,0.65,0.73,0.12,0.23,0.12,W,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,1,0,paiN,FF,1.08,paiN,2,2,100.0,2,2,100.0,1,1,100.0,8,4,50.0,15,7,47.0,FF,1.0,1.08
ole,killjoy,152,12,16,6,-4,109.8,7,1,1,0,3235,paiN,FF,14,12,SPLIT,1.08,26,53.85,0.46,0.62,0.23,0.04,0.04,W,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,6,1,paiN,FF,1.08,paiN,2,2,100.0,2,2,100.0,1,1,100.0,8,4,50.0,15,7,47.0,FF,1.0,1.08
matheuzin,cypher,133,12,19,5,-7,87.2,19,5,3,2,3235,paiN,FF,14,12,SPLIT,1.08,26,53.85,0.46,0.73,0.19,0.19,0.12,W,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,1,paiN,FF,1.08,paiN,2,2,100.0,2,2,100.0,1,1,100.0,8,4,50.0,15,7,47.0,FF,1.0,1.08
delevingne,jett,240,22,19,3,3,151.2,15,4,10,-6,3235,VORA,NOOR,12,14,SPLIT,1.08,26,46.15,0.85,0.73,0.12,0.15,0.38,L,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0,3,VORA,NOOR,1.08,VORA,0,2,0.0,4,0,0.0,2,1,50.0,2,2,100.0,18,9,50.0,NOORG2.0,1.0,1.08
fzkk,raze,221,17,23,5,-6,149.4,12,2,2,0,3235,VORA,NOOR,12,14,SPLIT,1.08,26,46.15,0.65,0.88,0.19,0.08,0.08,L,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53,0,0,VORA,NOOR,1.08,VORA,0,2,0.0,4,0,0.0,2,1,50.0,2,2,100.0,18,9,50.0,NOORG2.0,1.0,1.08
v1xen,omen,202,17,19,9,-2,137.9,19,1,0,1,3235,VORA,NOOR,12,14,SPLIT,1.08,26,46.15,0.65,0.73,0.35,0.04,0.0,L,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,8,0,VORA,NOOR,1.08,VORA,0,2,0.0,4,0,0.0,2,1,50.0,2,2,100.0,18,9,50.0,NOORG2.0,1.0,1.08
krain,breach,138,13,16,11,-3,87.7,18,1,1,0,3235,VORA,NOOR,12,14,SPLIT,1.08,26,46.15,0.5,0.62,0.42,0.04,0.04,L,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35,0,0,VORA,NOOR,1.08,VORA,0,2,0.0,4,0,0.0,2,1,50.0,2,2,100.0,18,9,50.0,NOORG2.0,1.0,1.08
dragonite,cypher,135,11,19,4,-8,86.7,10,2,3,-1,3235,VORA,NOOR,12,14,SPLIT,1.08,26,46.15,0.42,0.73,0.15,0.08,0.12,L,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0,VORA,NOOR,1.08,VORA,0,2,0.0,4,0,0.0,2,1,50.0,2,2,100.0,18,9,50.0,NOORG2.0,1.0,1.08
kon4n,sage,268,24,14,14,10,194.6,29,4,1,3,3213,paiN,VIMD,13,11,ASCENT,1.08,24,54.17,1.0,0.58,0.58,0.17,0.04,W,4,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,81,1,0,paiN,VIMD,1.08,paiN,2,2,100.0,3,2,67.0,2,0,0.0,5,4,80.0,14,7,50.0,VIMDOLOL,1.0,1.08
Txozin,omen,250,22,16,4,6,208.2,23,7,1,6,3213,paiN,VIMD,13,11,ASCENT,1.08,24,54.17,0.92,0.67,0.17,0.29,0.04,W,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,3,1,paiN,VIMD,1.08,paiN,2,2,100.0,3,2,67.0,2,0,0.0,5,4,80.0,14,7,50.0,VIMDOLOL,1.0,1.08
murizzz,jett,223,18,15,6,3,131.5,11,3,3,0,3213,paiN,VIMD,13,11,ASCENT,1.08,24,54.17,0.75,0.62,0.25,0.12,0.12,W,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,1,1,paiN,VIMD,1.08,paiN,2,2,100.0,3,2,67.0,2,0,0.0,5,4,80.0,14,7,50.0,VIMDOLOL,1.0,1.08
matheuzin,cypher,208,18,17,11,1,144.5,31,1,3,-2,3213,paiN,VIMD,13,11,ASCENT,1.08,24,54.17,0.75,0.71,0.46,0.04,0.12,W,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,3,0,paiN,VIMD,1.08,paiN,2,2,100.0,3,2,67.0,2,0,0.0,5,4,80.0,14,7,50.0,VIMDOLOL,1.0,1.08
ole,sova,207,17,13,13,4,127.9,14,1,0,1,3213,paiN,VIMD,13,11,ASCENT,1.08,24,54.17,0.71,0.54,0.54,0.04,0.0,W,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,3,0,paiN,VIMD,1.08,paiN,2,2,100.0,3,2,67.0,2,0,0.0,5,4,80.0,14,7,50.0,VIMDOLOL,1.0,1.08
matheuzin,cypher,247,20,18,8,2,152.4,33,6,1,5,3213,paiN,VIMD,10,13,SPLIT,1.08,23,43.48,0.87,0.78,0.35,0.26,0.04,L,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,1,0,paiN,VIMD,1.08,paiN,1,2,50.0,3,1,33.0,2,0,0.0,2,2,100.0,16,7,44.0,VIMDOLOL,1.0,1.08
ole,killjoy,238,20,15,9,5,148.7,16,2,0,2,3213,paiN,VIMD,10,13,SPLIT,1.08,23,43.48,0.87,0.65,0.39,0.09,0.0,L,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,4,0,paiN,VIMD,1.08,paiN,1,2,50.0,3,1,33.0,2,0,0.0,2,2,100.0,16,7,44.0,VIMDOLOL,1.0,1.08
murizzz,jett,187,15,16,4,-1,116.7,22,2,4,-2,3213,paiN,VIMD,10,13,SPLIT,1.08,23,43.48,0.65,0.7,0.17,0.09,0.17,L,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46,1,0,paiN,VIMD,1.08,paiN,1,2,50.0,3,1,33.0,2,0,0.0,2,2,100.0,16,7,44.0,VIMDOLOL,1.0,1.08
kon4n,raze,180,14,15,4,-1,121.3,14,1,4,-3,3213,paiN,VIMD,10,13,SPLIT,1.08,23,43.48,0.61,0.65,0.17,0.04,0.17,L,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0,0,paiN,VIMD,1.08,paiN,1,2,50.0,3,1,33.0,2,0,0.0,2,2,100.0,16,7,44.0,VIMDOLOL,1.0,1.08
Txozin,omen,148,12,18,4,-6,103.8,15,0,3,-3,3213,paiN,VIMD,10,13,SPLIT,1.08,23,43.48,0.52,0.78,0.17,0.0,0.13,L,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,3,0,paiN,VIMD,1.08,paiN,1,2,50.0,3,1,33.0,2,0,0.0,2,2,100.0,16,7,44.0,VIMDOLOL,1.0,1.08
murizzz,sova,259,19,10,8,9,160.5,28,3,1,2,3213,paiN,VIMD,13,7,BIND,1.08,20,65.0,0.95,0.5,0.4,0.15,0.05,W,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64,2,0,paiN,VIMD,1.08,paiN,1,2,50.0,3,1,33.0,1,0,0.0,3,2,67.0,13,10,77.0,VIMDOLOL,1.0,1.08
matheuzin,cypher,199,15,12,4,3,114.2,20,2,3,-1,3213,paiN,VIMD,13,7,BIND,1.08,20,65.0,0.75,0.6,0.2,0.1,0.15,W,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,1,0,paiN,VIMD,1.08,paiN,1,2,50.0,3,1,33.0,1,0,0.0,3,2,67.0,13,10,77.0,VIMDOLOL,1.0,1.08
ole,sage,179,14,12,7,2,118.5,21,3,0,3,3213,paiN,VIMD,13,7,BIND,1.08,20,65.0,0.7,0.6,0.35,0.15,0.0,W,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,56,3,0,paiN,VIMD,1.08,paiN,1,2,50.0,3,1,33.0,1,0,0.0,3,2,67.0,13,10,77.0,VIMDOLOL,1.0,1.08
Txozin,brimstone,164,12,15,3,-3,105.3,10,1,3,-2,3213,paiN,VIMD,13,7,BIND,1.08,20,65.0,0.6,0.75,0.15,0.05,0.15,W,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40,1,0,paiN,VIMD,1.08,paiN,1,2,50.0,3,1,33.0,1,0,0.0,3,2,67.0,13,10,77.0,VIMDOLOL,1.0,1.08
kon4n,phoenix,161,11,13,6,-2,91.6,18,2,2,0,3213,paiN,VIMD,13,7,BIND,1.08,20,65.0,0.55,0.65,0.3,0.1,0.1,W,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,1,1,paiN,VIMD,1.08,paiN,1,2,50.0,3,1,33.0,1,0,0.0,3,2,67.0,13,10,77.0,VIMDOLOL,1.0,1.08
murizzz,jett,296,24,13,3,11,216.5,17,3,1,2,3170,paiN,B4,13,8,SPLIT,1.08,21,61.9,1.14,0.62,0.14,0.14,0.05,W,5,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,71,3,0,paiN,B4,1.08,paiN,2,2,100.0,2,2,100.0,1,0,0.0,4,2,50.0,14,9,64.0,B4,1.0,1.08
kon4n,raze,217,16,15,5,1,125.9,24,3,3,0,3170,paiN,B4,13,8,SPLIT,1.08,21,61.9,0.76,0.71,0.24,0.14,0.14,W,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,3,0,paiN,B4,1.08,paiN,2,2,100.0,2,2,100.0,1,0,0.0,4,2,50.0,14,9,64.0,B4,1.0,1.08
matheuzin,cypher,198,14,14,6,0,113.0,26,6,3,3,3170,paiN,B4,13,8,SPLIT,1.08,21,61.9,0.67,0.67,0.29,0.29,0.14,W,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,1,0,paiN,B4,1.08,paiN,2,2,100.0,2,2,100.0,1,0,0.0,4,2,50.0,14,9,64.0,B4,1.0,1.08
Txozin,omen,153,13,10,5,3,150.0,21,0,0,0,3170,paiN,B4,13,8,SPLIT,1.08,21,61.9,0.62,0.48,0.24,0.0,0.0,W,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,0,0,paiN,B4,1.08,paiN,2,2,100.0,2,2,100.0,1,0,0.0,4,2,50.0,14,9,64.0,B4,1.0,1.08
ole,killjoy,118,8,12,3,-4,78.3,5,0,2,-2,3170,paiN,B4,13,8,SPLIT,1.08,21,61.9,0.38,0.57,0.14,0.0,0.1,W,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,4,0,paiN,B4,1.08,paiN,2,2,100.0,2,2,100.0,1,0,0.0,4,2,50.0,14,9,64.0,B4,1.0,1.08
kon4n,sage,249,15,12,8,3,162.3,29,3,5,-2,3170,paiN,B4,13,5,ASCENT,1.08,18,72.22,0.83,0.67,0.44,0.17,0.28,W,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63,0,0,paiN,B4,1.08,paiN,2,2,100.0,3,2,67.0,0,0,,3,2,67.0,12,9,75.0,B4,1.0,1.08
murizzz,jett,223,17,13,1,4,132.0,16,2,1,1,3170,paiN,B4,13,5,ASCENT,1.08,18,72.22,0.94,0.72,0.06,0.11,0.06,W,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0,0,paiN,B4,1.08,paiN,2,2,100.0,3,2,67.0,0,0,,3,2,67.0,12,9,75.0,B4,1.0,1.08
Txozin,omen,215,13,12,2,1,120.6,26,1,0,1,3170,paiN,B4,13,5,ASCENT,1.08,18,72.22,0.72,0.67,0.11,0.06,0.0,W,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48,1,1,paiN,B4,1.08,paiN,2,2,100.0,3,2,67.0,0,0,,3,2,67.0,12,9,75.0,B4,1.0,1.08
ole,sova,200,13,11,6,2,124.5,10,1,1,0,3170,paiN,B4,13,5,ASCENT,1.08,18,72.22,0.72,0.61,0.33,0.06,0.06,W,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,53,3,0,paiN,B4,1.08,paiN,2,2,100.0,3,2,67.0,0,0,,3,2,67.0,12,9,75.0,B4,1.0,1.08
matheuzin,cypher,200,13,12,5,1,94.2,18,3,1,2,3170,paiN,B4,13,5,ASCENT,1.08,18,72.22,0.72,0.67,0.28,0.17,0.06,W,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32,0,0,paiN,B4,1.08,paiN,2,2,100.0,3,2,67.0,0,0,,3,2,67.0,12,9,75.0,B4,1.0,1.08
ole,sova,232,18,17,8,1,141.7,17,2,0,2,3143,paiN,FAKE,13,10,HAVEN,1.08,23,56.52,0.78,0.74,0.35,0.09,0.0,W,5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54,2,1,paiN,FAKE,1.08,paiN,1,2,50.0,3,1,33.0,3,0,0.0,1,1,100.0,16,11,69.0,FAKEZIN,1.0,1.08
kon4n,breach,226,17,16,11,1,142.2,22,2,2,0,3143,paiN,FAKE,13,10,HAVEN,1.08,23,56.52,0.74,0.7,0.48,0.09,0.09,W,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59,3,0,paiN,FAKE,1.08,paiN,1,2,50.0,3,1,33.0,3,0,0.0,1,1,100.0,16,11,69.0,FAKEZIN,1.0,1.08
Txozin,omen,201,15,18,6,-3,123.0,13,1,5,-4,3143,paiN,FAKE,13,10,HAVEN,1.08,23,56.52,0.65,0.78,0.26,0.04,0.22,W,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,1,0,paiN,FAKE,1.08,paiN,1,2,50.0,3,1,33.0,3,0,0.0,1,1,100.0,16,11,69.0,FAKEZIN,1.0,1.08
murizzz,jett,191,18,12,1,6,104.0,8,1,3,-2,3143,paiN,FAKE,13,10,HAVEN,1.08,23,56.52,0.78,0.52,0.04,0.04,0.13,W,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,46,0,1,paiN,FAKE,1.08,paiN,1,2,50.0,3,1,33.0,3,0,0.0,1,1,100.0,16,11,69.0,FAKEZIN,1.0,1.08
matheuzin,cypher,184,14,16,5,-2,120.6,26,6,1,5,3143,paiN,FAKE,13,10,HAVEN,1.08,23,56.52,0.61,0.7,0.22,0.26,0.04,W,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42,2,1,paiN,FAKE,1.08,paiN,1,2,50.0,3,1,33.0,3,0,0.0,1,1,100.0,16,11,69.0,FAKEZIN,1.0,1.08
ole,killjoy,271,21,13,6,8,150.6,15,4,0,4,3143,paiN,FAKE,13,8,SPLIT,1.08,21,61.9,1.0,0.62,0.29,0.19,0.0,W,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,2,0,paiN,FAKE,1.08,paiN,1,2,50.0,3,1,33.0,1,0,0.0,1,1,100.0,16,11,69.0,FAKEZIN,1.0,1.08
kon4n,raze,248,17,10,5,7,157.3,17,3,1,2,3143,paiN,FAKE,13,8,SPLIT,1.08,21,61.9,0.81,0.48,0.24,0.14,0.05,W,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66,2,0,paiN,FAKE,1.08,paiN,1,2,50.0,3,1,33.0,1,0,0.0,1,1,100.0,16,11,69.0,FAKEZIN,1.0,1.08
murizzz,jett,186,13,16,4,-3,105.6,4,3,4,-1,3143,paiN,FAKE,13,8,SPLIT,1.08,21,61.9,0.62,0.76,0.19,0.14,0.19,W,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38,0,1,paiN,FAKE,1.08,paiN,1,2,50.0,3,1,33.0,1,0,0.0,1,1,100.0,16,11,69.0,FAKEZIN,1.0,1.08
