Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team_x,Opp_Team_x,rounds_won,rounds_lost,Map,Patch_x,total_rounds,win_rate,KPR,DPR,APR,FKPR,FDPR,RESULT,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,Team_y,Opp_Team_y,Patch_y,Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch
mwzera,jett,182,15,17,2,-2,103.5,7,1,1,0,3142,GL,VIMD,13,9,SPLIT,1.08,22,59.09,0.68,0.77,0.09,0.05,0.05,W,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43,2,0,GL,VIMD,1.08,GL,0,2,0.0,4,0,0.0,2,1,50.0,1,1,100.0,15,11,73.0,VIMDOLOL,1.0,1.08
JhoW,omen,144,9,15,2,-6,96.5,24,3,4,-1,3142,GL,VIMD,13,9,SPLIT,1.08,22,59.09,0.41,0.68,0.09,0.14,0.18,W,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,1,0,GL,VIMD,1.08,GL,0,2,0.0,4,0,0.0,2,1,50.0,1,1,100.0,15,11,73.0,VIMDOLOL,1.0,1.08
mwzera,raze,272,20,17,5,3,154.3,7,6,4,2,3140,GL,B4,13,8,HAVEN,1.08,21,61.9,0.95,0.81,0.24,0.29,0.19,W,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,0,0,,4,3,75.0,14,9,64.0,B4,1.0,1.08
Jonn,phoenix,215,15,16,9,-1,129.2,23,4,4,0,3140,GL,B4,13,8,HAVEN,1.08,21,61.9,0.71,0.76,0.43,0.19,0.19,W,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0,0,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,0,0,,4,3,75.0,14,9,64.0,B4,1.0,1.08
Nyang,omen,212,16,10,10,6,166.8,28,1,1,0,3140,GL,B4,13,8,HAVEN,1.08,21,61.9,0.76,0.48,0.48,0.05,0.05,W,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,87,4,0,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,0,0,,4,3,75.0,14,9,64.0,B4,1.0,1.08
JhoW,cypher,200,17,10,5,7,115.4,8,0,1,-1,3140,GL,B4,13,8,HAVEN,1.08,21,61.9,0.81,0.48,0.24,0.0,0.05,W,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46,3,1,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,0,0,,4,3,75.0,14,9,64.0,B4,1.0,1.08
fznnn,sova,168,10,10,15,0,118.2,29,0,0,0,3140,GL,B4,13,8,HAVEN,1.08,21,61.9,0.48,0.48,0.71,0.0,0.0,W,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,4,0,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,0,0,,4,3,75.0,14,9,64.0,B4,1.0,1.08
mwzera,jett,323,28,14,2,14,174.5,8,6,4,2,3140,GL,B4,13,10,SPLIT,1.08,23,56.52,1.22,0.61,0.09,0.26,0.17,W,3,2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,68,1,1,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,1,0,0.0,4,3,75.0,15,9,60.0,B4,1.0,1.08
Jonn,raze,198,16,19,5,-3,123.2,13,2,5,-3,3140,GL,B4,13,10,SPLIT,1.08,23,56.52,0.7,0.83,0.22,0.09,0.22,W,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0,0,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,1,0,0.0,4,3,75.0,15,9,60.0,B4,1.0,1.08
fznnn,cypher,181,15,15,5,0,103.4,17,2,2,0,3140,GL,B4,13,10,SPLIT,1.08,23,56.52,0.65,0.65,0.22,0.09,0.09,W,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,2,1,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,1,0,0.0,4,3,75.0,15,9,60.0,B4,1.0,1.08
Nyang,sage,177,14,13,12,1,111.8,18,1,1,0,3140,GL,B4,13,10,SPLIT,1.08,23,56.52,0.61,0.57,0.52,0.04,0.04,W,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,3,0,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,1,0,0.0,4,3,75.0,15,9,60.0,B4,1.0,1.08
JhoW,omen,167,14,17,9,-3,116.8,10,0,0,0,3140,GL,B4,13,10,SPLIT,1.08,23,56.52,0.61,0.74,0.39,0.0,0.0,W,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41,1,0,GL,B4,1.08,GL,1,2,50.0,3,1,33.0,1,0,0.0,4,3,75.0,15,9,60.0,B4,1.0,1.08
mwzera,jett,274,23,16,6,7,158.7,15,6,1,5,3062,GL,VIMD,10,13,ASCENT,1.08,23,43.48,1.0,0.7,0.26,0.26,0.04,L,5,0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,68,0,2,GL,VIMD,1.08,GL,1,2,50.0,2,1,50.0,2,0,0.0,7,5,71.0,12,4,33.0,VIMDOLOL,1.0,1.08
Jonn,sage,243,18,18,8,0,166.8,38,6,5,1,3062,GL,VIMD,10,13,ASCENT,1.08,23,43.48,0.78,0.78,0.35,0.26,0.22,L,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,GL,VIMD,1.08,GL,1,2,50.0,2,1,50.0,2,0,0.0,7,5,71.0,12,4,33.0,VIMDOLOL,1.0,1.08
fznnn,sova,191,13,21,7,-8,132.8,19,0,1,-1,3062,GL,VIMD,10,13,ASCENT,1.08,23,43.48,0.57,0.91,0.3,0.0,0.04,L,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,2,1,GL,VIMD,1.08,GL,1,2,50.0,2,1,50.0,2,0,0.0,7,5,71.0,12,4,33.0,VIMDOLOL,1.0,1.08
JhoW,cypher,170,15,17,6,-2,96.2,13,2,0,2,3062,GL,VIMD,10,13,ASCENT,1.08,23,43.48,0.65,0.74,0.26,0.09,0.0,L,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,1,0,GL,VIMD,1.08,GL,1,2,50.0,2,1,50.0,2,0,0.0,7,5,71.0,12,4,33.0,VIMDOLOL,1.0,1.08
