Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
pepa,omen,212,20,17,8,3,146.4,22,0,3,-3,3084,VIMD,FF,14,12,9,3,3,9,HAVEN,
pollo,jett,204,19,19,1,0,120.2,15,3,3,0,3084,VIMD,FF,14,12,9,3,3,9,HAVEN,
Sacy,sova,193,16,16,10,0,127.8,21,2,2,0,3084,VIMD,FF,14,12,9,3,3,9,HAVEN,
Masu,breach,137,13,18,10,-5,85.8,21,2,0,2,3084,VIMD,FF,14,12,9,3,3,9,HAVEN,
fzkk,raze,290,26,18,4,8,189.8,18,3,2,1,3084,FF,VIMD,12,14,9,3,3,9,HAVEN,
dragonite,cypher,238,24,18,7,6,157.3,24,4,2,2,3084,FF,VIMD,12,14,9,3,3,9,HAVEN,
krain,sova,194,17,17,8,0,118.2,17,1,0,1,3084,FF,VIMD,12,14,9,3,3,9,HAVEN,
delevingne,reyna,159,15,18,4,-3,98.7,22,3,7,-4,3084,FF,VIMD,12,14,9,3,3,9,HAVEN,
v1xen,omen,108,8,20,7,-12,73.8,26,2,2,0,3084,FF,VIMD,12,14,9,3,3,9,HAVEN,
delevingne,jett,383,26,12,2,14,270.9,45,6,2,4,3085,FF,QSM,13,5,6,0,7,5,BIND,
v1xen,omen,220,14,7,5,7,142.8,21,0,0,0,3085,FF,QSM,13,5,6,0,7,5,BIND,
fzkk,raze,192,13,8,3,5,111.1,21,1,5,-4,3085,FF,QSM,13,5,6,0,7,5,BIND,
dragonite,cypher,157,11,8,2,3,112.2,20,1,0,1,3085,FF,QSM,13,5,6,0,7,5,BIND,
krain,sova,140,9,11,8,-2,72.7,17,2,1,1,3085,FF,QSM,13,5,6,0,7,5,BIND,
Maverick,brimstone,321,18,14,3,4,206.2,28,5,4,1,3085,QSM,FF,5,13,5,7,0,6,BIND,
sunset,jett,171,12,16,1,-4,121.7,29,1,1,0,3085,QSM,FF,5,13,5,7,0,6,BIND,
idk1,cypher,119,7,14,2,-7,79.0,25,2,1,1,3085,QSM,FF,5,13,5,7,0,6,BIND,
koé,raze,82,5,15,0,-10,59.7,25,0,2,-2,3085,QSM,FF,5,13,5,7,0,6,BIND,
hwk,sage,65,3,15,1,-12,46.6,27,0,2,-2,3085,QSM,FF,5,13,5,7,0,6,BIND,
fzkk,raze,385,27,14,8,13,215.7,13,4,1,3,3085,FF,QSM,13,6,4,3,9,3,ASCENT,
krain,sova,298,23,7,6,16,184.4,30,3,2,1,3085,FF,QSM,13,6,4,3,9,3,ASCENT,
dragonite,cypher,206,15,13,4,2,125.9,18,3,1,2,3085,FF,QSM,13,6,4,3,9,3,ASCENT,
delevingne,jett,187,12,13,6,-1,135.6,18,3,1,2,3085,FF,QSM,13,6,4,3,9,3,ASCENT,
v1xen,omen,118,7,12,12,-5,76.9,5,1,0,1,3085,FF,QSM,13,6,4,3,9,3,ASCENT,
koé,omen,251,17,16,0,1,130.3,32,2,4,-2,3085,QSM,FF,6,13,3,9,3,4,ASCENT,
hwk,sage,216,15,15,4,0,154.3,37,0,2,-2,3085,QSM,FF,6,13,3,9,3,4,ASCENT,
idk1,cypher,163,11,17,3,-6,98.9,17,1,5,-4,3085,QSM,FF,6,13,3,9,3,4,ASCENT,
Maverick,brimstone,141,8,18,4,-10,88.1,29,1,2,-1,3085,QSM,FF,6,13,3,9,3,4,ASCENT,
sunset,jett,131,8,18,1,-10,81.7,32,1,1,0,3085,QSM,FF,6,13,3,9,3,4,ASCENT,
gaabxx,jett,253,17,14,1,3,130.7,23,5,3,2,3048,N2B,FF,6,13,3,9,3,4,BIND,
bielthemagician,sova,199,11,13,5,-2,147.1,30,2,0,2,3048,N2B,FF,6,13,3,9,3,4,BIND,
Gabriel,killjoy,196,11,11,4,0,131.1,30,1,1,0,3048,N2B,FF,6,13,3,9,3,4,BIND,
chase,brimstone,122,9,16,0,-7,82.3,38,0,0,0,3048,N2B,FF,6,13,3,9,3,4,BIND,
MATHR,phoenix,87,4,14,2,-10,61.9,11,2,5,-3,3048,N2B,FF,6,13,3,9,3,4,BIND,
krain,sova,340,23,7,5,16,180.5,16,1,0,1,3048,FF,N2B,13,6,4,3,9,3,BIND,
delevingne,reyna,250,16,17,2,-1,149.4,24,7,5,2,3048,FF,N2B,13,6,4,3,9,3,BIND,
fzkk,raze,199,12,12,2,0,129.1,7,1,3,-2,3048,FF,N2B,13,6,4,3,9,3,BIND,
v1xen,omen,133,11,8,8,3,89.5,50,0,0,0,3048,FF,N2B,13,6,4,3,9,3,BIND,
dragonite,cypher,80,6,8,3,-2,57.7,17,0,2,-2,3048,FF,N2B,13,6,4,3,9,3,BIND,
tuyz,raze,220,16,17,2,-1,150.8,22,1,4,-3,4702,Mix,FF,9,13,4,8,5,5,BIND,
rst,omen,203,16,14,3,2,125.6,21,2,2,0,4702,Mix,FF,9,13,4,8,5,5,BIND,
Evilkyk,sova,187,14,15,7,-1,118.7,19,1,1,0,4702,Mix,FF,9,13,4,8,5,5,BIND,
txddy,cypher,187,14,17,4,-3,112.4,14,3,1,2,4702,Mix,FF,9,13,4,8,5,5,BIND,
Biscoit1n,jett,153,11,18,1,-7,90.7,24,3,4,-1,4702,Mix,FF,9,13,4,8,5,5,BIND,
fzkk,raze,292,19,19,9,0,188.7,16,5,3,2,4702,FF,Mix,13,9,5,5,8,4,BIND,
krain,sova,240,20,11,11,9,152.7,10,3,1,2,4702,FF,Mix,13,9,5,5,8,4,BIND,
dragonite,cypher,204,16,12,2,4,126.1,24,1,0,1,4702,FF,Mix,13,9,5,5,8,4,BIND,
v1xen,omen,197,18,15,4,3,103.0,27,2,3,-1,4702,FF,Mix,13,9,5,5,8,4,BIND,
delevingne,jett,92,7,16,2,-9,50.2,5,1,3,-2,4702,FF,Mix,13,9,5,5,8,4,BIND,
Biscoit1n,jett,327,24,9,1,15,174.5,17,5,1,4,4702,Mix,FF,13,6,9,3,4,3,SPLIT,
tuyz,raze,268,16,12,9,4,160.4,15,0,0,0,4702,Mix,FF,13,6,9,3,4,3,SPLIT,
txddy,cypher,239,15,13,5,2,160.0,24,2,2,0,4702,Mix,FF,13,6,9,3,4,3,SPLIT,
rst,omen,179,14,11,3,3,116.7,23,3,4,-1,4702,Mix,FF,13,6,9,3,4,3,SPLIT,
Evilkyk,killjoy,93,6,8,2,-2,65.0,11,0,2,-2,4702,Mix,FF,13,6,9,3,4,3,SPLIT,
fzkk,raze,233,14,17,4,-3,149.4,17,5,4,1,4702,FF,Mix,6,13,3,4,3,9,SPLIT,
v1xen,omen,173,11,15,5,-4,108.9,29,1,1,0,4702,FF,Mix,6,13,3,4,3,9,SPLIT,
dragonite,cypher,158,10,13,5,-3,93.2,15,1,0,1,4702,FF,Mix,6,13,3,4,3,9,SPLIT,
krain,breach,151,9,14,5,-5,90.6,10,1,0,1,4702,FF,Mix,6,13,3,4,3,9,SPLIT,
delevingne,sage,147,9,16,9,-7,101.6,21,1,5,-4,4702,FF,Mix,6,13,3,4,3,9,SPLIT,
Biscoit1n,jett,242,21,19,1,2,141.6,16,7,6,1,4702,Mix,FF,11,13,10,2,1,11,HAVEN,
rst,omen,227,21,16,1,5,129.3,26,0,2,-2,4702,Mix,FF,11,13,10,2,1,11,HAVEN,
tuyz,reyna,205,19,14,5,5,112.5,20,1,2,-1,4702,Mix,FF,11,13,10,2,1,11,HAVEN,
Evilkyk,sova,163,10,17,9,-7,133.1,15,1,2,-1,4702,Mix,FF,11,13,10,2,1,11,HAVEN,
txddy,cypher,116,9,16,7,-7,76.8,21,2,1,1,4702,Mix,FF,11,13,10,2,1,11,HAVEN,
delevingne,reyna,278,22,17,2,5,178.5,11,4,1,3,4702,FF,Mix,13,11,11,1,2,10,HAVEN,
krain,sova,212,18,16,9,2,113.1,16,2,0,2,4702,FF,Mix,13,11,11,1,2,10,HAVEN,
v1xen,omen,174,14,16,11,-2,114.0,22,2,3,-1,4702,FF,Mix,13,11,11,1,2,10,HAVEN,
dragonite,cypher,165,14,16,8,-2,103.0,10,1,1,0,4702,FF,Mix,13,11,11,1,2,10,HAVEN,
fzkk,raze,164,14,15,6,-1,99.5,6,4,6,-2,4702,FF,Mix,13,11,11,1,2,10,HAVEN,
delevingne,sage,271,20,10,7,10,169.8,14,2,3,-1,4701,FF,FKL,13,6,4,3,9,3,SPLIT,
fzkk,raze,232,15,13,5,2,155.8,11,4,1,3,4701,FF,FKL,13,6,4,3,9,3,SPLIT,
