Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
krain,201,47,41,25,6,119.9,12,6,1,5,4702,FF,Mix,MATCH,3,1.1
v1xen,181,43,46,20,-3,108.8,25,5,7,-2,4702,FF,Mix,MATCH,3,1.1
dragonite,176,40,41,15,-1,108.0,16,3,1,2,4702,FF,Mix,MATCH,3,1.1
delevingne,172,38,49,13,-11,112.6,12,6,9,-3,4702,FF,Mix,MATCH,3,1.1
fzkk,250,35,31,11,4,159.3,13,8,8,0,4701,FF,FKL,MATCH,2,1.1
delevingne,201,29,27,16,2,130.5,15,4,6,-2,4701,FF,FKL,MATCH,2,1.1
krain,189,33,19,15,14,114.7,15,1,2,-1,4701,FF,FKL,MATCH,2,1.1
dragonite,180,24,25,17,-1,108.6,18,3,6,-3,4701,FF,FKL,MATCH,2,1.1
v1xen,180,31,20,8,11,115.0,24,5,0,5,4701,FF,FKL,MATCH,2,1.1
qck,235,35,33,7,2,141.3,14,9,8,1,4701,FKL,FF,MATCH,2,1.1
bld,183,26,33,4,-7,126.1,12,3,3,0,4701,FKL,FF,MATCH,2,1.1
pava,176,22,28,10,-6,111.6,9,6,6,0,4701,FKL,FF,MATCH,2,1.1
fraSAN,135,23,31,6,-8,82.4,16,1,4,-3,4701,FKL,FF,MATCH,2,1.1
Khalil,129,16,27,10,-11,72.9,20,3,0,3,4701,FKL,FF,MATCH,2,1.1
fzkk,239,60,63,25,-3,146.1,11,14,18,-4,4631,FF,C,MATCH,3,1.1
delevingne,195,54,58,28,-4,128.1,17,5,9,-4,4631,FF,C,MATCH,3,1.1
v1xen,191,57,51,19,6,123.8,24,8,7,1,4631,FF,C,MATCH,3,1.1
krain,178,56,41,25,15,127.9,25,2,2,0,4631,FF,C,MATCH,3,1.1
dragonite,177,52,54,18,-2,128.1,18,5,10,-5,4631,FF,C,MATCH,3,1.1
Ziulfps,226,56,63,16,-7,140.7,19,13,7,6,4631,C,FF,MATCH,3,1.1
lugn,223,61,57,27,4,158.9,21,12,10,2,4631,C,FF,MATCH,3,1.1
bzkA,195,57,57,14,0,134.9,16,8,8,0,4631,C,FF,MATCH,3,1.1
rnk,184,53,52,23,1,112.9,18,9,7,2,4631,C,FF,MATCH,3,1.1
chl,136,38,52,17,-14,89.9,19,4,2,2,4631,C,FF,MATCH,3,1.1
patochovsk,249,19,16,4,3,160.1,16,3,3,0,3066,FAKE,FF,MATCH,1,1.08
Tecnosh,210,16,17,4,-1,130.3,15,4,3,1,3066,FAKE,FF,MATCH,1,1.08
FLG1,202,17,18,4,-1,130.4,39,2,2,0,3066,FAKE,FF,MATCH,1,1.08
GTFAFMX,193,16,14,6,2,123.0,30,0,2,-2,3066,FAKE,FF,MATCH,1,1.08
NANZIN,178,17,14,3,3,98.5,50,2,3,-1,3066,FAKE,FF,MATCH,1,1.08
krain,223,18,16,6,2,156.2,17,2,2,0,3066,FF,FAKE,MATCH,1,1.08
fzkk,220,17,18,6,-1,136.5,11,3,3,0,3066,FF,FAKE,MATCH,1,1.08
dragonite,196,18,17,3,1,133.7,29,3,0,3,3066,FF,FAKE,MATCH,1,1.08
delevingne,182,15,18,5,-3,116.6,16,4,4,0,3066,FF,FAKE,MATCH,1,1.08
v1xen,128,11,16,2,-5,73.0,25,1,2,-1,3066,FF,FAKE,MATCH,1,1.08
frz,281,30,19,8,11,169.8,20,3,2,1,2939,B4,FF,MATCH,1,1.08
xand,222,24,20,10,4,130.4,13,3,3,0,2939,B4,FF,MATCH,1,1.08
akemy,199,21,22,7,-1,137.1,21,6,1,5,2939,B4,FF,MATCH,1,1.08
pancada,193,22,19,6,3,125.8,19,2,4,-2,2939,B4,FF,MATCH,1,1.08
v1nny,82,12,22,1,-10,58.9,17,0,8,-8,2939,B4,FF,MATCH,1,1.08
fzkk,219,24,23,1,1,138.6,17,5,5,0,2939,FF,B4,MATCH,1,1.08
v1xen,214,27,19,5,8,124.8,29,3,1,2,2939,FF,B4,MATCH,1,1.08
delevingne,203,20,24,9,-4,118.3,10,6,5,1,2939,FF,B4,MATCH,1,1.08
krain,181,19,22,9,-3,129.2,20,2,1,1,2939,FF,B4,MATCH,1,1.08
dragonite,133,12,21,10,-9,93.6,20,2,2,0,2939,FF,B4,MATCH,1,1.08
delevingne,384,21,9,2,12,224.6,30,5,2,3,3063,FF,HAVAN,MATCH,1,1.08
fzkk,254,12,10,5,2,156.9,13,2,2,0,3063,FF,HAVAN,MATCH,1,1.08
dragonite,244,14,4,7,10,151.9,26,1,0,1,3063,FF,HAVAN,MATCH,1,1.08
krain,236,11,6,8,5,150.8,15,0,1,-1,3063,FF,HAVAN,MATCH,1,1.08
v1xen,108,8,6,4,2,47.4,18,1,0,1,3063,FF,HAVAN,MATCH,1,1.08
pMdr1,243,10,14,1,-4,159.9,42,2,3,-1,3063,HAVAN,FF,MATCH,1,1.08
Myssen,175,8,13,0,-5,117.5,48,1,4,-3,3063,HAVAN,FF,MATCH,1,1.08
shion,163,7,14,3,-7,101.6,30,1,0,1,3063,HAVAN,FF,MATCH,1,1.08
pleets,110,6,13,3,-7,65.9,14,1,1,0,3063,HAVAN,FF,MATCH,1,1.08
bNhardneja,97,4,12,1,-8,58.0,31,0,1,-1,3063,HAVAN,FF,MATCH,1,1.08
krain,241,18,13,6,5,137.5,21,1,0,1,3058,FF,QSM,MATCH,1,1.08
fzkk,209,15,13,2,2,130.0,7,4,3,1,3058,FF,QSM,MATCH,1,1.08
v1xen,191,15,16,5,-1,111.4,19,1,2,-1,3058,FF,QSM,MATCH,1,1.08
