Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
akemy,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,4.0,0.0,3170,B4,NOOR,1.08,MATCH,2
frz,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2.0,1.0,3170,B4,NOOR,1.08,MATCH,2
xand,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,3170,B4,NOOR,1.08,MATCH,2
pancada,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,3170,B4,NOOR,1.08,MATCH,2
v1nny,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,1.0,3170,B4,NOOR,1.08,MATCH,2
murizzz,10.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,3.0,0.0,3170,NOOR,B4,1.08,MATCH,2
ole,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,7.0,0.0,3170,NOOR,B4,1.08,MATCH,2
Txozin,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,1.0,1.0,3170,NOOR,B4,1.08,MATCH,2
matheuzin,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,3170,NOOR,B4,1.08,MATCH,2
kon4n,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,3.0,0.0,3170,NOOR,B4,1.08,MATCH,2
Tecnosh,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,1.0,3143,FAKE,NOOR,1.08,MATCH,2
NANZIN,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.0,0.0,3143,FAKE,NOOR,1.08,MATCH,2
GTFAFMX,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,49.0,4.0,1.0,3143,FAKE,NOOR,1.08,MATCH,2
patochovsk,8.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65.0,0.0,1.0,3143,FAKE,NOOR,1.08,MATCH,2
