Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
prozin,cypher,195,16,17,4,-1,115.4,19,2,2,0,3213,VIMD,NOOR,13,10,5,7,8,3,SPLIT,
pepa,raze,172,12,20,3,-8,96.7,9,5,4,1,3213,VIMD,NOOR,13,10,5,7,8,3,SPLIT,
Masu,breach,136,10,17,12,-7,93.1,9,0,0,0,3213,VIMD,NOOR,13,10,5,7,8,3,SPLIT,
matheuzin,cypher,247,20,18,8,2,152.4,33,6,1,5,3213,NOOR,VIMD,10,13,3,8,7,5,SPLIT,
ole,killjoy,238,20,15,9,5,148.7,16,2,0,2,3213,NOOR,VIMD,10,13,3,8,7,5,SPLIT,
murizzz,jett,187,15,16,4,-1,116.7,22,2,4,-2,3213,NOOR,VIMD,10,13,3,8,7,5,SPLIT,
kon4n,raze,180,14,15,4,-1,121.3,14,1,4,-3,3213,NOOR,VIMD,10,13,3,8,7,5,SPLIT,
Txozin,omen,148,12,18,4,-6,103.8,15,0,3,-3,3213,NOOR,VIMD,10,13,3,8,7,5,SPLIT,
pollo,jett,331,23,13,0,10,195.8,23,4,4,0,3213,VIMD,NOOR,7,13,5,7,2,6,BIND,
Sacy,sova,212,14,15,3,-1,113.3,27,3,4,-1,3213,VIMD,NOOR,7,13,5,7,2,6,BIND,
prozin,cypher,140,10,13,6,-3,93.5,26,0,2,-2,3213,VIMD,NOOR,7,13,5,7,2,6,BIND,
Masu,breach,124,9,15,10,-6,83.3,18,0,0,0,3213,VIMD,NOOR,7,13,5,7,2,6,BIND,
pepa,omen,109,6,15,6,-9,68.4,13,2,1,1,3213,VIMD,NOOR,7,13,5,7,2,6,BIND,
murizzz,sova,259,19,10,8,9,160.5,28,3,1,2,3213,NOOR,VIMD,13,7,6,2,7,5,BIND,
matheuzin,cypher,199,15,12,4,3,114.2,20,2,3,-1,3213,NOOR,VIMD,13,7,6,2,7,5,BIND,
ole,sage,179,14,12,7,2,118.5,21,3,0,3,3213,NOOR,VIMD,13,7,6,2,7,5,BIND,
Txozin,brimstone,164,12,15,3,-3,105.3,10,1,3,-2,3213,NOOR,VIMD,13,7,6,2,7,5,BIND,
kon4n,phoenix,161,11,13,6,-2,91.6,18,2,2,0,3213,NOOR,VIMD,13,7,6,2,7,5,BIND,
frz,killjoy,218,15,13,3,2,144.5,15,3,2,1,3170,B4,NOOR,8,13,3,9,5,4,SPLIT,
xand,raze,195,13,17,3,-4,112.6,18,3,3,0,3170,B4,NOOR,8,13,3,9,5,4,SPLIT,
akemy,breach,166,11,16,8,-5,111.8,26,2,1,1,3170,B4,NOOR,8,13,3,9,5,4,SPLIT,
pancada,omen,165,11,14,4,-3,102.5,12,1,4,-3,3170,B4,NOOR,8,13,3,9,5,4,SPLIT,
