Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
LEozin,232,38,32,3,6,127.7,21,10,1,9,4943,BD,Mix,MATCH,2,1.1
wilfps,209,33,34,7,-1,141.8,24,5,6,-1,4943,BD,Mix,MATCH,2,1.1
rhz,199,31,30,16,1,118.8,24,1,1,0,4943,BD,Mix,MATCH,2,1.1
rood,177,27,28,14,-1,110.1,15,6,4,2,4943,BD,Mix,MATCH,2,1.1
bezn1,138,17,35,15,-18,90.9,19,2,9,-7,4943,BD,Mix,MATCH,2,1.1
Biscoit1n,250,38,31,12,7,165.3,23,6,6,0,4943,Mix,BD,MATCH,2,1.1
txddy,219,37,27,7,10,124.0,25,3,4,-1,4943,Mix,BD,MATCH,2,1.1
Evilkyk,195,30,29,8,1,129.6,18,3,8,-5,4943,Mix,BD,MATCH,2,1.1
rst,191,32,27,7,5,113.7,17,4,3,1,4943,Mix,BD,MATCH,2,1.1
tuyz,158,22,32,15,-10,105.5,21,5,3,2,4943,Mix,BD,MATCH,2,1.1
rood,350,22,7,4,15,190.7,15,3,0,3,4905,BD,LAET,MATCH,1,1.11
LEozin,289,15,9,9,6,201.6,16,3,1,2,4905,BD,LAET,MATCH,1,1.11
bezn1,242,15,8,6,7,126.7,20,3,3,0,4905,BD,LAET,MATCH,1,1.11
rhz,175,11,6,6,5,120.5,38,0,0,0,4905,BD,LAET,MATCH,1,1.11
wilfps,165,11,7,4,4,94.4,29,2,1,1,4905,BD,LAET,MATCH,1,1.11
Valtuhhh,181,9,14,2,-5,169.3,26,2,1,1,4905,LAET,BD,MATCH,1,1.11
Cr̦wed,168,9,15,1,-6,106.3,17,2,5,-3,4905,LAET,BD,MATCH,1,1.11
SqL,152,7,15,4,-8,108.0,21,0,2,-2,4905,LAET,BD,MATCH,1,1.11
VictorBrf,151,7,15,2,-8,108.4,17,1,1,0,4905,LAET,BD,MATCH,1,1.11
Piko,110,5,15,5,-10,66.1,23,0,2,-2,4905,LAET,BD,MATCH,1,1.11
rood,266,24,12,2,12,149.2,29,5,0,5,4697,BD,novi,MATCH,1,1.1
LEozin,254,20,17,6,3,166.2,20,2,5,-3,4697,BD,novi,MATCH,1,1.1
bezn1,214,19,17,3,2,132.9,27,3,3,0,4697,BD,novi,MATCH,1,1.1
rhz,161,13,15,10,-2,115.6,13,2,1,1,4697,BD,novi,MATCH,1,1.1
wilfps,131,10,18,5,-8,87.5,26,1,1,0,4697,BD,novi,MATCH,1,1.1
