Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
BD,3,4,75.0,4,3,75.0,4,1,25.0,16,8,50.0,21,7,33.0,Mix,2.0,1.1,4943,MATCH
Mix,1,4,25.0,7,1,14.0,4,1,25.0,2,0,0.0,32,24,75.0,BD,2.0,1.1,4943,MATCH
BD,2,2,100.0,2,2,100.0,0,0,,4,3,75.0,10,8,80.0,LAETUS Gaming,1.0,1.11,4905,MATCH
LAETUS Gaming,0,2,0.0,4,0,0.0,3,0,0.0,2,1,50.0,7,2,29.0,BD,1.0,1.11,4905,MATCH
BD,2,2,100.0,2,2,100.0,1,1,100.0,8,5,62.0,12,2,17.0,novidades em breve,1.0,1.1,4697,MATCH
novidades em breve,0,2,0.0,4,0,0.0,3,3,100.0,2,2,100.0,14,8,57.0,BD,1.0,1.1,4697,MATCH
DG,1,2,50.0,3,1,33.0,2,0,0.0,6,4,67.0,15,7,47.0,BD,1.0,1.1,4694,MATCH
BD,1,2,50.0,3,1,33.0,0,0,,2,1,50.0,21,12,57.0,DG,1.0,1.1,4694,MATCH
BD,0,2,0.0,4,0,0.0,0,0,,2,2,100.0,15,11,73.0,NEW,1.0,1.1,4030,MATCH
NEW,2,2,100.0,2,2,100.0,4,0,0.0,4,2,50.0,11,4,36.0,BD,1.0,1.1,4030,MATCH
novidades em breve,0,2,0.0,4,1,25.0,0,0,,0,0,,17,12,71.0,BD,1.0,1.1,4029,MATCH
BD,2,2,100.0,2,2,100.0,5,1,20.0,3,1,33.0,11,4,36.0,novidades em breve,1.0,1.1,4029,MATCH
BD,2,2,100.0,2,2,100.0,0,0,,8,5,62.0,10,6,60.0,DG,1.0,1.1,4026,MATCH
DG,0,2,0.0,6,0,0.0,1,0,0.0,4,1,25.0,9,6,67.0,BD,1.0,1.1,4026,MATCH
VIMDOLOL,2,2,100.0,2,2,100.0,1,1,100.0,7,5,71.0,10,5,50.0,BD,1.0,1.09,3475,MATCH
BD,0,2,0.0,4,0,0.0,1,0,0.0,2,0,0.0,13,7,54.0,VIMDOLOL,1.0,1.09,3475,MATCH
novidades em breve,0,2,0.0,5,1,20.0,1,0,0.0,3,1,33.0,12,6,50.0,BD,1.0,1.09,3470,MATCH
BD,2,2,100.0,2,2,100.0,2,0,0.0,5,2,40.0,12,9,75.0,novidades em breve,1.0,1.09,3470,MATCH
Estral,2,2,100.0,2,2,100.0,0,0,,2,2,100.0,10,9,90.0,BD,1.0,1.09,3467,MATCH
BD,0,2,0.0,3,0,0.0,3,0,0.0,3,1,33.0,5,0,0.0,Estral,1.0,1.09,3467,MATCH
FAKEZIN,3,6,50.0,8,3,38.0,2,0,0.0,12,8,67.0,39,21,54.0,BD,3.0,1.08,2977,MATCH
BD,3,6,50.0,10,3,30.0,3,0,0.0,9,3,33.0,39,23,59.0,FAKEZIN,3.0,1.08,2977,MATCH
BD,2,4,50.0,6,3,50.0,0,0,,6,6,100.0,27,17,63.0,Galaxy Boys,2.0,1.08,2957,MATCH
Galaxy Boys,2,4,50.0,7,2,29.0,3,1,33.0,9,3,33.0,20,7,35.0,BD,2.0,1.08,2957,MATCH
BD,2,2,100.0,2,2,100.0,4,1,25.0,6,4,67.0,14,5,36.0,VKS,1.0,1.12,5998,MATCH
VKS,0,2,0.0,3,0,0.0,4,2,50.0,1,1,100.0,18,11,61.0,BD,1.0,1.12,5998,MATCH
oNe,1,2,50.0,2,1,50.0,1,1,100.0,7,2,29.0,13,9,69.0,BD,1.0,1.12,5995,MATCH
BD,1,2,50.0,3,1,33.0,3,0,0.0,2,0,0.0,15,9,60.0,oNe,1.0,1.12,5995,MATCH
paiN,1,4,25.0,7,2,29.0,1,0,0.0,1,1,100.0,34,23,68.0,BD,2.0,1.12,5283,MATCH
BD,3,4,75.0,6,3,50.0,4,1,25.0,10,5,50.0,23,8,35.0,paiN,2.0,1.12,5283,MATCH
tiobaṛo,2,4,50.0,6,3,50.0,2,0,0.0,10,3,30.0,18,4,22.0,BD,2.0,1.12,5274,MATCH
BD,2,4,50.0,7,2,29.0,1,1,100.0,4,3,75.0,24,20,83.0,tiobaṛo,2.0,1.12,5274,MATCH
IMP,1,4,25.0,7,1,14.0,2,0,0.0,4,3,75.0,34,23,68.0,BD,2.0,,8297,MATCH
BD,3,4,75.0,4,3,75.0,5,0,0.0,12,7,58.0,26,10,38.0,IMP,2.0,,8297,MATCH
BD,3,6,50.0,10,3,30.0,2,1,50.0,14,4,29.0,40,29,72.0,TREMBALA,3.0,,8295,MATCH
TREMBALA,3,6,50.0,9,4,44.0,4,0,0.0,18,9,50.0,35,16,46.0,BD,3.0,,8295,MATCH
BD,3,4,75.0,4,3,75.0,1,1,100.0,6,6,100.0,21,16,76.0,SwedishStyle,2.0,1.14,8247,MATCH
SwedishStyle,1,4,25.0,7,1,14.0,7,0,0.0,9,1,11.0,9,4,44.0,BD,2.0,1.14,8247,MATCH
BD,1,2,50.0,3,1,33.0,1,1,100.0,4,3,75.0,13,8,62.0,3P,1.0,1.14,8238,MATCH
3P,1,2,50.0,2,1,50.0,2,2,100.0,8,2,25.0,9,3,33.0,BD,1.0,1.14,8238,MATCH
BD,1,2,50.0,3,1,33.0,0,0,,4,2,50.0,17,8,47.0,DLWZK,1.0,2.01,9324,MATCH
DLWZK,1,2,50.0,3,1,33.0,2,2,100.0,5,1,20.0,14,9,64.0,BD,1.0,2.01,9324,MATCH
semTAG,2,2,100.0,2,2,100.0,3,0,0.0,7,3,43.0,7,1,14.0,BD,1.0,2.01,9317,MATCH
