Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
LEozin,raze,267,22,12,1,10,149.1,24,4,0,4,4943,BD,Mix,8,13,2,7,6,6,HAVEN,
bezn1,jett,180,11,16,9,-5,109.0,20,2,3,-1,4943,BD,Mix,8,13,2,7,6,6,HAVEN,
wilfps,cypher,169,12,15,2,-3,127.5,20,2,3,-1,4943,BD,Mix,8,13,2,7,6,6,HAVEN,
rhz,sova,165,11,14,5,-3,107.6,27,1,1,0,4943,BD,Mix,8,13,2,7,6,6,HAVEN,
rood,omen,123,7,15,9,-8,82.0,6,2,3,-1,4943,BD,Mix,8,13,2,7,6,6,HAVEN,
txddy,cypher,246,21,11,2,10,144.4,28,2,0,2,4943,Mix,BD,13,8,6,6,7,2,HAVEN,
Biscoit1n,jett,235,16,13,5,3,150.8,21,3,3,0,4943,Mix,BD,13,8,6,6,7,2,HAVEN,
Evilkyk,sova,209,15,12,3,3,127.1,18,2,3,-1,4943,Mix,BD,13,8,6,6,7,2,HAVEN,
tuyz,reyna,148,9,13,8,-4,94.6,22,2,2,0,4943,Mix,BD,13,8,6,6,7,2,HAVEN,
rst,omen,138,11,14,2,-3,82.3,18,1,3,-2,4943,Mix,BD,13,8,6,6,7,2,HAVEN,
wilfps,cypher,248,21,19,5,2,154.3,27,3,3,0,4943,BD,Mix,11,13,5,7,6,6,SPLIT,
rhz,breach,232,20,16,11,4,128.5,23,0,0,0,4943,BD,Mix,11,13,5,7,6,6,SPLIT,
rood,omen,230,20,13,5,7,134.7,21,4,1,3,4943,BD,Mix,11,13,5,7,6,6,SPLIT,
LEozin,raze,196,16,20,2,-4,109.0,18,6,1,5,4943,BD,Mix,11,13,5,7,6,6,SPLIT,
bezn1,jett,96,6,19,6,-13,75.1,18,0,6,-6,4943,BD,Mix,11,13,5,7,6,6,SPLIT,
Biscoit1n,jett,264,22,18,7,4,178.0,24,3,3,0,4943,Mix,BD,13,11,6,6,7,5,SPLIT,
rst,omen,244,21,13,5,8,141.2,17,3,0,3,4943,Mix,BD,13,11,6,6,7,5,SPLIT,
txddy,cypher,191,16,16,5,0,106.2,22,1,4,-3,4943,Mix,BD,13,11,6,6,7,5,SPLIT,
Evilkyk,killjoy,181,15,17,5,-2,131.8,18,1,5,-4,4943,Mix,BD,13,11,6,6,7,5,SPLIT,
tuyz,raze,168,13,19,7,-6,115.0,20,3,1,2,4943,Mix,BD,13,11,6,6,7,5,SPLIT,
rood,omen,350,22,7,4,15,190.7,15,3,0,3,4905,BD,LAET,13,3,9,3,4,0,BIND,
LEozin,raze,289,15,9,9,6,201.6,16,3,1,2,4905,BD,LAET,13,3,9,3,4,0,BIND,
bezn1,reyna,242,15,8,6,7,126.7,20,3,3,0,4905,BD,LAET,13,3,9,3,4,0,BIND,
rhz,sova,175,11,6,6,5,120.5,38,0,0,0,4905,BD,LAET,13,3,9,3,4,0,BIND,
wilfps,cypher,165,11,7,4,4,94.4,29,2,1,1,4905,BD,LAET,13,3,9,3,4,0,BIND,
Valtuhhh,killjoy,181,9,14,2,-5,169.3,26,2,1,1,4905,LAET,BD,3,13,0,4,3,9,BIND,
Cr̦wed,jett,168,9,15,1,-6,106.3,17,2,5,-3,4905,LAET,BD,3,13,0,4,3,9,BIND,
SqL,omen,152,7,15,4,-8,108.0,21,0,2,-2,4905,LAET,BD,3,13,0,4,3,9,BIND,
VictorBrf,raze,151,7,15,2,-8,108.4,17,1,1,0,4905,LAET,BD,3,13,0,4,3,9,BIND,
Piko,sova,110,5,15,5,-10,66.1,23,0,2,-2,4905,LAET,BD,3,13,0,4,3,9,BIND,
