Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
rhz,1,1,0,0.0,0.0,0,0.0,0.0,0.0,43,1,0,4943,BD,Mix,HAVEN,1.1
bezn1,4,0,0,0.0,0.0,0,0.0,0.0,0.0,39,0,0,4943,BD,Mix,HAVEN,1.1
rood,0,0,0,0.0,0.0,0,0.0,0.0,0.0,32,3,0,4943,BD,Mix,HAVEN,1.1
LEozin,2,4,0,0.0,0.0,1,0.0,0.0,0.0,59,1,0,4943,BD,Mix,HAVEN,1.1
wilfps,2,0,0,0.0,0.0,0,0.0,0.0,0.0,46,4,1,4943,BD,Mix,HAVEN,1.1
rst,3,0,0,0.0,0.0,0,0.0,0.0,0.0,32,2,0,4943,Mix,BD,HAVEN,1.1
Evilkyk,2,1,0,0.0,0.0,0,0.0,0.0,0.0,72,1,1,4943,Mix,BD,HAVEN,1.1
tuyz,1,0,0,0.0,0.0,0,0.0,0.0,0.0,52,1,1,4943,Mix,BD,HAVEN,1.1
Biscoit1n,3,2,0,0.0,0.0,0,0.0,0.0,0.0,62,2,1,4943,Mix,BD,HAVEN,1.1
txddy,4,1,1,0.0,0.0,0,0.0,0.0,0.0,65,1,0,4943,Mix,BD,HAVEN,1.1
rhz,4,0,0.0,1,0,0,0.0,0.0,0.0,50,3,0,4943,BD,Mix,SPLIT,1.1
bezn1,1,0,0.0,0,0,0,0.0,0.0,0.0,27,0,1,4943,BD,Mix,SPLIT,1.1
rood,3,1,0.0,0,1,0,0.0,0.0,0.0,67,5,0,4943,BD,Mix,SPLIT,1.1
LEozin,3,0,0.0,0,0,0,0.0,0.0,0.0,36,0,0,4943,BD,Mix,SPLIT,1.1
wilfps,3,2,0.0,0,0,0,0.0,0.0,0.0,54,0,1,4943,BD,Mix,SPLIT,1.1
rst,5,2,0.0,0,1,1,0.0,0.0,0.0,59,6,0,4943,Mix,BD,SPLIT,1.1
Evilkyk,0,2,0.0,0,0,0,0.0,0.0,0.0,56,1,0,4943,Mix,BD,SPLIT,1.1
tuyz,1,1,0.0,0,0,0,0.0,0.0,0.0,53,2,1,4943,Mix,BD,SPLIT,1.1
Biscoit1n,2,1,0.0,1,0,0,0.0,0.0,0.0,71,0,0,4943,Mix,BD,SPLIT,1.1
txddy,2,2,0.0,0,0,1,0.0,0.0,0.0,38,0,1,4943,Mix,BD,SPLIT,1.1
rhz,1,0,0,0.0,0.0,0,0.0,0.0,0.0,56,0,0,4905,BD,LAET,BIND,1.11
bezn1,5,1,0,0.0,0.0,0,0.0,0.0,0.0,47,1,2,4905,BD,LAET,BIND,1.11
rood,6,0,1,0.0,0.0,0,0.0,0.0,0.0,89,1,1,4905,BD,LAET,BIND,1.11
LEozin,2,2,0,0.0,0.0,0,0.0,0.0,0.0,84,0,0,4905,BD,LAET,BIND,1.11
wilfps,1,1,0,0.0,0.0,0,0.0,0.0,0.0,38,1,0,4905,BD,LAET,BIND,1.11
VictorBrf,2,0,0,0.0,0.0,1,0.0,0.0,0.0,44,0,0,4905,LAET,BD,BIND,1.11
Piko,0,0,0,0.0,0.0,0,0.0,0.0,0.0,28,3,0,4905,LAET,BD,BIND,1.11
Valtuhhh,0,1,0,0.0,0.0,1,0.0,0.0,0.0,75,3,0,4905,LAET,BD,BIND,1.11
SqL,2,0,0,0.0,0.0,0,0.0,0.0,0.0,46,0,0,4905,LAET,BD,BIND,1.11
Cr̦wed,2,0,0,0.0,0.0,0,0.0,0.0,0.0,48,0,0,4905,LAET,BD,BIND,1.11
rhz,1,0,0,0.0,0,0,0,0,0.0,46,3,1,4697,BD,novi,BIND,1.1
bezn1,5,1,0,0.0,0,0,0,0,0.0,50,4,0,4697,BD,novi,BIND,1.1
rood,7,0,0,0.0,0,0,0,0,0.0,68,1,0,4697,BD,novi,BIND,1.1
LEozin,4,2,0,0.0,0,0,0,0,0.0,58,1,0,4697,BD,novi,BIND,1.1
wilfps,1,0,0,0.0,0,0,0,0,0.0,34,1,0,4697,BD,novi,BIND,1.1
rst,2,3,1,0.0,1,1,1,1,0.0,53,7,2,4697,novi,BD,BIND,1.1
Evilkyk,6,1,0,0.0,0,0,0,0,0.0,60,0,1,4697,novi,BD,BIND,1.1
tuyz,6,1,0,0.0,0,1,0,0,0.0,77,0,1,4697,novi,BD,BIND,1.1
Biscoit1n,3,0,0,0.0,0,0,0,0,0.0,29,0,0,4697,novi,BD,BIND,1.1
txddy,2,0,0,0.0,0,0,0,0,0.0,41,0,0,4697,novi,BD,BIND,1.1
GuhRVN,2,1,0.0,0.0,0,0,0,0.0,0.0,30,1,0,4694,DG,BD,BIND,1.1
Leox,6,0,0.0,0.0,1,0,0,0.0,0.0,48,0,1,4694,DG,BD,BIND,1.1
glym,2,0,0.0,0.0,1,0,0,0.0,0.0,30,0,2,4694,DG,BD,BIND,1.1
valois,1,0,0.0,0.0,0,0,0,0.0,0.0,29,2,0,4694,DG,BD,BIND,1.1
fx,4,2,0.0,0.0,0,1,1,0.0,0.0,61,1,0,4694,DG,BD,BIND,1.1
rhz,5,1,0.0,0.0,0,0,0,0.0,0.0,56,3,0,4694,BD,DG,BIND,1.1
bezn1,3,2,0.0,0.0,0,0,0,0.0,0.0,45,1,1,4694,BD,DG,BIND,1.1
rood,5,0,0.0,0.0,0,0,0,0.0,0.0,51,0,0,4694,BD,DG,BIND,1.1
LEozin,5,2,0.0,0.0,0,0,0,0.0,0.0,45,0,1,4694,BD,DG,BIND,1.1
wilfps,7,2,0.0,0.0,0,0,0,0.0,0.0,62,2,0,4694,BD,DG,BIND,1.1
fooX,2,1,0,0.0,0,0.0,0.0,0.0,0.0,34,1,0,4030,BD,NEW,BIND,1.1
rhz,3,2,0,0.0,0,0.0,0.0,0.0,0.0,55,0,1,4030,BD,NEW,BIND,1.1
rood,2,1,1,0.0,0,0.0,0.0,0.0,0.0,55,4,0,4030,BD,NEW,BIND,1.1
LEozin,4,2,2,0.0,0,0.0,0.0,0.0,0.0,94,1,1,4030,BD,NEW,BIND,1.1
wilfps,1,1,0,0.0,1,0.0,0.0,0.0,0.0,41,3,0,4030,BD,NEW,BIND,1.1
planE,3,0,0,0.0,0,0.0,0.0,0.0,0.0,42,4,0,4030,NEW,BD,BIND,1.1
duquera,4,1,0,0.0,0,0.0,0.0,0.0,0.0,62,0,0,4030,NEW,BD,BIND,1.1
az9zelll,3,1,0,0.0,0,0.0,0.0,0.0,0.0,35,1,0,4030,NEW,BD,BIND,1.1
luqz,3,1,0,0.0,0,0.0,0.0,0.0,0.0,62,1,1,4030,NEW,BD,BIND,1.1
Stevent,3,1,0,0.0,3,0.0,0.0,0.0,0.0,56,0,1,4030,NEW,BD,BIND,1.1
Enjoy,5,2,0,0.0,0,1,0.0,0.0,0.0,78,1,2,4029,novi,BD,BIND,1.1
tuyz,2,0,0,0.0,0,0,0.0,0.0,0.0,56,0,1,4029,novi,BD,BIND,1.1
rafz,2,0,0,0.0,0,0,0.0,0.0,0.0,29,6,0,4029,novi,BD,BIND,1.1
Biscoit1n,3,2,0,0.0,0,0,0.0,0.0,0.0,49,2,0,4029,novi,BD,BIND,1.1
txddy,5,0,0,0.0,0,0,0.0,0.0,0.0,65,0,0,4029,novi,BD,BIND,1.1
fooX,4,0,0,0.0,1,0,0.0,0.0,0.0,37,6,0,4029,BD,novi,BIND,1.1
rhz,2,2,1,0.0,0,0,0.0,0.0,0.0,63,0,1,4029,BD,novi,BIND,1.1
rood,3,1,0,0.0,0,0,0.0,0.0,0.0,82,0,1,4029,BD,novi,BIND,1.1
LEozin,2,0,0,0.0,0,0,0.0,0.0,0.0,33,0,1,4029,BD,novi,BIND,1.1
wilfps,2,0,0,0.0,0,0,0.0,0.0,0.0,45,0,0,4029,BD,novi,BIND,1.1
fooX,4,0,0,0.0,0,0,0.0,0.0,0.0,41,0,0,4026,BD,DG,ASCENT,1.1
rhz,4,3,0,0.0,2,1,0.0,0.0,0.0,68,3,1,4026,BD,DG,ASCENT,1.1
rood,2,1,0,0.0,0,0,0.0,0.0,0.0,45,0,0,4026,BD,DG,ASCENT,1.1
LEozin,2,0,0,0.0,0,0,0.0,0.0,0.0,41,3,0,4026,BD,DG,ASCENT,1.1
wilfps,4,1,1,0.0,0,0,0.0,0.0,0.0,78,1,0,4026,BD,DG,ASCENT,1.1
rst,0,0,0,0.0,1,0,0.0,0.0,0.0,22,1,0,4026,DG,BD,ASCENT,1.1
Quick,3,4,3,0.0,1,0,0.0,0.0,0.0,127,2,0,4026,DG,BD,ASCENT,1.1
Leox,0,1,0,0.0,1,0,0.0,0.0,0.0,44,0,0,4026,DG,BD,ASCENT,1.1
Plato,1,1,0,0.0,0,0,0.0,0.0,0.0,33,0,0,4026,DG,BD,ASCENT,1.1
69kg,4,1,0,0.0,0,0,0.0,0.0,0.0,66,0,0,4026,DG,BD,ASCENT,1.1
Sacy,4,1,1,0.0,0.0,1,0,0.0,0.0,71,3,0,3475,VIMD,BD,ASCENT,1.09
pepa,3,2,0,0.0,0.0,0,0,0.0,0.0,42,1,0,3475,VIMD,BD,ASCENT,1.09
prozin,0,1,0,0.0,0.0,0,0,0.0,0.0,39,0,0,3475,VIMD,BD,ASCENT,1.09
Masu,2,0,0,0.0,0.0,0,0,0.0,0.0,42,4,0,3475,VIMD,BD,ASCENT,1.09
