Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
And,243,29,26,6,3,160.8,19,0,3,-3,2976,QUEM,GL,MATCH,2,1.08
DonPablito,189,20,25,5,-5,119.9,14,5,3,2,2976,QUEM,GL,MATCH,2,1.08
LGAAAAA,171,20,25,9,-5,109.9,16,3,2,1,2976,QUEM,GL,MATCH,2,1.08
spacebound,160,18,28,5,-10,95.2,12,2,7,-5,2976,QUEM,GL,MATCH,2,1.08
luq1w,143,17,28,5,-11,85.3,13,5,5,0,2976,QUEM,GL,MATCH,2,1.08
mwzera,548,53,10,8,43,296.1,16,10,1,9,2954,GL,Mind,MATCH,2,1.08
Jonn,242,25,10,9,15,163.2,36,0,2,-2,2954,GL,Mind,MATCH,2,1.08
fznnn,214,19,8,10,11,127.6,12,7,2,5,2954,GL,Mind,MATCH,2,1.08
Nyang,183,21,6,11,15,118.7,30,0,3,-3,2954,GL,Mind,MATCH,2,1.08
JhoW,116,11,4,13,7,68.3,14,1,0,1,2954,GL,Mind,MATCH,2,1.08
Stormixxx,132,10,27,1,-17,74.9,8,3,8,-5,2954,Mind,GL,MATCH,2,1.08
haru1,122,10,26,1,-16,67.8,15,1,4,-3,2954,Mind,GL,MATCH,2,1.08
v1ny,105,8,26,2,-18,71.0,31,2,1,1,2954,Mind,GL,MATCH,2,1.08
Harpyja,73,6,24,1,-18,41.9,17,1,1,0,2954,Mind,GL,MATCH,2,1.08
Edon,64,4,26,0,-22,43.5,13,1,4,-3,2954,Mind,GL,MATCH,2,1.08
mwzera,298,48,31,7,17,164.9,7,12,8,4,3140,GL,B4,MATCH,2,1.08
Jonn,207,31,35,14,-4,126.1,17,6,9,-3,3140,GL,B4,MATCH,2,1.08
Nyang,195,30,23,22,7,138.0,22,2,2,0,3140,GL,B4,MATCH,2,1.08
JhoW,184,31,27,14,4,116.2,9,0,1,-1,3140,GL,B4,MATCH,2,1.08
fznnn,175,25,25,20,0,110.5,21,2,2,0,3140,GL,B4,MATCH,2,1.08
frz,268,44,27,7,17,172.8,17,2,3,-1,3140,B4,GL,MATCH,2,1.08
xand,261,40,36,10,4,157.0,19,5,7,-2,3140,B4,GL,MATCH,2,1.08
v1nny,158,22,35,11,-13,94.2,19,6,5,1,3140,B4,GL,MATCH,2,1.08
pancada,138,18,32,11,-14,85.6,20,6,4,2,3140,B4,GL,MATCH,2,1.08
akemy,117,15,35,14,-20,89.2,21,3,3,0,3140,B4,GL,MATCH,2,1.08
mwzera,274,23,16,6,7,158.7,15,6,1,5,3062,GL,VIMD,MATCH,1,1.08
Jonn,243,18,18,8,0,166.8,38,6,5,1,3062,GL,VIMD,MATCH,1,1.08
fznnn,191,13,21,7,-8,132.8,19,0,1,-1,3062,GL,VIMD,MATCH,1,1.08
JhoW,170,15,17,6,-2,96.2,13,2,0,2,3062,GL,VIMD,MATCH,1,1.08
Nyang,96,9,17,9,-8,67.5,21,1,1,0,3062,GL,VIMD,MATCH,1,1.08
Sacy,330,27,16,7,11,187.5,35,2,2,0,3062,VIMD,GL,MATCH,1,1.08
pepa,235,20,17,8,3,145.0,29,2,1,1,3062,VIMD,GL,MATCH,1,1.08
pollo,232,21,13,1,8,142.9,24,4,2,2,3062,VIMD,GL,MATCH,1,1.08
Masu,181,14,14,8,0,127.0,29,0,2,-2,3062,VIMD,GL,MATCH,1,1.08
prozin,117,7,18,7,-11,84.8,18,0,8,-8,3062,VIMD,GL,MATCH,1,1.08
xand,217,12,15,5,-3,141.4,16,2,1,1,3051,B4,GL,MATCH,1,1.08
pancada,169,11,14,4,-3,109.5,27,0,3,-3,3051,B4,GL,MATCH,1,1.08
v1nny,165,11,14,3,-3,114.3,25,2,2,0,3051,B4,GL,MATCH,1,1.08
frz,156,9,14,6,-5,84.6,17,1,1,0,3051,B4,GL,MATCH,1,1.08
akemy,109,7,13,3,-6,61.1,29,1,5,-4,3051,B4,GL,MATCH,1,1.08
fznnn,295,18,10,11,8,184.8,25,6,1,5,3051,GL,B4,MATCH,1,1.08
mwzera,258,16,10,3,6,132.3,4,2,0,2,3051,GL,B4,MATCH,1,1.08
JhoW,246,16,9,8,7,137.0,12,1,3,-2,3051,GL,B4,MATCH,1,1.08
Jonn,185,13,9,5,4,125.7,30,2,1,1,3051,GL,B4,MATCH,1,1.08
Nyang,115,7,12,6,-5,78.5,19,1,1,0,3051,GL,B4,MATCH,1,1.08
deNaro,198,14,16,5,-2,119.7,8,2,2,0,2940,VKS,GL,MATCH,1,1.08
gtnziN,197,16,16,4,0,112.1,31,1,0,1,2940,VKS,GL,MATCH,1,1.08
fuzari,196,14,13,2,1,109.2,16,1,2,-1,2940,VKS,GL,MATCH,1,1.08
cad,168,14,15,1,-1,111.0,22,3,5,-2,2940,VKS,GL,MATCH,1,1.08
BrinkssJ,134,8,18,9,-10,83.2,20,2,3,-1,2940,VKS,GL,MATCH,1,1.08
mwzera,282,22,13,3,9,152.1,24,4,4,0,2940,GL,VKS,MATCH,1,1.08
fznnn,222,15,12,10,3,148.6,18,4,1,3,2940,GL,VKS,MATCH,1,1.08
Nyang,220,19,13,3,6,119.2,28,2,1,1,2940,GL,VKS,MATCH,1,1.08
Jonn,181,11,13,8,-2,125.0,34,2,3,-1,2940,GL,VKS,MATCH,1,1.08
JhoW,148,11,15,11,-4,100.3,11,0,0,0,2940,GL,VKS,MATCH,1,1.08
saadhak,237,21,15,9,6,164.3,28,3,0,3,2930,Estral,GL,MATCH,1,1.08
Nozwerr,212,21,17,4,4,141.8,18,2,3,-1,2930,Estral,GL,MATCH,1,1.08
Pelé,201,18,21,14,-3,123.8,10,3,2,1,2930,Estral,GL,MATCH,1,1.08
NagZ,169,15,21,1,-6,114.8,19,3,4,-1,2930,Estral,GL,MATCH,1,1.08
Leazo,163,14,22,5,-8,115.5,20,3,3,0,2930,Estral,GL,MATCH,1,1.08
mwzera,274,23,17,7,6,170.8,14,2,4,-2,2930,GL,Estral,MATCH,1,1.08
Nyang,215,20,21,13,-1,138.6,15,1,2,-1,2930,GL,Estral,MATCH,1,1.08
fznnn,212,18,17,6,1,142.1,23,2,2,0,2930,GL,Estral,MATCH,1,1.08
JhoW,195,19,16,9,3,129.3,12,4,2,2,2930,GL,Estral,MATCH,1,1.08
Jonn,181,16,18,9,-2,106.7,41,3,4,-1,2930,GL,Estral,MATCH,1,1.08
mwzera,351,40,24,6,16,196.5,15,10,3,7,3510,GL,VIMD,MATCH,2,1.09
Jonn,284,34,17,9,17,157.2,42,3,1,2,3510,GL,VIMD,MATCH,2,1.09
JhoW,177,21,15,14,6,114.0,10,3,2,1,3510,GL,VIMD,MATCH,2,1.09
fznnn,168,20,14,16,6,118.9,23,4,1,3,3510,GL,VIMD,MATCH,2,1.09
Nyang,154,21,16,8,5,80.2,21,3,3,0,3510,GL,VIMD,MATCH,2,1.09
Sacy,222,23,26,6,-3,133.5,20,2,3,-1,3510,VIMD,GL,MATCH,2,1.09
pollo,192,21,27,3,-6,120.8,24,3,5,-2,3510,VIMD,GL,MATCH,2,1.09
pepa,172,19,27,7,-8,110.1,32,3,6,-3,3510,VIMD,GL,MATCH,2,1.09
prozin,138,14,28,5,-14,93.2,14,1,2,-1,3510,VIMD,GL,MATCH,2,1.09
Masu,96,9,28,10,-19,67.8,10,1,7,-6,3510,VIMD,GL,MATCH,2,1.09
Jonn,240,15,15,5,0,149.6,41,3,3,0,3508,GL,NOOR,MATCH,1,1.09
fznnn,236,13,12,4,1,156.3,26,2,0,2,3508,GL,NOOR,MATCH,1,1.09
mwzera,214,13,13,3,0,134.7,20,5,0,5,3508,GL,NOOR,MATCH,1,1.09
JhoW,130,8,13,1,-5,85.8,13,0,2,-2,3508,GL,NOOR,MATCH,1,1.09
Nyang,34,3,13,1,-10,16.3,14,1,2,-1,3508,GL,NOOR,MATCH,1,1.09
murizzz,463,31,9,3,22,257.1,19,5,0,5,3508,NOOR,GL,MATCH,1,1.09
ole,182,13,10,6,3,101.1,11,1,2,-1,3508,NOOR,GL,MATCH,1,1.09
kon4n,169,10,10,14,0,100.1,26,1,2,-1,3508,NOOR,GL,MATCH,1,1.09
matheuzin,113,6,10,10,-4,90.8,26,0,4,-4,3508,NOOR,GL,MATCH,1,1.09
Txozin,94,6,13,3,-7,62.6,25,0,3,-3,3508,NOOR,GL,MATCH,1,1.09
Jonn,276,24,19,7,5,158.1,39,3,4,-1,3472,GL,Estral,MATCH,1,1.09
fznnn,264,21,13,7,8,170.1,27,1,1,0,3472,GL,Estral,MATCH,1,1.09
mwzera,214,18,20,5,-2,144.6,18,2,6,-4,3472,GL,Estral,MATCH,1,1.09
Nyang,189,18,12,9,6,125.6,21,1,1,0,3472,GL,Estral,MATCH,1,1.09
JhoW,127,11,17,2,-6,70.8,6,0,5,-5,3472,GL,Estral,MATCH,1,1.09
NagZ,260,23,16,1,7,146.6,22,7,0,7,3472,Estral,GL,MATCH,1,1.09
saadhak,238,18,20,5,-2,162.9,13,7,2,5,3472,Estral,GL,MATCH,1,1.09
Nozwerr,222,19,18,4,1,138.8,30,2,1,1,3472,Estral,GL,MATCH,1,1.09
Leazo,132,11,20,7,-9,90.4,10,1,2,-1,3472,Estral,GL,MATCH,1,1.09
puleule,115,10,18,14,-8,85.4,18,0,2,-2,3472,Estral,GL,MATCH,1,1.09
mwzera,278,25,20,6,5,162.2,9,3,0,3,3466,GL,novi,MATCH,1,1.09
Jonn,253,23,20,6,3,147.7,27,6,7,-1,3466,GL,novi,MATCH,1,1.09
fznnn,244,23,14,10,9,216.9,36,1,1,0,3466,GL,novi,MATCH,1,1.09
JhoW,168,15,19,6,-4,84.8,12,2,0,2,3466,GL,novi,MATCH,1,1.09
