Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
JhoW,omen,267,19,8,3,11,161.7,25,2,0,2,6052,GL,FKL,13,5,5,1,8,4,SPLIT,
fznnn,cypher,210,13,9,2,4,101.7,19,2,2,0,6052,GL,FKL,13,5,5,1,8,4,SPLIT,
Nyang,breach,117,7,13,11,-6,82.4,20,0,2,-2,6052,GL,FKL,13,5,5,1,8,4,SPLIT,
bld,killjoy,212,13,15,3,-2,137.0,15,1,1,0,6052,FKL,GL,5,13,4,8,1,5,SPLIT,
Quick,jett,191,12,15,2,-3,109.1,16,2,6,-4,6052,FKL,GL,5,13,4,8,1,5,SPLIT,
Khalil,cypher,188,12,15,4,-3,115.7,20,0,1,-1,6052,FKL,GL,5,13,4,8,1,5,SPLIT,
pava,raze,186,10,16,6,-6,117.0,13,1,2,-1,6052,FKL,GL,5,13,4,8,1,5,SPLIT,
mch,omen,95,6,17,0,-11,57.1,28,2,2,0,6052,FKL,GL,5,13,4,8,1,5,SPLIT,
mwzera,raze,253,15,12,2,3,147.2,16,2,1,1,3214,GL,FF,7,13,3,5,4,8,BIND,
fznnn,cypher,159,9,14,2,-5,108.9,28,0,2,-2,3214,GL,FF,7,13,3,5,4,8,BIND,
JhoW,sage,149,9,18,6,-9,94.8,11,1,2,-1,3214,GL,FF,7,13,3,5,4,8,BIND,
Nyang,omen,138,10,12,1,-2,91.4,40,2,2,0,3214,GL,FF,7,13,3,5,4,8,BIND,
Jonn,phoenix,123,7,17,5,-10,72.9,3,1,7,-6,3214,GL,FF,7,13,3,5,4,8,BIND,
delevingne,jett,246,18,10,3,8,150.4,24,4,2,2,3214,FF,GL,13,7,8,4,5,3,BIND,
krain,sova,215,15,9,7,6,149.9,20,3,1,2,3214,FF,GL,13,7,8,4,5,3,BIND,
v1xen,omen,211,17,7,6,10,127.8,18,1,1,0,3214,FF,GL,13,7,8,4,5,3,BIND,
dragonite,cypher,192,13,8,5,5,131.0,30,2,0,2,3214,FF,GL,13,7,8,4,5,3,BIND,
fzkk,raze,187,10,16,8,-6,113.6,6,4,2,2,3214,FF,GL,13,7,8,4,5,3,BIND,
Jonn,sage,223,13,14,3,-1,139.9,26,3,4,-1,3214,GL,FF,5,13,5,7,0,6,ASCENT,
mwzera,jett,191,12,16,1,-4,101.8,20,2,2,0,3214,GL,FF,5,13,5,7,0,6,ASCENT,
fznnn,sova,160,9,16,5,-7,113.6,14,0,1,-1,3214,GL,FF,5,13,5,7,0,6,ASCENT,
Nyang,omen,114,7,14,4,-7,75.6,24,1,3,-2,3214,GL,FF,5,13,5,7,0,6,ASCENT,
JhoW,cypher,103,5,15,2,-10,75.0,15,0,2,-2,3214,GL,FF,5,13,5,7,0,6,ASCENT,
fzkk,raze,464,29,7,2,22,247.2,11,6,1,5,3214,FF,GL,13,5,6,0,7,5,ASCENT,
krain,sova,190,12,10,8,2,131.2,14,1,0,1,3214,FF,GL,13,5,6,0,7,5,ASCENT,
delevingne,jett,177,12,10,2,2,120.9,24,2,3,-1,3214,FF,GL,13,5,6,0,7,5,ASCENT,
dragonite,cypher,150,11,10,4,1,113.9,25,1,1,0,3214,FF,GL,13,5,6,0,7,5,ASCENT,
v1xen,omen,147,11,9,4,2,86.5,29,2,1,1,3214,FF,GL,13,5,6,0,7,5,ASCENT,
frz,sova,222,14,14,5,0,117.1,17,3,1,2,3144,B4,GL,7,13,2,6,5,7,ASCENT,
xand,jett,186,14,16,0,-2,133.4,25,1,4,-3,3144,B4,GL,7,13,2,6,5,7,ASCENT,
akemy,omen,154,11,16,0,-5,74.9,16,2,2,0,3144,B4,GL,7,13,2,6,5,7,ASCENT,
v1nny,cypher,146,10,17,7,-7,83.9,5,1,5,-4,3144,B4,GL,7,13,2,6,5,7,ASCENT,
pancada,sage,145,10,14,7,-4,91.9,17,0,1,-1,3144,B4,GL,7,13,2,6,5,7,ASCENT,
Jonn,sage,327,24,11,5,13,175.7,27,1,1,0,3144,GL,B4,13,7,7,5,6,2,ASCENT,
mwzera,jett,286,20,14,4,6,157.8,19,10,2,8,3144,GL,B4,13,7,7,5,6,2,ASCENT,
fznnn,sova,194,14,12,8,2,123.6,14,2,2,0,3144,GL,B4,13,7,7,5,6,2,ASCENT,
